stem,n_routes,has_EN,assigned_EN,has_DE,assigned_DE,has_NL,assigned_NL,has_FR,assigned_FR,has_OTHER,assigned_OTHER,covered_any,example_ids
day : amsterdam - breukelen (van)(x),1,,,,,,,,,Y,,,54958505
day : antwerpen - st. amands (van)(x),1,,,,,,,,,Y,,,54958473
day : antwerpen - tholen - dordrecht (van)(x),1,,,,,,,,,Y,,,54957853
day : bad bevensen - meevaren - alt isenhagen,1,,,,,,,,,Y,Y,Y,55010671
day : berlin - spandau castle,1,,,,,,,,,Y,Y,Y,55662863
day : brandeburg - potsdam ( ),1,,,,,,,,,Y,Y,Y,55188659
day : brugge 't zand - ligplaats schip (van)(x),1,,,,,,,,,Y,,,54958516
day : brugge - gent centrum (van)(x),1,,,,,,,,,Y,,,54958078
day : brugge - gent merelbeke (van)(x),1,,,,,,,,,Y,,,54957829
day : calvorde (outside wolfsburg) to magdeburg ( ),1,,,,,,,,,Y,Y,Y,55330469
day : dendermonde - gent city ( ) zonder appels(van)(x),1,,,,,,,,,Y,,,54958469
day : gent stad - dendermonde - st. amands (van) (x),1,,,,,,,,,Y,,,54957821
day : genthin - brandenburg ( ),1,,,,,,,,,Y,Y,Y,55188374
day : hamburg - geesthacht,1,,,,,,,,,Y,Y,Y,55009697
day : hamburg - geesthacht (shorter),1,,,,,,,,,Y,Y,Y,55010103
day : luneberg ( ),1,,,,,,,,,Y,Y,Y,55330251
day : luneberg old town (route ),1,,,,,,,,,Y,,,55453247
day : lübeck - travemünde (coastal),1,,,,,,,,,Y,Y,Y,54738551
day : lübeck -donnerschleuse- witzeeze,1,,,,,,,,,Y,,,55469267
day : lüneburg - lauenburg cycle east (new),1,,,,,,,,,Y,,,55453579
day : lüneburg harbor - bad bevensen,1,,,,,,,,,Y,Y,Y,55010301
day : lüneburg old town (route ),1,,,,,,,,,Y,Y,Y,55453382
day : magdeburg - genthin ( ),1,,,,,,,,,Y,Y,Y,55188246
day : potsdam - 1st leg -berlijn (approx. ),1,,,,,,,,,Y,,,55192071
day : potsdam - berlijn (west: spandau / lindenufer area) approx.,1,,,,,,,,,Y,Y,Y,55188910
day : potsdam - leg -kladow-berlijn (approx. )),1,,,,,,,,,Y,,,55192158
day : spandau-berlin (estimate),1,,,,,,,,,Y,Y,Y,55662858
day : st. amands - antwerpen (van)(x),1,,,,,,,,,Y,,,54957845
day : tholen - antwerpen (van)(x),1,,,,,,,,,Y,,,54958531
day : witzeeze - geesthacht ( +-),1,,,,,,,,,Y,Y,Y,55469447
day : wolfsburg - magdeburg,1,,,,,,,,,Y,,,55104244
day long wormerveer - zaanse schans - amsterdam,1,,,,,,,,,Y,,,54993789
day mag x: breukelen - muiden (van)(x),1,,,,,,,,,Y,,,54957895
day mag x: dendermonde - gent (van)(x),1,,,,,,,,,Y,,,54957910
day mag x: dordrecht - schoonhoven (van)(x),1,,,,,,,,,Y,,,54957875
day mag x: muiden - breukelen - ligplaats vreeswijk (van)(x),1,,,,,,,,,Y,,,54957907
day mag x: schoonhoven - utrecht (van)(x),1,,,,,,,,,Y,,,54957863
day short lemmer - sneek,1,,,,,,,,,Y,,,55024434
day short lemmer sneek,2,,,,,,,,,Y,,,"54993981,55007896"
day witzeeze - molln - donnerschleuse,1,,,,,,,,,Y,,,55468644
day witzeeze lock - donnerschleuse lock,1,,,,,,,,,Y,Y,Y,55453702
deinze - bruges,4,Y,Y,,,,,,,,,Y,"49434614,49434619,53899223,53899224"
deinze - ghent,1,Y,,,,,,,,,,,53495025
den helder - alkmaar,2,Y,,Y,,,,,,,,,"31430994,53680658"
den helder - anna paulowna (loop),1,Y,,,,,,,,,,,49578546
den helder - anna paulowna (schleife),1,,,Y,,,,,,,,,53680643
den helder - enkhuizen,1,,,,,,,,,Y,,,54129347
den helder - schoorl,2,Y,,Y,,,,,,,,,"54646546,54646902"
den helder - schoorl (via anna paulowna),2,Y,,Y,,,,,,,,,"54648486,54648502"
den helder - sint maartensvlotbrug (via anna paulowna),1,Y,,,,,,,,,,,41757947
den helder - sint maartensvlotbrug (via coast),1,Y,,,,,,,,,,,53522747
den helder - sint maartensvlotbrug (über anna paulowna),1,,,Y,,,,,,,,,53680657
den helder - sint maartensvlotbrug (über die küste),1,,,Y,,,,,,,,,53680655
"den helder: ferry - ship ,",1,Y,,,,,,,,,,,49378071
"den helder: fähre - shiff ,",1,,,Y,,,,,,,,,53680647
"den helder: shiff - fähre ,",1,,,Y,,,,,,,,,53680650
"den helder: ship - ferry ,",1,Y,Y,,,,,,,,,Y,32355971
"den helder: ship - veerboot , nld",1,,,,,,,,,Y,,,54221125
den helder: veerboot - ship nld,1,,,,,,,,,Y,,,54221123
denain - tournai (via marchiennes & saint-amand),1,Y,Y,,,,,,,,,Y,41445529
denain - tournai (via marchiennes),1,Y,,,,,,,,,,,26560329
denain - tournai (via saint-amands),1,Y,Y,,,,,,,,,Y,26925532
dendermonde - antwerp,2,Y,Y,Y,,,,,,,,Y,"31571313,53677193"
dendermonde - antwerp (mit waterbus) +,1,,,Y,,,,,,,,,53677194
dendermonde - antwerp (via waterbus) +,1,Y,Y,,,,,,,,,Y,31571337
dendermonde - gent (merelbeke),1,,,,,,,,,Y,,,55884055
dendermonde - gent city ( ),1,,,,,,,,,Y,,,55326863
dendermonde - gent city centre que,1,,,Y,,,,,,,,,26882952
dendermonde - gent innenstadt,1,,,Y,,,,,,,,,26882950
dendermonde - ghent (city),2,Y,Y,,,,,,,,,Y,"31465355,43547879"
dendermonde - ghent (city) (x),3,Y,,Y,,,,,,,,,"53518101,53844941,53852934"
dendermonde - ghent (stadt),2,,,Y,,,,,,,,,"53677126,53677156"
dendermonde - ghent city centre (alt),1,Y,,,,,,,,,,,47414579
dendermonde - ghent city centre alt,1,Y,,,,,,,,,,,47414497
deventer - almen - zutphen,2,Y,,Y,,,,,,,,,"55226493,55342867"
deventer - almen - zutphen nld,1,,,,,,,,,Y,,,34466901
deventer - hattem - kampen,2,Y,,Y,,,,,,,,,"55506259,55570868"
deventer - kampen,2,Y,Y,Y,,,,,,,,Y,"50375800,56054082"
deventer - olst - veluwe - zwolle,1,Y,,,,,,,,,,,55226999
deventer - olst - veluwe - zwolle nld,1,,,,,,,,,Y,,,34434118
deventer - raalte - zwolle,2,Y,,Y,,,,,,,,,"55225388,55342751"
deventer - raalte - zwolle nld,1,,,,,,,,,Y,,,34467155
deventer - twello/bussloo - zutphen,2,Y,,Y,,,,,,,,,"55226473,55342863"
deventer - twello/bussloo - zutphen nld,1,,,,,,,,,Y,,,34466790
deventer - wijhe - ijsseldal - zwolle,2,Y,,Y,,,,,,,,,"55225358,55342721"
deventer - wijhe - ijsseldal - zwolle nld,1,,,,,,,,,Y,,,34434198
deventer - zwolle - kampen,2,Y,,Y,,,,,,,,,"55240719,55570878"
deventer - zwolle - kampen nld,1,,,,,,,,,Y,,,50667539
docking bruges - bruges city centre ('t zand),1,,,,,,,,,Y,,,55376565
doesburg - deventer (via wichmond & zutphen),1,Y,Y,,,,,,,,,Y,29068208
doesburg - deventer (via zutphen),1,Y,,,,,,,,,,,49182580
doesburg - deventer (über wichmond & zutphen),1,,,Y,Y,,,,,,,Y,53668747
doesburg - deventer (über zutphen),1,,,Y,Y,,,,,,,Y,53668743
doesburg - doetinchem - doesburg,2,Y,,Y,,,,,,,,,"55240793,55342873"
doesburg - doetinchem - doesburg nld,2,,,,,,,,,Y,,,"48989878,55204251"
doesburg - gaanderen - doesburg,2,Y,,Y,,,,,,,,,"55240810,55342880"
doesburg - gaanderen - doesburg nld,2,,,,,,,,,Y,,,"48989960,55204252"
doesburg - ruurlo - lochem,2,Y,,Y,,,,,,,,,"55225233,55342700"
doesburg - ruurlo- lochem nld,1,,,,,,,,,Y,,,34432210
doesburg - veluwezoom (posbank) - arnhem,1,Y,,,,,,,,,,,55226971
doesburg - veluwezoom (posbank) - arnhem - nld,1,,,,,,,,,Y,,,34466967
doesburg - vorden - lochem,3,Y,,Y,,,,,,,,,"55223830,55243904,55342686"
doesburg - vorden - lochem nld,1,,,,,,,,,Y,,,34434324
doesburg - westervoort - arnhem,1,Y,,,,,,,,,,,55226934
doesburg - westervoort - arnhem nld,1,,,,,,,,,Y,,,34482223
doesburg - zutphen,2,Y,,Y,,,,,,,,,"28962767,53668712"
doesburg - zutphen (via vorden),1,Y,Y,,,,,,,,,Y,28962804
doesburg - zutphen (über vorden),1,,,Y,,,,,,,,,53668714
dolce via base route track base,2,,,,,,,,,Y,,,"54752683,55616452"
don - arleux (via lens / vimy),2,Y,,,,,,,,,,,"49672078,53899238"
don - arleux (via lens),2,Y,Y,,,,,,,,,Y,"49290310,53899237"
don - arleux (via lewarde),2,Y,Y,,,,,,,,,Y,"49290379,53899236"
dordrecht - schoonhoven,9,Y,,Y,,,,,,Y,,,"55376563,55601964,55677861,55881352"
dordrecht - schoonhoven (papendrecht ferry),1,,,Y,,,,,,,,,55880633
dordrecht - schoonhoven (via biesbosch),1,Y,,,,,,,,,,,56137621
dordrecht // alblasserdam - kinderdijk - schoonhoven,3,Y,Y,Y,Y,,,,,,,Y,"31544016,53677237,53851702"
dordrecht // alblasserdam - kinderdijk - schoonhoven (x),1,,,Y,,,,,,,,,53851706
dordrecht // alblasserdam - kinderdijk - utrecht,1,Y,,,,,,,,,,,55693597
dordrecht // alblasserdam - kinderdijk - vianen,2,Y,Y,Y,,,,,,,,Y,"26884044,53677235"
dordrecht // alblasserdam - kinderdijk - vreeswijk,2,Y,,Y,,,,,,,,,"51839345,53677266"
dordrecht // alblasserdam - urecht (centrum) (via kinderdijk - roosevelt),1,,,,,,,,,Y,Y,Y,55834573
dormans - epernay (high - challenging),1,Y,Y,,,,,,,,,Y,53470002
dormans - epernay (high),1,Y,Y,,,,,,,,,Y,43199162
dormans - epernay (low),1,Y,Y,,,,,,,,,Y,43199102
douai - lille,2,Y,Y,,,,,,,,,Y,"50031485,53899217"
douai - lille (via lens),2,Y,Y,,,,,,,,,Y,"50031384,53899218"
düsseldorf - cologne,2,Y,,,,,,,,,,,"19353670,54768558"
elburg - harderwijk (via veluwe),1,Y,,,,,,,,,,,47297291
elburg - harderwijk (über veluwe),1,,,Y,,,,,,,,,53677308
enkhuizen (loop),1,,,,,,,,,Y,,,55920551
enkhuizen - hoorn,2,Y,,Y,,,,,,,,,"33120569,54520817"
enkhuizen - hoorn (via blokker),1,Y,,,,,,,,,,,38338686
enkhuizen - hoorn (via coast),1,Y,,,,,,,,,,,28988081
enkhuizen - hoorn (über blokker),1,,,Y,,,,,,,,,53683936
enkhuizen - hoorn (über die küste),1,,,Y,,,,,,,,,53683935
enkhuizen - hoorn nld,1,,,,,,,,,Y,,,54520915
enkhuizen - medemblik (via coast),1,Y,,,,,,,,,,,19544474
enkhuizen - medemblik (via kust) nld,1,,,,,,,,,Y,,,54374287
enkhuizen - medemblik (via twisk),1,Y,Y,,,,,,,,,Y,19544568
enkhuizen - medemblik (via twisk) nld,1,,,,,,,,,Y,,,54374289
enkhuizen - medemblik (über die küste),1,,,Y,,,,,,,,,53683933
enkhuizen - medemblik (über twisk),1,,,Y,,,,,,,,,53683934
enkhuizen - zaanse schans,1,Y,,,,,,,,,,,54521020
epernay (loop via winelands & ay),1,Y,Y,,,,,,,,,Y,44935634
"epernay (loop via winelands, ay & mareuil-sur-ay)",1,Y,Y,,,,,,,,,Y,44935654
"epernay (loop, flat via ay & mareuil-sur-ay)",1,Y,Y,,,,,,,,,Y,44929384
epernay - dormans (high - challenging),1,Y,,,,,,,,,,,53470020
epernay - dormans (high),1,Y,,,,,,,,,,,31570870
epernay - dormans (low),1,Y,Y,,,,,,,,,Y,43276502
epernay - mont st pierre (low),1,Y,,,,,,,,,,,31570944
epernay - mont-st-pierre (high),1,Y,Y,,,,,,,,,Y,28997700
"evergem - gent city ( , )",1,,,,,,,,,Y,,,55362400
evry - melun,2,Y,,Y,,,,,,,,,"28180519,55989893"
franeker - harlingen (centre),2,Y,,Y,,,,,,,,,"55927110,55927123"
franeker - kornwerderzand,2,Y,,Y,,,,,,,,,"55910163,55910191"
franeker - leeuwarden,2,Y,,Y,,,,,,,,,"55929988,56136502"
frankfurt - mainz,2,Y,,Y,,,,,,,,,"43310508,53814345"
freudenberg – aschaffenburg,2,Y,,Y,,,,,,,,,"49471564,53806307"
frise - péronne - ytres,2,Y,Y,,,,,,,,,Y,"50030812,53899214"
geesthacht - steinweider hafen,1,,,,,,,,,Y,,,54859733
gent (city center) - dendermonde,1,Y,,,,,,,,,,,55374250
gent (city) - dendermonde (gps-only),1,Y,,,,,,,,,,,55192990
gent (city) - gent (evergem),1,,,Y,,,,,,,,,44719223
gent (city) - gent (lovendegem),1,,,Y,,,,,,,,,44719219
gent (evergem) - bruges (via bulskampveld),2,Y,,Y,Y,,,,,,,Y,"53844943,53853082"
gent (evergem) - oudenaarde,2,,,Y,,,,,,,,,"34552253,34552387"
gent (merelbeke) - stadtmitte - oudenaarde,1,,,Y,,,,,,,,,32079591
gent - brugge,1,,,,,,,,,Y,,,55884032
gent city - dendermonde,2,,,Y,,,,,,Y,,,"55365488,55677765"
gent cruise dok - gent city,1,,,,,,,,,Y,,,55362394
gent merelbeke- dendermonde - st. amands,1,,,,,,,,,Y,,,55883679
gent stad - cruise dok,1,,,,,,,,,Y,,,55326861
"ghent (city) - evergem ,",1,Y,,,,,,,,,,,44712837
ghent (city) - lovendegem,1,Y,Y,,,,,,,,,Y,44712627
"ghent (city) - merelbeke ,",3,Y,,Y,,,,,,,,,"44712686,53844942,53852990"
ghent (evergem) - bruges,2,Y,,Y,,,,,,,,,"29529920,53677181"
ghent (evergem) - bruges (x),1,Y,,,,,,,,,,,53518107
ghent (evergem) - deinze,1,Y,,,,,,,,,,,45432938
ghent (evergem) - oudenaarde,2,Y,,,,,,,,,,,"31620647,34543148"
ghent (lovendegem) - bruges (via aalter-brug),1,Y,,,,,,,,,,,29011637
ghent (lovendegem) - bruges (via bulskampveld),1,Y,Y,,,,,,,,,Y,31612237
ghent (lovendegem) - bruges (über bulskampveld),1,,,Y,,,,,,,,,53677109
ghent (merelbeke) - dendermonde,2,Y,Y,Y,,,,,,,,Y,"31540193,53677203"
ghent (merelbeke) - ghent centre - oudenaarde,1,Y,,,,,,,,,,,31594931
ghent (merelbeke) - oudenaarde (via deinze),1,Y,,,,,,,,,,,41402896
ghent (merelbeke) - oudenaarde (via gavere),1,Y,,,,,,,,,,,41402920
ghent (merelbeke) - oudenaarde (via ghent city & deinze),1,Y,Y,,,,,,,,,Y,55265628
ghent (merelbeke) - st amands,2,Y,,Y,,,,,,,,,"26889857,53677198"
"ghent (stadt) - evergem ,",1,,,Y,,,,,,,,,53677119
ghent (stadt) - lovendegem,1,,,Y,,,,,,,,,53677116
"ghent (stadt) - merelbeke ,",1,,,Y,,,,,,,,,53677122
ghent - mooring evergem,1,,,,,,,,,Y,,,55326877
ghent - mooring lovendegem,1,,,,,,,,,Y,,,55326872
giethoorn - vollehove,3,Y,Y,Y,,,,,,,,Y,"40760446,40760519,53677329"
giethoorn - vollenhove,1,,,Y,,,,,,,,,53677330
gorinchem - vianen,2,Y,Y,Y,,,,,,,,Y,"25306306,53668515"
gorinchem - vianen (alternative),1,Y,Y,,,,,,,,,Y,55190414
"gouda (city) - gouda (julianasluis) , / , mi",1,Y,,,,,,,,,,,50110516
gouda - albasserdam (via kinderdijk),1,,,Y,,,,,,,,,55879678
gouda - alblassserdam (via schoonhoven & kinderdijk),1,,,Y,,,,,,,,,55879868
gouda - kudelstaart,3,Y,Y,Y,,,,,,,,Y,"19438807,53665236,53665238"
gouda - kudelstaart (white label),1,Y,,,,,,,,,,,54360740
gouda - oude wetering,1,Y,,,,,,,,,,,53324046
gouda - oude wetering (white label),1,Y,,,,,,,,,,,54360743
gouda - oude wetering poi,1,,,Y,,,,,,,,,53665586
gouda - uithoorn,2,Y,Y,Y,,,,,,,,Y,"54152900,54338105"
gouda - uithoorn (via nieuweveen),1,Y,,,,,,,,,,,55073515
gouda - uithoorn (via nieuwkoopse plassen),1,Y,,,,,,,,,,,55073479
gouda - uithoorn (white label),1,Y,,,,,,,,,,,54360773
gouda - uithoorn uzepia,1,Y,,,,,,,,,,,54915433
gouda - utrecht,1,,,Y,,,,,,,,,26920970
gouda - utrecht / mi,1,Y,Y,,,,,,,,,Y,26920390
gouda - utrecht nld,1,,,,,,,,,Y,,,49523364
gouda - vouwenakker (roeivereniging),1,Y,,,,,,,,,,,19453715
gouda - vreeswijk,2,Y,,Y,,,,,,,,,"53330377,53668284"
grave - appeltern-wageningen nld,1,,,,,,,,,Y,,,56146397
grave - groesbeek - nijmegen nld,1,,,,,,,,,Y,,,55224384
grave - nijmegen - wageningen nld,1,,,,,,,,,Y,,,56146005
grave - wageningen nld,1,,,,,,,,,Y,,,56146476
grou - sneek,5,Y,,Y,,,,,,,,,"53684155,55889010,55889012,56111478"
grou - sneek nld,2,,,,,,,,,Y,Y,Y,"38871289,38871293"
grou-heeg,4,Y,,Y,,,,,,,,,"54313953,54313954,54314305,54314347"
grou-heeg nld,2,,,,,,,,,Y,Y,Y,"54314509,54314550"
haarlem (city) - keukenhof - leiden,1,Y,,,,,,,,,,,19010634
haarlem (city) - keukenhof - leiden (via dunes),1,Y,,,,,,,,,,,53324150
haarlem (city) - keukenhof - leiden (via dunes) (white label),1,Y,,,,,,,,,,,54360734
haarlem (city) - keukenhof - leiden (white label),1,Y,,,,,,,,,,,54360733
haarlem (city) - leiden (via cruquius),1,Y,Y,,,,,,,,,Y,32028085
haarlem (city) - leiden (via dunes),1,Y,Y,,,,,,,,,Y,46285906
haarlem (city) - zaanse schans -amsterdam (oosterdok),1,,,Y,,,,,,,,,55896328
haarlem (loop via flowerfeld & beach),1,,,,,,,,,Y,,,54646163
haarlem (schleife über blumenfelder und strand),1,,,Y,,,,,,,,,54655047
haarlem (spaarndamseweg) - alkmaar,1,,,Y,,,,,,,,,53774112
haarlem (spaarndamseweg) - alkmaar (via dunes),1,Y,,,,,,,,,,,53538533
haarlem (spaarndamseweg) - alkmaar (via heiloo),1,Y,Y,,,,,,,,,Y,54535033
haarlem (spaarndamseweg) - alkmaar peter-niels,2,Y,,,,,,,,,,,"54655609,54667144"
haarlem (spaarndamseweg) - amsterdam,2,Y,,,,,,,,,,,"49174660,49174875"
haarlem (spaarndamseweg) - amsterdam nld,2,,,,,,,,,Y,,,"49812072,49812074"
haarlem (spaarndamseweg) - keukenhof (loop),2,Y,,Y,,,,,,,,,"26920545,53774081"
haarlem (spaarndamseweg) - keukenhof (rondrit) nld,1,,,,,,,,,Y,,,49812065
haarlem (spaarndamseweg) - keukenhof - leiden,1,Y,,,,,,,,,,,53994388
haarlem (spaarndamseweg) - keukenhof - leiden (via dunes),1,Y,,,,,,,,,,,53994387
haarlem (spaarndamseweg) - keukenhof - leiden (via dunes) (white label),1,Y,,,,,,,,,,,54360770
haarlem (spaarndamseweg) - keukenhof - leiden (white label),1,Y,Y,,,,,,,,,Y,54360769
haarlem (spaarndamseweg) - keukenhof - oude wetering,2,Y,,,,,,,,,,,"26516195,31452816"
haarlem (spaarndamseweg) - keukenhof - oude wetering (white label),2,Y,Y,,,,,,,,,Y,"54360765,54360766"
haarlem (spaarndamseweg) - keukenhof - oude wetering poi,2,,,Y,,,,,,,,,"53668171,53668174"
haarlem (spaarndamseweg) - zaanse schans (loop),2,Y,,,,,,,,,,,"51950902,51953437"
haarlem (spaarndamseweg) - zaanse schans (loop) (copy),1,Y,,,,,,,,,,,54852647
haarlem (stadt) - keukenhof - leiden,1,,,Y,,,,,,,,,53665442
haarlem (stadt) - keukenhof - leiden (durch dünen),1,,,Y,,,,,,,,,53665445
haarlem (stadt) - leiden (durch dünen),1,,,Y,,,,,,,,,53665222
haarlem (stadt) - leiden (über cruquius),1,,,Y,,,,,,,,,53665215
haarlem - alkmaar,1,,,Y,,,,,,,,,53668194
haarlem - alkmaar (via heiloo),1,Y,,,,,,,,,,,54535028
haarlem - amsterdam,4,,,Y,,,,,,,,,"53668264,53668265,54572293,54572308"
haarlem - keukenhof (schleife),1,,,Y,,,,,,,,,53665636
haarlem - keukenhof - haarlem,1,,,Y,,,,,,,,,26920972
haarlem - nordsee - haarlem,2,,,Y,Y,,,,,,,Y,"26578994,26920976"
haarlem - zaanse schans - amsterdam (tolhuis),2,Y,,Y,,,,,,,,,"54799748,54800841"
haarlem haarlem (spaarndamseweg) - north sea (loop) / mi,1,Y,Y,,,,,,,,,Y,26528912
haarlem haarlem (spaarndamseweg) - north sea (loop) / mi - north sea (loop) / mi,1,Y,Y,,,,,,,,,Y,26921011
halfweg - zaanse schans,1,Y,,,,,,,,,,,54648411
hansweert - zandvliet kust,1,,,,,,,,,Y,Y,Y,53837389
harderwijk - huizen (via putten - spakenburg),1,Y,,,,,,,,,,,32188212
harderwijk - huizen (via spakenburg),1,Y,,,,,,,,,,,49521969
harderwijk - huizen (über putten - spakenburg),1,,,Y,,,,,,,,,53668755
harderwijk - huizen (über spakenburg),1,,,Y,,,,,,,,,53668750
harderwijk - spakenburg (via putten),1,Y,Y,,,,,,,,,Y,39329822
harderwijk - spakenburg (via veluwe & nijkerk),1,Y,Y,,,,,,,,,Y,26806064
harderwijk - spakenburg (über putten),1,,,Y,,,,,,,,,53668731
harderwijk - spakenburg (über veluwe & nijkerk),1,,,Y,,,,,,,,,53668732
harelbeke - deinze michiel,1,Y,,,,,,,,,,,49434634
harelbeke - oudenaarde - deinze,2,Y,Y,,,,,,,,,Y,"49440887,53899222"
harlingen - franeker - leeuwarden,6,Y,,Y,,,,,,,,,"34570310,34570313,53684147,53684150"
harlingen - franeker - leeuwarden nld,2,,,,,,,,,Y,Y,Y,"38871274,38871276"
harlingen - franeker - makkum (via bolsward),1,Y,Y,,,,,,,,,Y,50251101
harlingen - franeker - makkum (via bolsward) nld,1,,,,,,,,,Y,,,54374300
harlingen - franeker - makkum (via coast),1,Y,,,,,,,,,,,41669835
harlingen - franeker - makkum (via kust) nld,1,,,,,,,,,Y,,,54374297
harlingen - franeker - makkum (via pingjum),1,Y,,,,,,,,,,,41669837
harlingen - franeker - makkum (via pingjum) nld,1,,,,,,,,,Y,,,54374301
harlingen - franeker - makkum (über bolsward),1,,,Y,,,,,,,,,53684039
harlingen - franeker - makkum (über die küste),1,,,Y,,,,,,,,,53684037
harlingen - franeker - makkum (über pingjum),1,,,Y,,,,,,,,,53684108
harlingen - kornwerderzand,8,Y,,Y,Y,,,,,,,Y,"53520134,53522464,53782232,53782233"
hasselt - maastricht (rs),1,Y,,,,,,,,,,,44992369
hassfurt - bamberg,2,Y,,Y,,,,,,,,,"26632317,53806290"
hassfurt - schweinfurt,2,Y,,Y,,,,,,,,,"49434216,53806298"
haudival - péronne (via ham & péronne),1,Y,Y,,,,,,,,,Y,28729101
haudival - péronne (via ham),1,Y,,,,,,,,,,,31600185
havrincourt - arleux (via masnières),1,Y,Y,,,,,,,,,Y,41455218
havrincourt - arleux (via vaucelles and canal),1,Y,,,,,,,,,,,52841713
havrincourt - arleux (via vaucelles),1,Y,Y,,,,,,,,,Y,26617076
havrincourt - cambrai - douai,2,Y,Y,,,,,,,,,Y,"50031097,53899216"
havrincourt - douai,2,Y,Y,,,,,,,,,Y,"49434555,53899215"
havringcourt - douai,1,Y,,,,,,,,,,,50031347
haßfurt - bamberg,1,Y,Y,,,,,,,,,Y,55927455
haßfurt-bamberg,1,Y,Y,,,,,,,,,Y,54345203
heeg galamadammen,2,Y,,Y,,,,,,,,,"54313955,54314386"
heeg galamadammen nld,1,,,,,,,,,Y,,,54314562
heeg-balk-stavoren,2,Y,,Y,,,,,,,,,"54313957,54314318"
heeg-balk-stavoren nld,1,,,,,,,,,Y,,,54314581
heeg-stavoren,2,Y,,Y,,,,,,,,,"54313958,54314353"
heeg-stavoren nld,1,,,,,,,,,Y,Y,Y,54314590
helsingborg (loop),3,Y,,Y,,,,,,,,,"50952582,54387007,55570361"
helsingborg (schleife),1,,,Y,,,,,,,,,53684533
helsingborg - landskrona,2,Y,,Y,Y,,,,,,,Y,"49322976,53684531"
helsingør (loop),2,Y,,,,,,,,,,,"49322962,50952428"
helsingør (schleife),2,,,Y,Y,,,,,,,Y,"53684535,53684538"
heusden - gorinchem (rs),1,Y,,,,,,,,,,,44992898
heusden - loonse & drunense duinen - heusden,5,Y,,Y,,,,,,,,,"55205433,55205476,55206956,55206966"
heusden - loonse & drunense duinen - heusden kort nld,2,,,,,,,,,Y,,,"34468209,55204234"
heusden - loonse & drunense duinen - heusden nld,2,,,,,,,,,Y,,,"34468107,55204235"
hoorn (loop),1,Y,Y,,,,,,,,,Y,47686375
hoorn (schleife),1,,,Y,,,,,,,,,53683940
hoorn - alkmaar - schoorl,4,Y,,Y,,,,,,,,,"49611570,49618727,49672937,49681573"
hoorn - alkmaar - schoorl (copy),1,Y,,,,,,,,,,,50890476
hoorn - enkhuizen (via coast),2,Y,Y,,,,,,,,,Y,"27138290,54994027"
hoorn - enkhuizen (via kust) nld,1,,,,,,,,,Y,,,54221035
hoorn - enkhuizen (via medemblik),2,Y,Y,,,,,,,,,Y,"48302657,54993996"
hoorn - enkhuizen (via medemblik) nld,2,,,,,,,,,Y,,,"49812029,54221027"
hoorn - enkhuizen (via midwoud),1,Y,Y,,,,,,,,,Y,29122747
hoorn - enkhuizen (via midwoud) nld,2,,,,,,,,,Y,,,"49812023,54221031"
hoorn - enkhuizen (über die küste),1,,,Y,Y,,,,,,,Y,53677358
hoorn - enkhuizen (über medemblik),1,,,Y,,,,,,,,,53683938
hoorn - enkhuizen (über midwoud),1,,,Y,,,,,,,,,53677355
hoorn - medemblik,2,Y,,,,,,,,,,,"50890872,50942520"
hoorn - medemblik (n),1,,,Y,,,,,,,,,54393733
hoorn - medemblik - hoorn,2,Y,,Y,,,,,,,,,"54572759,54572774"
hoorn - medemblik nld,1,,,,,,,,,Y,,,54221037
hoorn - volendam,2,Y,Y,Y,,,,,,,,Y,"28988159,53683942"
hoorn - zaanse schans,3,Y,,Y,,,,,,,,,"54521110,54521254,54521270"
hoorn - zaanse schans nld,1,,,,,,,,,Y,,,54521305
huizen - amsterdam (buiksloterweg),1,,,Y,,,,,,,,,53668735
huizen - amsterdam (minerva & buiksloterweg) (via crailoo) nld,1,,,,,,,,,Y,,,54221018
huizen - amsterdam (minerva & buiksloterweg) nld,1,,,,,,,,,Y,,,54221015
huizen - amsterdam (minerva),2,Y,,Y,,,,,,,,,"49499301,53668739"
huizen - amsterdam (minerva) (via crailoo),1,Y,,,,,,,,,,,32188339
huizen - amsterdam (minerva) (über crailoo),1,,,Y,,,,,,,,,53668740
huizen - amsterdam (oosterdok) (via crailoo),1,,,Y,,,,,,,,,53668738
huizen - amsterdam (tolhuis-buikslotermeer),1,,,Y,Y,,,,,,,Y,55135334
huizen - amsterdam (tolhuis-buikslotermeer) (via crailoo),1,,,Y,,,,,,,,,55135351
huizen - amsterdam (tolhuis-buiksloterweg),1,Y,Y,,,,,,,,,Y,32188490
huizen - amsterdam (tolhuis-buiksloterweg) (via crailoo),1,Y,Y,,,,,,,,,Y,49499230
huizen - utrecht alt,1,Y,,,,,,,,,,,51853957
huizen - zaandam,2,Y,,Y,,,,,,,,,"54091379,54393773"
huizen - zaandam nld,1,,,,,,,,,Y,,,54221011
joigny (loop to winery),1,Y,Y,,,,,,,,,Y,34304345
joigny - auxerre,2,Y,,,,,,,,,,,"34339974,39435878"
joigny - auxerre (t),1,Y,,,,,,,,,,,55804396
joigny - villeneuve-sur-yonne,1,Y,,,,,,,,,,,32070435
joigny - villeneuve-sur-yonne (hilly),1,Y,,,,,,,,,,,53491939
joigny - villeneuve-sur-yonne (t),2,Y,,,,,,,,,,,"55804337,55804434"
