route_id,name,dist_km,cue_type,cue_note,measured_angle_deg,cue_lang,also_retrace,action,status
18687306,Neronville - Nemours 45 km ENG 2026,11.7,Uturn,Turn around to continue ride,0.3,EN,,Delete spurious U-turn cue,TODO
19355087,Wesel - Duisburg 40 km ENG 2026,35.34,Uturn,Sharp right then left under hightway and rail track,0.1,EN,yes,Delete spurious U-turn cue,TODO
19578005,Makkum - Stavoren 30 km ENG 2026,12.4,Uturn,Make a U-turn onto Begine,3.9,EN,,Delete spurious U-turn cue,TODO
26525090,Rüdesheim - Mainz (via river) 32 km ENG 2026,24.19,Uturn,Make a U-turn,2.0,EN,yes,Delete spurious U-turn cue,TODO
26528912,Haarlem Haarlem (Spaarndamseweg) - North Sea (loop) 41 km / 25 mi ENG 2026,27.85,Uturn,Make a U-turn onto Doctor C.A. Gerkestraat,10.0,EN,,Delete spurious U-turn cue,TODO
26528912,Haarlem Haarlem (Spaarndamseweg) - North Sea (loop) 41 km / 25 mi ENG 2026,29.24,Uturn,Make a U-turn,0.5,EN,,Delete spurious U-turn cue,TODO
26544361,Breukelen - Utrecht (centrum) 36km / 22mi ENG 2026,26.57,Uturn,Make a U-turn onto Oostwaard,1.6,EN,,Delete spurious U-turn cue,TODO
26575876,Compiègne - Pont-Sainte-Maxence 54 km ENG 2026,51.02,Uturn,Make a U-turn,0.6,EN,,Delete spurious U-turn cue,TODO
26575876,Compiègne - Pont-Sainte-Maxence 54 km ENG 2026,52.05,Uturn,Make a U-turn,0.2,EN,,Delete spurious U-turn cue,TODO
26606503,Saarburg - Remich (via Mannebach) 44 km ENG 2026,6.58,Uturn,Make a U-turn onto Schulstraße,6.0,EN,,Delete spurious U-turn cue,TODO
26609808,Richemont - Remich 52 km ENG 2026,40.38,Uturn,Make a U-turn onto Chemin de la Moselle,1.8,EN,yes,Delete spurious U-turn cue,TODO
26613278,Zell - Bernkastel-Kues 44 km ENG 2026,20.47,Uturn,"Make a U-turn onto Bahnstraße, L 187",13.1,EN,yes,Delete spurious U-turn cue,TODO
26613278,Zell - Bernkastel-Kues 44 km ENG 2026,36.49,Uturn,Make a U-turn,2.3,EN,yes,Delete spurious U-turn cue,TODO
26632225,Wertheim - Lohr 44 km ENG 2026,24.07,Uturn,Keer om naar Marktplatz,9.8,NL,yes,Delete spurious U-turn cue,TODO
26632242,Karlstadt - Würzburg - 34 km ENG 2026,32.9,Uturn,Make a U-turn onto Kärrnergasse,13.5,EN,yes,Delete spurious U-turn cue,TODO
26632317,Hassfurt - Bamberg 39 km ENG 2026,37.49,Straight,Keer om bij Friedensbrücke,13.0,NL,yes,Delete spurious U-turn cue,TODO
