Row #;Tour (Tour__r.Name);Program;Day;Optie;Doel km;Gematchte CSV route;Verschil (km);Hoogtemeters;Zekerheid
10;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium;Day 2: Utrecht – Vreeswijk | Vreeswijk – Schoonhoven – Kinderdijk  | Kinderdijk;Optie 1;32;Dordrecht // Alblasserdam - Kinderdijk - Schoonhoven 32 km ENG 2026;0,43;72,2;Hoog
10;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium;Day 2: Utrecht – Vreeswijk | Vreeswijk – Schoonhoven – Kinderdijk  | Kinderdijk;Optie 2;56;Dordrecht // Alblasserdam - Kinderdijk - Vianen 57 km ENG 2026;0,99;137,1;Laag (niet toegepast)
11;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium;Day 3: Dordrecht – Willemstad | Willemstad – Bergen op Zoom;Optie 1;42;Tholen - Willemstad (via Steenbergen) 42 km ENG 2026;0,4;105,2;Hoog
11;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium;Day 3: Dordrecht – Willemstad | Willemstad – Bergen op Zoom;Optie 2;50;Tholen - Willemstad (via Oud Vossemeer) 46 km ENG 2026;4,48;107,3;Redelijk
12;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium;Day 4: Bergen op Zoom – Kreekrak lock | Kreekrak  lock - Antwerp;Optie 1;21;Kreekrak (west) - Tholen 20 km ENG 2026;0,56;54,6;Hoog
12;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium;Day 4: Bergen op Zoom – Kreekrak lock | Kreekrak  lock - Antwerp;Optie 2;35;Kreekrak (west) - Tholen 34 km ENG 2026;0,72;119,8;Hoog
49;Holland and Belgium: Amsterdam - Bruges Premium;Program: Bruges - Amsterdam Medium/Premium MAG;Day 1: Bruges;Optie 1;15;Ghent (city) - Lovendegem 10 km ENG 2026;4,6;30,2;Laag (niet toegepast)
50;Holland and Belgium: Amsterdam - Bruges Premium;Program: Bruges - Amsterdam Medium/Premium MAG;Day 2: Bruges – Ghent;Optie 1;35;Bruges - Lissewege (loop) 38 km ENG 2026;3,09;124,6;Redelijk
50;Holland and Belgium: Amsterdam - Bruges Premium;Program: Bruges - Amsterdam Medium/Premium MAG;Day 2: Bruges – Ghent;Optie 2;57;Vianen - Kinderdijk - Alblasserdam //  Dordrecht 57 km ENG 2026;0,12;138,8;Laag (niet toegepast)
51;Holland and Belgium: Amsterdam - Bruges Premium;Program: Bruges - Amsterdam Medium/Premium MAG;Day 3: Ghent – Dendermonde/St. Amands;Optie 1;40;Dendermonde - Ghent (city) 38 km ENG 2026;1,97;144,4;Redelijk
51;Holland and Belgium: Amsterdam - Bruges Premium;Program: Bruges - Amsterdam Medium/Premium MAG;Day 3: Ghent – Dendermonde/St. Amands;Optie 2;53;Antwerp - Dendermonde 53 km ENG 2026;0,1;192,3;Hoog
