route_id,name,tour,program,day,option,language,match_status,source_row,day_desc,option_raw,target_km,diff_km,elev_m,confidence,applied
49290631|53899243,Cappy - Corbie (via Thiepval) 54 km ENG 2026,Through Flanders Fields and along the Somme,Program Bruges - Abbeville,8,2,EN,ambiguous,1593,Day 8: Cappy – Corbie,Optie 2,54.0,0.11,423.5,Hoog,True
49293254|53899244,Corbie - Amiens 29 km ENG 2026,Through Flanders Fields and along the Somme,Program Bruges - Abbeville,9,1,EN,ambiguous,1594,Day 9: Corbie – Amiens,Optie 1,29.0,0.1,218.1,Hoog,True
49296021|53899245,Corbie - Amiens (via Moreuil) 53 km ENG 2026,Through Flanders Fields and along the Somme,Program Bruges - Abbeville,9,2,EN,ambiguous,1594,Day 9: Corbie – Amiens,Optie 2,53.0,0.07,446.9,Hoog,True
49295951|53899248,Samara - Long 39 km ENG 2026,Through Flanders Fields and along the Somme,Program Bruges - Abbeville,11,1,EN,ambiguous,1596,Day 11: Amiens – Samara,Optie 1,42.0,4.0,390.0,Redelijk,True
49293250|53899247,Amiens - Samara 51 km ENG 2026,Through Flanders Fields and along the Somme,Program Bruges - Abbeville,11,2,EN,ambiguous,1596,Day 11: Amiens – Samara,Optie 2,51.0,0.44,302.0,Hoog,True
49940703|53899246,Amiens - Samara 42 km ENG 2026,Through Flanders Fields and along the Somme,Program Bruges - Abbeville,12,1,EN,ambiguous,1597,Day 12: Samara – La Breilloire Breilloire – Long,Optie 1,39.0,2.96,273.1,Redelijk,True
49977604|53899250,Long - Abbeville 57 km ENG 2026,Through Flanders Fields and along the Somme,Program Bruges - Abbeville,13,1,EN,ambiguous,1598,Day 13: Long – Abbeville,Optie 1,57.0,0.52,371.7,Hoog,True
49940887|53899204|53899251,Abbeville - Saint-Valery (loop) 47 km ENG 2026,Through Flanders Fields and along the Somme,Program Bruges - Abbeville,14,1,EN,ambiguous,1599,Day 14: Abbeville – Saint-Valéry-sur-Somme – Abbeville,Optie 1,47.0,0.3,296.4,Hoog,True
49297091|53899205|53899252,Abbeville - Saint-Valery (loop) 68 km ENG 2026,Through Flanders Fields and along the Somme,Program Bruges - Abbeville,14,2,EN,ambiguous,1599,Day 14: Abbeville – Saint-Valéry-sur-Somme – Abbeville,Optie 2,68.0,0.07,360.7,Hoog,True
49940887|53899204|53899251,Abbeville - Saint-Valery (loop) 47 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,2,1,EN,ambiguous,1602,Day 2: Abbeville – Saint-Valéry-sur-Somme – Abbeville,Optie 1,47.0,0.3,296.4,Hoog,True
