route_name,stem,manual,tour_guess,snippet
Cologne - Bonn 39 km ENG 2026,cologne - bonn,Information about a tour 2026\Premium_ Amsterdam - Cochem\Old\Draaiboek Amsterdam - Cochem 2024.docx,Draaiboek Amsterdam - Cochem 2024,"…nse kerken, vismarkt l-af, via rheinpromenade terug. day 5: cologne - bonn (38 km/23 mi) today we follow the river again by bike in or…"
Cologne - Bonn 36 km ENG 2026,cologne - bonn,Information about a tour 2026\Premium_ Amsterdam - Cochem\Old\Draaiboek Amsterdam - Cochem 2024.docx,Draaiboek Amsterdam - Cochem 2024,"…nse kerken, vismarkt l-af, via rheinpromenade terug. day 5: cologne - bonn (38 km/23 mi) today we follow the river again by bike in or…"
Compiègne - Pont-Ste-Maxence 42 km ENG 2026,compiègne - pont-ste-maxence,Information about a tour 2026\Premium_ Belgium & France_ Bruges – Paris or Paris – Bruges Premium\old\Draaiboek Brugge-Parijs 2024.docx,Draaiboek Brugge-Parijs 2024,…nt-l’évêque pont-l’évêque - compiègne clairière d’armistice compiègne - pont-ste-maxence pierrefonds pont-ste-maxence - auvers-s/-oise chantilly auv…
Compiègne - Pont-Ste-Maxence 42 km ENG 2026,compiègne - pont-ste-maxence,Information about a tour 2026\Premium_ Belgium & France_ Bruges – Paris or Paris – Bruges Premium\old\Draaiboek Brugge-Parijs 2025 (1).docx,Draaiboek Brugge-Parijs 2025 (1),…nt-l’évêque pont-l’évêque - compiègne clairière d’armistice compiègne - pont-ste-maxence pierrefonds pont-ste-maxence - auvers-s/-oise chantilly auv…
Compiègne - Pont-Ste-Maxence 42 km ENG 2026,compiègne - pont-ste-maxence,Information about a tour 2026\Premium_ Belgium & France_ Bruges – Paris or Paris – Bruges Premium\old\Draaiboek Brugge-Parijs 2026.docx,Draaiboek Brugge-Parijs 2026,…nt-l’évêque pont-l’évêque - compiègne clairière d’armistice compiègne - pont-ste-maxence pierrefonds pont-ste-maxence - auvers-s/-oise chantilly auv…
Compiègne - Soissons 46 km ENG 2026,compiègne - soissons,Information about a tour 2026\Premium_ Parijs - Epernay v.v\Oud\Draaiboek Paris to Soissons 2025 (emergency operational sheet).docx,Draaiboek Paris to Soissons 2025 (emergency operational sheet),…ok dan slechts enkele minuten lopen van het centrum. day 6: compiègne - soissons (50km) today you cycle through the varied landscapes of nor…
Creil - Auvers-sur-Oise 54 km ENG 2026,creil - auvers-sur-oise,Information about a tour 2026\Premium_ Belgium & France_ Bruges – Paris or Paris – Bruges Premium\old\Draaiboek Brugge-Parijs 2024.docx,Draaiboek Brugge-Parijs 2024,…enemen morgen. dag 12 woensdag: pont-sainte-maxence - creil creil - auvers-sur-oise 42 / 57 km (26 / 35 mile) after a sailing breakfast you sta…
Cuijk - Arcen 56 km ENG 2026,cuijk - arcen,Information about a tour 2026\Boutique_ Amsterdam - Maastricht vv\Amsterdam - Maastricht 2026 Draaiboek[35].docx,Amsterdam - Maastricht 2026 Draaiboek[35],"…heusden lith/oss - cuijk (38 km/24 mi, 54 km/34 mi) day 5 : cuijk - arcen (53 km/32 mi) day 6 : arcen - roermond (50 km/31 mi) day 7 …"
Cuijk - Arcen 56 km ENG 2026,cuijk - arcen,Information about a tour 2026\Boutique_ Amsterdam - Maastricht vv\Old\Amsterdam - Maastricht 2026 Draaiboek.docx,Amsterdam - Maastricht 2026 Draaiboek,"…ken. en begraafplaats met kunst, naast museum. day 5 (wed): cuijk - arcen (53 km/32 mi.) today a magnificent bike tour is scheduled.y…"
Cuijk - Arcen 56 km ENG 2026,cuijk - arcen,Information about a tour 2026\Boutique_ Amsterdam - Maastricht vv\Old\Draaiboek Amsterdam - Maastricht 2024.docx,Draaiboek Amsterdam - Maastricht 2024,"…ken. en begraafplaats met kunst, naast museum. day 5 (wed): cuijk - arcen (53 km/32 mi.) today a magnificent bike tour is scheduled.y…"
Cuijk - Grave - Cuijk 43 km ENG 2026,cuijk - grave - cuijk,Information about a tour 2026\ANWB Limburgse Maas\old\Draaiboek Nijmegen-Maastricht ANWB v.v. 2025.docx,Draaiboek Nijmegen-Maastricht ANWB v.v. 2025,…np 5; steyl; diverse attracties o.a. 1) dag 6 venlo - cuijk cuijk - grave - cuijk (43 km) van cuijk - kleve - cuijk (55 km) vandaag brengt he…
Cuijk - Kleve - Cuijk  55km ENG 2026,cuijk - kleve - cuijk,Information about a tour 2026\ANWB Limburgse Maas\old\Draaiboek Limburgse Maas ANWB 2025.docx,Draaiboek Limburgse Maas ANWB 2025,"…de bewegwijzeringsborden!!! tourguide notes: blauwe route 1 cuijk - kleve - cuijk (55 km) (bij start vanuit mook een aanfietsroute uitleggen,…"
Cuijk - Kleve - Cuijk  55km ENG 2026,cuijk - kleve - cuijk,Information about a tour 2026\ANWB Limburgse Maas\old\Draaiboek Nijmegen-Maastricht ANWB v.v. 2025 (1).docx,Draaiboek Nijmegen-Maastricht ANWB v.v. 2025 (1),"…de bewegwijzeringsborden!!! tourguide notes: blauwe route 1 cuijk - kleve - cuijk (55 km) (bij start vanuit mook een aanfietsroute uitleggen,…"
Cuijk - Kleve - Cuijk  55km ENG 2026,cuijk - kleve - cuijk,Information about a tour 2026\ANWB Limburgse Maas\old\Draaiboek Nijmegen-Maastricht ANWB v.v. 2025.docx,Draaiboek Nijmegen-Maastricht ANWB v.v. 2025,…a. 1) dag 6 venlo - cuijk cuijk - grave - cuijk (43 km) van cuijk - kleve - cuijk (55 km) vandaag brengt het schip u tijdens een varend ontbi…
Cuijk - Venlo 66km ENG 2026,cuijk - venlo,Information about a tour 2026\ANWB Limburgse Maas\old\Draaiboek Nijmegen-Maastricht ANWB v.v. 2025.docx,Draaiboek Nijmegen-Maastricht ANWB v.v. 2025,…en na diner zelf een wandelingetje door cuijk maken. dag 2: cuijk - venlo 66 km / venlo - roermond tekst site: na het ontbijt maak je…
Den Helder - Alkmaar 53 km ENG 2026,den helder - alkmaar,Information about a tour 2026\S&B_ 8-day Sail & Bike Tulip Tour\old\Draaiboek Tulp S&B Amsterdam - Z.Schans 2024.docx,Draaiboek Tulp S&B Amsterdam - Z.Schans 2024,….00 dinner 18.00 dinner berth den helder 19.30 tourbriefing den helder - alkmaar 43 km/29 mi. or 48km/26mi 8.00 breakfast 8.00 breakfast 10.…
Deventer - Hattem - Kampen 50km ENG 2026,deventer - hattem - kampen,Information about a tour 2026\Premium_ Historic Hanseatic cities\old\Draaiboek Hanze Premium (Boutique) 2024 .docx,Draaiboek Hanze Premium (Boutique) 2024 ,"…rth deventer, welle schedule ship schedule cyclists tuesday deventer - hattem - kampen 36 km/23 mi or 48 km/29 mi 8.00 breakfast 8.00 breakfast 9.…"
Doesburg - Vorden - Lochem 44 km ENG 2026,doesburg - vorden - lochem,Information about a tour 2026\ANWB_ Veluwe en Hanzesteden\old\Draaiboek Veluwe+Hanzesteden 2025 new.docx,Draaiboek Veluwe+Hanzesteden 2025 new,…ek halverwege de dag verder wordt gevaren deze week. dag 2: doesburg - vorden - lochem (44 of 56 km) vanuit doesburg fiets je naar het kleinste pl…
Doesburg - Vorden - Lochem 44 km ENG 2026,doesburg - vorden - lochem,Information about a tour 2026\ANWB_ Veluwe en Hanzesteden\old\Draaiboek Veluwe+Hanzesteden 2025.docx,Draaiboek Veluwe+Hanzesteden 2025,…e fiets te halen als fietsen van en aan boord gaan . dag 2: doesburg - vorden - lochem (44 of 56 km) vanuit doesburg fiets je naar het kleinste pl…
Doesburg - Zutphen 27 km ENG 2026,doesburg - zutphen,Information about a tour 2026\Premium_ Historic Hanseatic cities\old\Draaiboek Hanze La Mar-Lena Maria 2025(1).docx,Draaiboek Hanze La Mar-Lena Maria 2025(1),… leuke plek voor koffie en/of its meer. mooi terras. day 3: doesburg - zutphen zutphen - deventer (27 km/17 mi. or 44 km/28 mi.) from does…
Doesburg - Zutphen 27 km ENG 2026,doesburg - zutphen,Information about a tour 2026\Premium_ Historic Hanseatic cities\old\Draaiboek Hanze La Mar-Lena Maria 2025(2).docx,Draaiboek Hanze La Mar-Lena Maria 2025(2),… leuke plek voor koffie en/of its meer. mooi terras. day 3: doesburg - zutphen zutphen - deventer (27 km/17 mi. or 44 km/28 mi.) from does…
Doesburg - Zutphen 27 km ENG 2026,doesburg - zutphen,Information about a tour 2026\Premium_ Historic Hanseatic cities\old\Draaiboek Hanze La Mar-Lena Maria 2025(3).docx,Draaiboek Hanze La Mar-Lena Maria 2025(3),… leuke plek voor koffie en/of its meer. mooi terras. day 3: doesburg - zutphen zutphen - deventer (27 km/17 mi. or 44 km/28 mi.) from does…
Doesburg - Zutphen 27 km ENG 2026,doesburg - zutphen,Information about a tour 2026\Premium_ Historic Hanseatic cities\old\Draaiboek Hanze La Mar-Lena Maria 2025.docx,Draaiboek Hanze La Mar-Lena Maria 2025,… leuke plek voor koffie en/of its meer. mooi terras. day 3: doesburg - zutphen zutphen - deventer (27 km/17 mi. or 44 km/28 mi.) from does…
Doesburg - Zutphen 27 km ENG 2026,doesburg - zutphen,Information about a tour 2026\Premium_ Historic Hanseatic cities\old\Draaiboek Hanze La Mar-Lena Maria 2026(1).docx,Draaiboek Hanze La Mar-Lena Maria 2026(1),…dezelfde kade waar het schip ligt. day 3: arnhem - doesburg doesburg - zutphen (27 km/16 mi. or 44 km/27 mi.) zutphen - deventer during br…
