route_id,name,tour,program,day,option,language,match_status,source_row,day_desc,option_raw,target_km,diff_km,elev_m,confidence,applied
31544016,Dordrecht // Alblasserdam - Kinderdijk - Schoonhoven 32 km ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Amsterdam - Bruges Medium/Premium,2,1,EN,exact,10,Day 2: Utrecht – Vreeswijk | Vreeswijk – Schoonhoven – Kinderdijk  | Kinderdijk,Optie 1,32.0,0.43,72.2,Hoog,True
26884044,Dordrecht // Alblasserdam - Kinderdijk - Vianen 57 km ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Amsterdam - Bruges Medium/Premium,2,2,EN,exact,10,Day 2: Utrecht – Vreeswijk | Vreeswijk – Schoonhoven – Kinderdijk  | Kinderdijk,Optie 2,56.0,0.99,137.1,Laag (niet toegepast),False
26884038,Tholen - Willemstad (via Steenbergen) 42 km ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Amsterdam - Bruges Medium/Premium,3,1,EN,exact,11,Day 3: Dordrecht – Willemstad | Willemstad – Bergen op Zoom,Optie 1,42.0,0.4,105.2,Hoog,True
26884027,Tholen - Willemstad (via Oud Vossemeer) 46 km ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Amsterdam - Bruges Medium/Premium,3,2,EN,exact,11,Day 3: Dordrecht – Willemstad | Willemstad – Bergen op Zoom,Optie 2,50.0,4.48,107.3,Redelijk,True
26884030,Kreekrak (west) - Tholen 20 km ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Amsterdam - Bruges Medium/Premium,4,1,EN,exact,12,Day 4: Bergen op Zoom – Kreekrak lock | Kreekrak  lock - Antwerp,Optie 1,21.0,0.56,54.6,Hoog,True
26884023,Kreekrak (west) - Tholen 34 km ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Amsterdam - Bruges Medium/Premium,4,2,EN,exact,12,Day 4: Bergen op Zoom – Kreekrak lock | Kreekrak  lock - Antwerp,Optie 2,35.0,0.72,119.8,Hoog,True
44712627,Ghent (city) - Lovendegem 10 km ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Bruges - Amsterdam Medium/Premium MAG,1,1,EN,exact,49,Day 1: Bruges,Optie 1,15.0,4.6,30.2,Laag (niet toegepast),False
26848663,Bruges - Lissewege (loop) 38 km ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Bruges - Amsterdam Medium/Premium MAG,2,1,EN,exact,50,Day 2: Bruges – Ghent,Optie 1,35.0,3.09,124.6,Redelijk,True
26848529,Vianen - Kinderdijk - Alblasserdam //  Dordrecht 57 km ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Bruges - Amsterdam Medium/Premium MAG,2,2,EN,exact,50,Day 2: Bruges – Ghent,Optie 2,57.0,0.12,138.8,Laag (niet toegepast),False
43547879,Dendermonde - Ghent (city) 38 km ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Bruges - Amsterdam Medium/Premium MAG,3,1,EN,exact,51,Day 3: Ghent – Dendermonde/St. Amands,Optie 1,40.0,1.97,144.4,Redelijk,True
31554711,Antwerp - Dendermonde 53 km ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Bruges - Amsterdam Medium/Premium MAG,3,2,EN,exact,51,Day 3: Ghent – Dendermonde/St. Amands,Optie 2,53.0,0.1,192.3,Hoog,True
31566631,Moerbrugge - Bruges 33 km ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Bruges - Amsterdam Medium/Premium MAG,4,1,EN,exact,52,Day 4: St. Amands – Temse – Antwerp,Optie 1,32.0,1.21,115.3,Laag (niet toegepast),False
31554812,Antwerp  - Dendermonde (via Waterbus) 42 ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Bruges - Amsterdam Medium/Premium MAG,4,2,EN,exact,52,Day 4: St. Amands – Temse – Antwerp,Optie 2,49.0,0.57,182.3,Hoog,True
31566504,Tholen - Kreekrak (west) 35 km ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Bruges - Amsterdam Medium/Premium MAG,5,1,EN,exact,53,Day 5: Antwerp – Kreekrak locks | Kreekrak locks – Tholen | Tholen – Willemstad,Optie 1,36.0,1.86,152.5,Redelijk,True
26848586,Tholen - Kreekrak (west) 21 km ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Bruges - Amsterdam Medium/Premium MAG,5,2,EN,exact,53,Day 5: Antwerp – Kreekrak locks | Kreekrak locks – Tholen | Tholen – Willemstad,Optie 2,20.0,0.5,45.6,Hoog,True
31459911,Schoonhoven - Kinderdijk - Alblasserdam  //  Dordrecht 32 km ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Bruges - Amsterdam Medium/Premium MAG,6,1,EN,exact,54,Day 6: Dordrecht – Kinderdijk | Kinderdijk – Schoonhoven – Vreeswijk/Utrecht,Optie 1,32.0,0.51,68.9,Hoog,True
52207479,Vreeswijk - Kinderdijk - Alblasserdam // Dordrecht 57 km ENG 2026,Holland and Belgium: Amsterdam - Bruges Premium,Program: Bruges - Amsterdam Medium/Premium MAG,6,2,EN,exact,54,Day 6: Dordrecht – Kinderdijk | Kinderdijk – Schoonhoven – Vreeswijk/Utrecht,Optie 2,57.0,1.08,144.8,Redelijk,True
