ZAPUNTEL - MOLAT    8.6 km    · signs & notes only ·

DIRECTIONS
    0.8 km   Keep left
    1.7 km   Turn left
    1.7 km   Turn right (follow 6.5 km)
  ★ 3.7 km  [see] Viewpoint Brgulje
  ★ 5.0 km  [convenience_store] Store
  ★ 5.0 km  [bar] Brgulje Bar
  ★ 5.0 km  [swimming] Swimming
    8.2 km   Turn right
  ★ 8.2 km  [monument] Monument
  ★ 8.2 km  [monument] Monument
  ★ 8.2 km  [swimming] Beach
  ★ 8.6 km  [bar] Bar Molat
  ★ 8.6 km  [swimming] Swimming
