WAGENINGEN - ARNHEM NDL    43.6 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Rechtsaf naar Grebbedijk
    0.3 km   Houd links aan naar Havenafweg
    0.4 km   Houd rechts aan naar Nudestraat
    0.6 km   Rechtsaf naar Emmapark
    0.8 km   Linksaf naar Niemeijerstraat
    1.0 km   Rechtsaf naar Salverdaplein
    1.1 km   Linksaf naar Herenstraat
    1.3 km   Rechtsaf naar Bergstraat
    1.4 km   Blijf op 5 Mei Plein
  ★ 1.4 km  [see] Hotel de Wereld
    1.5 km   Houd rechts aan naar 5 Mei Plein
    1.6 km   Linksaf naar Veerstraat (follow 1.2 km)
    2.8 km   Blijf op Onderlangs (follow 1.9 km)
    4.7 km   Rechtsaf
    5.5 km   Linksaf naar Dorpsstraat
    5.5 km   Linksaf naar Dorpsstraat
    5.5 km   Houd links aan naar Onder de Bomen
    6.0 km   Linksaf naar Beukenlaan
    6.6 km   Rechtsaf naar Waterweg
    7.2 km   Linksaf naar Nieuwe Keijenbergseweg
  ★ 7.8 km  [bar] Lunchroom de Beken
  ★ 7.8 km  [note] Generic
    8.1 km   Rechtsaf naar Bennekomseweg
    8.7 km   Ga linksaf naar Schaapsdrift
    9.0 km   Rechtsaf naar Wijde Veldweg (follow 2.6 km)
   11.6 km   Houd rechts aan
   11.8 km   Houd rechts aan
   12.6 km   Houd rechts aan naar Wijde Veldweg
   12.9 km   Houd links aan (follow 1.7 km)
   14.6 km   Linksaf naar Verlengde Arnhemseweg
  ★ 14.9 km  [note] Nature Centre Veluwe
   15.2 km   Rechtsaf (follow 1.9 km)
  ★ 15.9 km  [see] Schaapskooi / sheeps cage
   17.0 km   Linksaf naar Kreelseweg
   17.4 km   Houd links aan
   18.4 km   Linksaf naar Kreelseweg
   18.7 km   Houd links aan (follow 1.4 km)
   20.2 km   Houd rechts aan
   20.6 km   Ga rechtsaf
  ★ 20.6 km  [food] Farm De Mossel: 200 mtrs onto Mosselseweg
   20.6 km   Ga rechtsaf (follow 1.4 km)
   22.1 km   Houd links aan (follow 2.6 km)
   24.7 km   Linksaf naar Verlengde Arnhemseweg
  ★ 24.7 km  [food] Planken Wambuis
   25.2 km   Linksaf
   25.2 km   Houd links aan (follow 1.7 km)
   26.9 km   Rechtsaf
   27.2 km   Houd rechts aan
   27.3 km   Rechtsaf naar Otterloseweg (follow 2.2 km)
   29.5 km   Blijf op Koningsweg (follow 2.6 km)
  ★ 29.6 km  [note] Airborne Museum
  ★ 32.0 km  [food] Pancake Restaurant Den Strooper
   32.1 km   Rechtsaf naar Koningsweg
   32.2 km   Rechtsaf naar Koningsweg (follow 1.9 km)
   34.1 km   Ga linksaf (follow 1.3 km)
   35.4 km   Rechtsaf
   36.2 km   Linksaf naar Hoeferlaan
  ★ 36.5 km  [see] Open Air Museum
   36.8 km   Ga linksaf
   37.3 km   Ga rechtsaf naar Waterbergseweg
   37.3 km   Linksaf naar Waterbergseweg
   37.7 km   Linksaf naar Waterbergseweg
   38.3 km   Rechtsaf naar Wagnerlaan
   38.5 km   Rechtsaf naar Cattepoelseweg
   38.6 km   Houd links aan naar Cattepoelseweg
   38.6 km   Ga linksaf naar Wagnerlaan
   38.6 km   Rechtsaf naar Wagnerlaan
   39.1 km   Rechtsaf naar Parkweg
   40.1 km   Blijf op Parkweg
   40.2 km   Houd rechts aan naar Zijpendaalseweg (follow 1.1 km)
   41.3 km   Ga linksaf naar Amsterdamseweg
   41.3 km   Houd rechts aan naar Zijpendaalseweg
   41.5 km   Houd rechts aan naar Willemsplein
   41.6 km   Linksaf naar Gele Rijders Plein
   42.0 km   Rechtsaf naar Velperplein
   42.0 km   Houd rechts aan naar Velperbinnensingel
   42.5 km   Linksaf naar Airborneplein
   42.6 km   Neem afslag 2 naar Airborneplein op de rotonde
   42.7 km   Rechtsaf naar Eusebiusbuitensingel
   42.9 km   Rechtsaf naar Westervoortsedijk
   42.9 km   Linksaf naar Ooststraat
   43.0 km   Houd links aan naar Nieuwe Kade
   43.1 km   Rechtsaf naar Nieuwe Kade
   43.2 km   Houd rechts aan naar Rijnkade
  ★ 43.3 km  [see] Airborne at the Bridge: free museum
  ★ 43.4 km  [finish] SHIP
