FROM KRK TO OMIŠALJ    39.6 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Links afslaan naar Ulica Nikole Udina Algarottia
    0.2 km   Links afslaan naar Vela placa
    0.3 km   Rechtdoor naar Obala hrvatske mornarice
    0.3 km   Recht afslaan naar Ulica Stjepana Radića
    0.6 km   Links afslaan naar Vinogradska ulica
    0.9 km   Rechts afslaan naar Smokvik
    1.1 km   Rechts afslaan naar Ulica Slavka Nikolića
    1.2 km   Links afslaan (follow 3.8 km)
    5.1 km   Ga rechtdoor
    5.8 km   Links afslaan (follow 4.2 km)
   10.0 km   Links afslaan (follow 3.2 km)
   13.2 km   Links afslaan
   13.2 km   Blijf links aanhouden
   13.9 km   Racht afslaan
   14.0 km   Links afslaan
   14.6 km   Links afslaan
   14.7 km   Rechts afslaan
   15.6 km   Hou links aan
   15.6 km   Links afslaan
   15.7 km   Links afslaan
   16.2 km   Rechtdoor
   16.4 km   Links afslaan
   16.7 km   Rechts afslaan
   16.8 km   Links afslaan
   16.9 km   Rechts afslaan
   17.6 km   Neem op de rotonde de tweede afslag naar Ulica Branka Fučića, 5086
   18.3 km   Links afslaan naar Ulica Nikole Tesle
   18.4 km   Rechts afslaan
   18.5 km   Rechts afslaan naar Samoborska ulica
   18.9 km   Rechts afslaan
   19.0 km   Rechtdoor op Ulica Nikole Tesle
   19.2 km   Links afslaan naar Dubašljanska ulica
   20.1 km   Links aanhouden
   20.3 km   Neem op de rotonde de tweede afslag
   20.4 km   Rechts afslaan naar Rajska cesta (follow 1.2 km)
   21.6 km   Rechts afslaan
   21.7 km   Links afslaan
   22.3 km   Rechts afslaan naar Rajska cesta
   22.5 km   Rechts afslaan
   22.5 km   Ga rechtdoor
   23.3 km   Rechts afslaan
   23.6 km   Links afslaan naar Kralja Tomislava, 5084
   23.7 km   Rechts afslaan
   24.0 km   Rechts afslaan naar Bodulska
   24.0 km   Links afslaan naar Dr. Zdravka Kučića
   24.1 km   Links afslaan naar onto Dr. Zdravka Kučića
   24.1 km   Rechts afslaan naar Nikola Lončarića
   24.2 km   Links afslaan naar 30. svibnja
   24.3 km   Rechts afslaan naar Kralja Tomislava
   24.7 km   Links afslaan naar Krste Frankopana
   24.9 km   Rechts afslaan naar Jadranska
   25.0 km   Links afslaan naar Nikole Jurjevića
   25.0 km   Links aanhouden naar Nikole Jurjević
   25.4 km   Links afslaan
   25.5 km   Links afslaan
   26.1 km   Links afslaan naar Krste Frankopana
   26.3 km   Rechts afslaan naar Jadranska
   26.4 km   Rechts afslaan naar Nikole Jurjevića
   26.5 km   Rehts afslaan naar Nikole Jurjevića
   26.7 km   Rechts afslaan naar Postala
   26.8 km   Links afslaan
   26.8 km   Rechts afslaan
   26.9 km   Rechts afslaan
  ★ 26.9 km  [bar] First Wine Fountain
   26.9 km   Links afslaan
   27.0 km   Links afslaan
   27.2 km   Links afslaan naar Postala
   27.3 km   Rechts afslaan naar Postala
   27.4 km   Rechts afslaan naar Postala
   27.4 km   Links afslaan naar Postala
   27.4 km   Links afslaan
   27.6 km   Links afslaan
   27.7 km   Neem op de rotonde de eerste afslag
   28.2 km   Rechtdoor
   28.3 km   Rechtdoor
   28.6 km   Links afslaan
   28.6 km   Links afslaan
   28.6 km   Rechtdoor
   29.5 km   Rechts afslaan
   30.2 km   Rechts afslaan
   31.0 km   Links afslaan (follow 1.1 km)
   32.1 km   Links afslaan
   32.6 km   Links afslaan (follow 1.8 km)
   34.4 km   Rechts afslaan (follow 3.0 km)
   37.4 km   Links afslaan
   37.5 km   Rechts afslaan naar D102
   37.5 km   Links afslaan
   37.5 km   Rechts afslaan
   37.6 km   Links afslaan
   38.2 km   Rechts afslaan naar Bajeć
   38.6 km   Links afslaan
   38.7 km   Rechtdoor
   38.7 km   Neem op de rotonde de eerste afslag
   38.8 km   Rechts afslaan
   38.8 km   Rechts afslaan
   38.9 km   Rechts afslaan
   38.9 km   Links afslaan
   39.5 km   Ga rechtdoor
   39.5 km   Rechts afslaan
   39.5 km   Rechtdoor
