LEROS LOOP (ISLAND'S NORTH)    28.1 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Saraya Resort
    0.1 km   Turn right
    0.3 km   Turn left
    0.6 km   Turn right
    0.7 km   Turn right
    1.3 km   Turn left
    1.5 km   Turn left
    1.8 km   Turn sharp right
    1.8 km   Turn sharp right
    2.0 km   Turn slight left
    2.0 km   Turn right
    2.3 km   Turn right onto 'Αλινδα - Παρθένι (follow 5.2 km)
    7.5 km   Turn right
    8.4 km   Turn right (follow 1.2 km)
  ★ 9.0 km  [bar] Winery ‘Isichi Ampelones’
    9.6 km   Turn left
   10.6 km   Turn left
   11.3 km   Continue onto 'Αλινδα - Παρθένι (follow 4.0 km)
   15.4 km   Turn sharp right
   16.2 km   Turn slight left
   16.4 km   Turn left
   16.7 km   Turn right
   16.9 km   Turn slight right
   17.7 km   Turn slight right onto 'Αλινδα - Παρθένι
   17.8 km   Turn right
   18.0 km   Turn right
   18.5 km   Turn slight right
   18.7 km   Turn right
   18.9 km   Turn sharp left
   19.4 km   Turn slight right (follow 2.8 km)
   22.3 km   Turn sharp left
   22.6 km   Turn left
  ★ 23.3 km  [note] Deposito di Guerra
   23.3 km   Turn sharp left
   23.4 km   Turn left
   23.6 km   Turn left onto Διακλάδωση Γούρνας (follow 1.6 km)
   25.3 km   Turn right
   25.7 km   Turn slight left
   26.1 km   Turn left
   26.1 km   Turn left
   26.5 km   Turn sharp left onto Λακκί - Άλινδα
   26.8 km   Turn slight right
   27.5 km   Turn left
   27.7 km   Turn right
   28.0 km   Turn left
