DAG 6. STRUISVOGELS - MORET    21.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [note] Srtruisvogelboerderij
    0.3 km   Rechtsaf naar Route de Bichereau (follow 4.0 km)
    4.3 km   Linksaf naar Rue de Bichereau
    4.4 km   Houd rechts aan
    4.8 km   Linksaf
    5.2 km   Rechtsaf
    5.3 km   Rechtsaf naar D 22 (follow 1.7 km)
    7.0 km   Sla rechtsaf naar Rue Maigrette
    7.1 km   Sla linksaf naar Pl. de l'Église
    7.2 km   Sla linksaf naar Rue Monte À Regret
  ★ 7.2 km  [bar] Ma p'tite Aubaine
    7.3 km   Sla rechtsaf naar Rue d'Épisy/​de D22 (follow 1.6 km)
    8.9 km   Rechtsaf naar Route de Challeau, D 22 (follow 1.7 km)
  ★ 8.9 km  [bar] Auberge du Bocage
   10.6 km   Rechtsaf naar Rue des Ponts
  ★ 10.8 km  [note] Fort de Challeau
   11.2 km   Linksaf naar Rue des Moulins
   12.2 km   Weg vervolgen naar Rte de la Vallée (follow 1.4 km)
   13.6 km   Sla linksaf naar Rte de Montereau/​de D403
   14.0 km   Sla rechtsaf naar Rue Grande/​de D218 (follow 6.2 km)
  ★ 14.3 km  [bar] No stress
  ★ 14.5 km  [note] dolmen/hunebed
   20.2 km   Sla linksaf naar Av. de Sens/​de D302
   20.9 km   Sla rechtsaf naar Rue de la Pêcherie
   21.0 km   Sla rechtsaf
   21.0 km   Sla linksaf
