MAKKUM - STAVOREN    49.1 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn right onto Achterdijkje
    0.1 km   Turn sharp left onto Achterdijkje
    0.1 km   Turn sharp right onto Achterstraat
    0.1 km   Turn right onto Kerkstraat
    0.2 km   Houd links aan naar Workumerdijk
    0.5 km   Linksaf naar Workumerdijk
    0.7 km   Houd links aan
    0.7 km   Rechtsaf naar Kooihuizen
    1.4 km   Linksaf naar Veldreed (follow 2.1 km)
    3.5 km   Rechtsaf naar Meerweg
    4.3 km   Rechtsaf naar Vierhuizen (follow 1.1 km)
    5.4 km   Rechtsaf naar Bonjeterperweg (follow 2.3 km)
    7.8 km   Linksaf naar Angterperlaan (follow 1.3 km)
    9.1 km   Linksaf naar Trekweg
    9.1 km   Rechtsaf
    9.3 km   Rechtsaf naar Jousterperweg
   10.0 km   Linksaf naar Horstweg
   10.9 km   Rechtsaf naar Atseburenweg (follow 2.4 km)
   13.3 km   Rechtsaf naar Doarpswei (follow 1.4 km)
   14.8 km   Linksaf naar De Ryp (follow 1.2 km)
   16.0 km   Ga linksaf naar Brekkenpaad (follow 1.0 km)
   17.0 km   Rechtsaf naar Stasjonsleane
   17.9 km   Rechtsaf naar Tsjerkewei
   18.2 km   Rechtsaf (follow 3.2 km)
   21.4 km   Rechtsaf
   21.5 km   Houd rechts aan naar Munkedyk
   22.1 km   Houd links aan
  ★ 22.6 km  [ferry] Pontje Gaastmeer - Heidenskip — € 1,50 / niet tussen 12:00 en 13:00
   22.6 km   Attention, take ferry (Gaastmeer - It Heidenskip)
   22.7 km   Leave ferry and blijf op Koaidyk (follow 3.3 km)
  ★ 26.0 km  [see] Fierljeppen
   26.0 km   Rechtsaf naar Heidenskipsterdyk (follow 4.0 km)
   30.0 km   Linksaf (follow 1.4 km)
   31.4 km   Rechtsaf
   31.4 km   Houd links aan naar Spoardyk
   31.4 km   Blijf op Begine
  ★ 31.6 km  [bike_parking] Fiets parkeren Workum
   31.7 km   Linksaf naar Merk
  ★ 31.7 km  [note] Workum
   31.8 km   Blijf op Súd
   32.6 km   Linksaf naar Sylspaed (follow 4.3 km)
   36.9 km   Blijf op Wiske
   36.9 km   Rechtsaf naar Wiske
   37.4 km   Linksaf (follow 1.2 km)
   38.6 km   Linksaf naar Madenlaan
   38.6 km   Rechtsaf (follow 1.1 km)
   39.7 km   Rechtsaf
   39.7 km   Rechtsaf naar Nieuwstad
   39.9 km   Linksaf naar 't Oost
  ★ 39.9 km  [bike_parking] Fiets parkeren Hindeloopen
  ★ 39.9 km  [coffee] Hindeloopen
   40.0 km   Blijf op Buren (follow 1.1 km)
  ★ 40.2 km  [note] VVV Museum
  ★ 40.5 km  [see] Schaatsmueseum
   41.1 km   Houd rechts aan naar Westerdijk (follow 1.3 km)
   42.3 km   Blijf op Schuilenburg (follow 3.1 km)
   45.4 km   Houd rechts aan (follow 1.3 km)
   46.7 km   Houd links aan
   47.1 km   Houd links aan (follow 1.5 km)
   48.7 km   Houd rechts aan
   48.7 km   Blijf op Noorderweg
   48.9 km   Rechtsaf naar Kooijweg
   49.0 km   Rechtsaf naar Stationsweg
   49.0 km   Rechtsaf
  ★ 49.1 km  [stop] Pick-up Stavoren
