ENKHUIZEN - MEDEMBLIK (VIA TWISK)    39.6 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Blijf op Dirck Chinaplein
    0.2 km   Rechtsaf naar Bosmankade
    0.4 km   Houd links aan naar Spoorstraat
    0.6 km   Rechtsaf naar Dijk
    0.7 km   Houd rechts aan naar Dijk
    0.9 km   Linksaf naar Zuiderspui
    0.9 km   Rechtsaf naar Bocht
    1.0 km   Linksaf naar Wierdijk
    1.8 km   Rechtsaf naar Wilhelminaplantsoen
    1.8 km   Blijf op Donkerstraat
    1.9 km   Rechtsaf naar Kooizandweg
    1.9 km   Linksaf naar Kooizandweg
    2.9 km   Rechtsaf
    2.9 km   Linksaf
    3.1 km   Rechtsaf
    3.1 km   Linksaf naar Jelle Kolkpad
    4.1 km   Houd links aan naar Wateringpad
    4.7 km   Houd links aan naar Waterkeringpad (follow 1.9 km)
    6.5 km   Rechtsaf
    6.7 km   Rechtsaf naar Waterkeringpad (follow 7.6 km)
  ★ 11.6 km  [food] Tea Garden DE LIBEL — Small alley, next to the church
   14.3 km   Ga rechtsaf naar Proefpolder
   14.3 km   Linksaf naar Nieuwe Haven
   14.5 km   Linksaf naar Waterkeringpad (follow 1.1 km)
  ★ 14.7 km  [food] 1619 Eten & Drinken
   15.5 km   Blijf op Waterkeringpad
   15.8 km   Houd links aan naar Waterkeringpad
   16.0 km   Blijf op Waterkeringpad
   16.8 km   Houd links aan naar Omringdijk
   16.8 km   Rechtsaf naar Kagerdijk
   16.8 km   Rechtsaf naar Kagerbos (follow 1.4 km)
   18.2 km   Linksaf naar Simon Koopmanstraat
   18.9 km   Rechtsaf naar Vok Koomenweg
   19.1 km   Rechtsaf naar Vok Koomenweg (follow 1.7 km)
   20.8 km   Rechtsaf naar Liederik
   21.4 km   Linksaf (follow 1.6 km)
   23.0 km   Rechtsaf naar Hazeweel (follow 1.2 km)
   24.2 km   Linksaf naar Veldhuis (follow 1.8 km)
  ★ 26.0 km  [food] Café De Post
   26.0 km   Rechtsaf naar Broerdijk
   26.2 km   Linksaf naar Broerdijk
   26.6 km   Linksaf naar Broerdijk
   27.3 km   Rechtsaf naar Kadetjespad (follow 2.3 km)
   29.5 km   Linksaf naar Coenplein
  ★ 29.5 km  [rest_stop] Rustpunt Twisk
   29.7 km   Linksaf naar Dorpsweg
   30.4 km   Rechtsaf naar Hornderweg (follow 1.6 km)
   32.1 km   Rechtsaf naar Mijnsherenweg
   32.3 km   Rechtsaf naar Mijnsherenweg
   32.4 km   Rechtsaf naar Marepad (follow 1.6 km)
   34.0 km   Linksaf naar Noorderweg
   34.3 km   Rechtsaf naar Galgeweg
   35.1 km   Rechtsaf naar Almersdorperweg
   35.4 km   Linksaf naar Noorderpad
   35.9 km   Rechtsaf naar De Waarde
   36.1 km   Blijf op De Oude Stiek
   36.2 km   Rechtsaf naar De Oude Stiek
   36.5 km   Linksaf naar Almereweg (follow 1.1 km)
   37.7 km   Rechtsaf naar Dissel
   37.7 km   Houd rechts aan
   37.8 km   Rechtsaf
   37.8 km   Houd links aan
   37.9 km   Rechtsaf naar Randweg
   38.3 km   Neem afslag 2
   38.5 km   Houd rechts aan naar Keern
   38.6 km   Rechtsaf naar Turfhoek
   38.9 km   Ga rechtsaf naar Westerhaven
   39.2 km   Houd rechts aan naar Hoogesteeg
  ★ 39.6 km  [dock/stay] Ligplaats Medemblik
