LEIDEN - HAARLEM (STADT) (ÜBER CRUQUIUS)    39.9 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Rechts abbiegen auf Bakenessergracht
    0.4 km   Leicht links abbiegen auf Spaarne (follow 1.1 km)
    1.5 km   Scharf links abbiegen auf Schalkwijkerstraat
    1.6 km   Rechts abbiegen auf Schalklink
    1.7 km   Rechts abbiegen auf Noord Schalkwijkerweg (follow 3.4 km)
    5.1 km   Links abbiegen auf Zuid Schalkwijkerweg
    5.5 km   Links abbiegen
    5.8 km   Rechts abbiegen auf Cruquiusdijk (follow 2.5 km)
  ★ 6.5 km  [monument] Cruquius
    8.3 km   Links abbiegen auf Bennebroekerdijk (follow 1.4 km)
    9.7 km   Links abbiegen auf Bennebroekerdijk
   10.3 km   Links abbiegen auf Bennebroekerweg
   10.4 km   Leicht rechts abbiegen auf Bennebroekerweg
   10.5 km   Leicht rechts abbiegen auf Bennebroekerweg
   10.6 km   Rechts abbiegen auf Bennebroekerweg
   10.7 km   Rechts abbiegen auf Bennebroekerweg
   10.9 km   Im Kreisverkehr Ausfahrt 1 auf Spieringweg nehmen (follow 1.6 km)
   12.5 km   Links abbiegen auf Hillegommerdijk (follow 2.1 km)
   14.6 km   Rechts halten auf Meerlaan
   14.6 km   Im Kreisverkehr Ausfahrt 1 auf Meerlaan nehmen
   15.0 km   Links abbiegen auf Jonkheer Mockkade
   15.2 km   Links abbiegen auf Van Meerbeekstraat
   15.3 km   Rechts abbiegen auf Van Meerbeekstraat
   15.5 km   Links halten auf Raadhuisstraat
   15.5 km   Scharf rechts abbiegen auf Hoofdstraat
   15.6 km   Links abbiegen auf Molenstraat
   15.8 km   Im Kreisverkehr Ausfahrt 4 auf Van den Endelaan nehmen
   16.3 km   Leicht rechts abbiegen auf Leidsestraat
   16.3 km   Rechts abbiegen auf Veenenburgerlaan (follow 3.5 km)
   19.8 km   Rechts halten auf Loosterweg Noord
   19.9 km   Links abbiegen
  ★ 19.9 km  [see] Schloss Keukenhof
   20.5 km   Rechts abbiegen auf van Lyndenweg (follow 2.7 km)
   23.2 km   Scharf links abbiegen auf Loosterweg Zuid
   23.2 km   Links abbiegen auf Essenlaan
   24.2 km   Rechts abbiegen auf Achterweg-Zuid
   24.2 km   Links abbiegen auf Catharijnelaan
   24.7 km   Links halten auf Catharijnelaan
   24.7 km   Links abbiegen auf Heereweg
   24.8 km   Rechts abbiegen auf Heereweg
   24.9 km   Rechts abbiegen auf 2e Poellaan
   25.6 km   Rechts abbiegen auf Rooversbroekdijk (follow 1.7 km)
   27.3 km   Scharf links abbiegen auf 3e Poellaan
   27.9 km   Rechts abbiegen
   28.5 km   Links halten (follow 1.2 km)
   29.6 km   Leicht rechts abbiegen auf Menneweg (follow 1.0 km)
   30.6 km   Links abbiegen
   30.7 km   Rechts abbiegen
   30.7 km   Links abbiegen auf Wasbeeklaan
   31.5 km   Links abbiegen auf Oosteinde
   32.3 km   Links abbiegen
   32.7 km   Rechts abbiegen auf Burgemeester Ketelaarstraat (follow 1.1 km)
  ★ 33.2 km  [bar] Bar Coazy
   33.8 km   Rechts abbiegen auf Lockhorstlaan
   33.9 km   Scharf links abbiegen auf Herenweg
   34.1 km   Links abbiegen auf Herenweg
   34.1 km   Rechts abbiegen auf van Wassenaarstraat
   34.2 km   Scharf links abbiegen auf van Wassenaarstraat
   34.2 km   Leicht links abbiegen auf van Wassenaarstraat
   34.2 km   Rechts abbiegen auf Oranje Nassaulaan (follow 1.3 km)
   35.5 km   Rechts abbiegen auf Veerpolderpad
   35.5 km   Leicht links abbiegen auf Gooimeerlaan
   35.7 km   Dem Straßenverlauf von Gooimeerlaan folgen
   36.0 km   Rechts abbiegen auf Broekweg
   36.8 km   Links abbiegen auf Haarlemmerweg
   37.6 km   Dem Straßenverlauf von Korte Mare folgen
   37.6 km   Rechts abbiegen auf Marepoortbrug
   37.7 km   Links abbiegen auf Nieuwe Mare
   37.8 km   Links abbiegen auf Oude Singel
   37.9 km   Rechts abbiegen auf Korte Mare
   38.1 km   Rechts halten auf Lange Mare
   38.2 km   Links abbiegen auf Aalmarkt
  ★ 38.3 km  [bar] Leiden Cafes
   38.5 km   Links abbiegen auf Burgsteeg
   38.6 km   Links abbiegen auf Burgsteeg
  ★ 38.6 km  [see] Leiden Schloss
   38.7 km   Rechts abbiegen auf Oude Rijn
   38.8 km   Leicht rechts abbiegen auf Hooglandse Kerkgracht
   38.8 km   Leicht links abbiegen auf Koppenhinksteeg
   39.0 km   Scharf links abbiegen auf Hooigracht
   39.0 km   Rechts abbiegen auf Oude Rijn
   39.2 km   Links abbiegen auf Havenplein
   39.3 km   Rechts abbiegen auf Havenplein
   39.6 km   Dem Straßenverlauf von Zijlpoortsburg folgen
   39.7 km   Rechts halten auf Zijlpoortsburg
   39.7 km   Rechts abbiegen auf Zijlsingel
  ★ 39.9 km  [dock/stay] Liegeplatz Leiden
