GHENT (CITY) - EVERGEM 8,0 KM ENG 2026    8.0 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn right onto Korenmarkt
    0.1 km   Turn left onto Korenmarkt
    0.3 km   Turn right onto Hoornstraat
    0.4 km   Turn left onto Ajuinlei
    1.0 km   Turn right onto Coupure Links
    1.8 km   Turn right
    2.0 km   Turn right onto Coupure Links
    2.4 km   Turn right
    2.7 km   Bear right onto the underpass (follow 1.0 km)
    3.7 km   Bear right onto the underpass
    4.4 km   Turn right over the bridge and turn left
    4.5 km   Turn left (follow 2.8 km)
    7.3 km   Turn right onto Wijmenstraat
    7.6 km   Turn left
    7.7 km   Turn left
    7.8 km   Turn left
    7.8 km   Turn left
    8.0 km   End of ride
  ★ 8.0 km  [dock/stay] Docking Ghent (Evergem)
