FRANEKER - KORNWERDERZAND    27.9 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Links abbiegen auf Hofstraat
    0.1 km   Links abbiegen auf Nieuwe Hof
    0.2 km   Links abbiegen
    0.2 km   Rechts abbiegen
    0.2 km   Rechts abbiegen
    0.2 km   Rechts abbiegen
    0.2 km   Links abbiegen
    0.3 km   Links abbiegen
    0.3 km   Leicht rechts abbiegen
    0.3 km   Rechts abbiegen auf Voorstraat
    0.3 km   Links abbiegen auf Wijdesteeg
    0.3 km   Rechts abbiegen auf Voorstraat
    0.5 km   Rechts abbiegen auf Noord
    0.7 km   Links abbiegen auf Leeuwarderend
    0.8 km   Rechts halten auf Turfkade
    0.9 km   Links abbiegen auf Zuiderkade
    1.0 km   Rechts abbiegen auf Oud Kaatsveld
    1.3 km   Rechts abbiegen
    1.3 km   Links abbiegen
    1.5 km   Scharf rechts abbiegen auf Hitzumer Binnenpad (follow 1.9 km)
    3.3 km   Links abbiegen auf Binnenpad
    4.1 km   Rechts abbiegen auf Franekerweg
    4.6 km   Links abbiegen auf Oude Weg
    4.9 km   Links abbiegen auf Achlumerweg
    5.0 km   Rechts abbiegen auf Wester-Hitzum (follow 3.3 km)
    8.3 km   Links abbiegen auf Ludingaweg
    9.0 km   Rechts abbiegen auf Monnikenweg
    9.1 km   Rechts abbiegen auf Monnikenweg (follow 1.8 km)
   10.8 km   Links abbiegen
   11.0 km   Leicht links abbiegen auf Sytzamaweg
   11.7 km   Links halten auf van Camminghaweg (follow 1.5 km)
   13.2 km   Links abbiegen auf van Camminghaweg (follow 1.7 km)
   14.9 km   Dem Straßenverlauf von Gysbert Japiksweg folgen
   15.1 km   Links abbiegen auf Ulbe Hiemstrastrjitte
   15.3 km   Leicht links abbiegen auf Gysbert Japiksweg
   15.9 km   Rechts abbiegen auf van Aylvaweg
   15.9 km   Rechts abbiegen auf van Aylvaweg (follow 1.6 km)
   17.5 km   Rechts abbiegen (follow 4.7 km)
   22.1 km   Links abbiegen auf Caspar de Roblesdijk (follow 2.2 km)
   24.3 km   Rechts abbiegen (follow 3.4 km)
   27.7 km   Links abbiegen
   27.8 km   Leicht links abbiegen
   27.8 km   Links abbiegen
   27.9 km   Dem Straßenverlauf folgen
