NOORD HOLLANDSE DIJKROUTE NAAR HUIS    70.8 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn left onto Mokerstraat
    0.2 km   Turn right onto Gedempt Hamerkanaal
    0.4 km   Turn left onto Johan van Hasseltweg
    0.7 km   Turn slight right
    1.0 km   Turn left onto Meeuwenlaan
    1.1 km   Turn right onto Nieuwendammerdijk (follow 1.1 km)
    2.2 km   Turn left onto Nieuwendammerstraat
    2.3 km   Turn right
    2.6 km   Turn left onto Beemsterstraat
    2.7 km   Turn left
    2.8 km   Turn left
    2.8 km   Turn left
    3.0 km   Turn right onto Beemsterstraat
    3.2 km   Turn right
    3.4 km   At roundabout, take exit 4
    3.8 km   Turn slight right onto Beemsterstraat
    3.9 km   Turn slight right onto Beemsterstraat
    4.2 km   Turn sharp left
    4.5 km   Continue onto Buikslotermeerdijk
    4.7 km   Turn right onto Zunderdorpergouw
  ★ 4.7 km  [caution] Bridge
    5.2 km   Continue onto Middenlaan Zunderdorp
    5.7 km   Turn sharp left onto Middenlaan Zunderdorp
    5.7 km   Turn right onto 't Voorwerf (follow 1.7 km)
    7.4 km   Turn left
    8.4 km   Turn left onto Kruisweg
    8.5 km   Turn left
    9.4 km   Turn right onto Eilandweg
    9.5 km   Turn left onto Hellingweg
    9.6 km   Turn left
    9.7 km   Turn left
    9.8 km   Turn left onto Parallelweg
   10.1 km   Turn left onto Kerkplein
  ★ 10.2 km  [note] Bezienswaardigheden Broek in Waterland — Stadshuis, Houten huisjes, Napoleon huisje.
   10.2 km   Continue onto Keerngouw (follow 1.3 km)
   11.5 km   Turn left onto Overlekergouw
   12.1 km   Turn right (follow 1.4 km)
   13.5 km   Turn right onto Overleek (follow 2.1 km)
   15.6 km   Turn sharp left
   15.6 km   Turn left
   15.8 km   Turn slight right onto Bernhardlaan
   15.9 km   Turn sharp right onto De Zarken
  ★ 16.0 km  [note] Grote St. Nicolaaskerk
   16.3 km   Turn left onto Noordeinde
  ★ 16.6 km  [note] Stadshuis
   16.9 km   Keep right onto Nieuwendam (follow 5.7 km)
  ★ 22.5 km  [note] Tulpenveld Volendam
   22.5 km   Turn right onto Kathammerzeedijk
   22.9 km   Continue onto Zuideinde
   23.0 km   Turn right onto Zuideinde
   23.0 km   Turn left onto Zuideinde
   23.7 km   Keep left onto Haven (follow 1.7 km)
   25.4 km   Keep left onto Morseweg
  ★ 25.4 km  [note] Volendams Museum
   25.5 km   Turn right onto Julianaweg
   25.5 km   Continue onto Zeedijk (follow 1.6 km)
   27.2 km   Turn sharp right onto Keetzijde
   27.5 km   Turn right onto Keetzijde
   27.9 km   Continue onto Burgemeester Versteeghsingel
   28.1 km   Turn slight right onto Burgemeester Versteeghsingel
   28.6 km   Turn right onto Volendammerpad
   28.8 km   Continue onto Bult
   28.9 km   Turn right onto Spui
  ★ 28.9 km  [note] Kaasmarkt
   29.0 km   Continue onto Damplein
  ★ 29.0 km  [note] Damplein
   29.7 km   Continue onto Oorgat (follow 12.3 km)
  ★ 30.9 km  [note] Fort Edam
   42.0 km   Turn right onto Schardam (follow 4.0 km)
   45.9 km   Continue onto Westerdijk (follow 2.1 km)
   48.1 km   Turn right onto Badhuisweg
   48.2 km   Turn left onto Badhuisweg
  ★ 48.3 km  [note] Schouwberg Hoorn
   49.0 km   Turn sharp right onto Westerdijk
   49.0 km   Turn sharp left onto West
   49.2 km   Continue onto Roode Steen
  ★ 49.2 km  [note] Hoorn Historisch Centrum
   49.2 km   Turn slight right onto Grote Oost
   49.9 km   Turn right onto Willemsweg
   50.0 km   Turn right onto Schellinkhouterdijk (follow 7.1 km)
   57.1 km   Keep left onto Zuiderdijk (follow 11.3 km)
   68.4 km   Turn right onto Zuiderdijk
   69.1 km   Turn right onto Zuiderdijk
   69.3 km   Turn sharp right onto Kleine Kaai
   69.4 km   Turn sharp left onto Peperstraat
   70.2 km   Turn left
  ★ 70.3 km  [note] Molen Ceres
   70.3 km   Turn right onto Broekerhavenweg
   70.4 km   Turn right onto Florasingel
   70.5 km   Turn left onto Murillostraat
   70.7 km   Turn right onto Brilliant Starstraat
