ZAANDAM - VOLENDAM    51.1 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Rechts abbiegen auf Nicolaasstraat
    0.4 km   Rechts abbiegen auf A.F. de Savornin Lohmanstraat (follow 1.4 km)
    1.7 km   Links abbiegen auf Oostzijde
    2.6 km   Links abbiegen auf Paltrokstraat
    2.8 km   Scharf rechts abbiegen auf Zuideinde (follow 1.4 km)
    4.2 km   Leicht rechts abbiegen auf Hoogstraat
    4.4 km   Rechts halten
    4.4 km   Rechts abbiegen auf Guisweg
  ★ 4.6 km  [note] Windmill Museum
  ★ 4.7 km  [bike_parking] Bike Parking
  ★ 4.8 km  [see] Windmill Het Jonge Schaap
  ★ 4.9 km  [dock/stay] Mooring Zaanse Schans
  ★ 4.9 km  [see] Windmill De Kat
  ★ 5.1 km  [food] Café Pancake Restaurant
    5.2 km   Links halten auf Schansend
  ★ 5.2 km  [see] Zaanse Schans; open air museum — wind mills, old wooden houses and much more
  ★ 5.2 km  [see] Zaans Museum — Monet
  ★ 5.2 km  [bike_parking] Bike Parking
    5.3 km   Rechts abbiegen auf Leeghwaterweg
    5.7 km   Links abbiegen auf Diederik Sonoyweg
    6.6 km   Rechts abbiegen auf Haaldersbroek
    6.8 km   Rechts abbiegen auf Kalf
    7.2 km   Links halten auf Kalf
    7.5 km   Links abbiegen auf De Kuil
    7.6 km   Rechts halten auf De Kuil
    7.6 km   Links abbiegen auf Doctor H.G. Scholtenstraat
    7.7 km   Rechts abbiegen auf Kuilpad
    8.0 km   Dem Straßenverlauf von Kuikenpad folgen
    8.2 km   Rechts abbiegen auf Spouwpad
    9.1 km   Links abbiegen auf Kruidpad (follow 1.2 km)
   10.3 km   Scharf links abbiegen auf Wormerpad
   11.1 km   Scharf links abbiegen auf Wormerpad (follow 1.9 km)
   13.0 km   Leicht rechts abbiegen auf Stationsstraat
   13.6 km   Rechts abbiegen auf Ringvaart
   13.8 km   Links halten
   14.2 km   Links abbiegen
   14.3 km   Rechts halten
  ★ 14.8 km  [rest_stop] Picknick spot
  ★ 14.8 km  [restroom] Restroom
   14.9 km   Links halten
  ★ 15.1 km  [bar] restaurant Paviljoen Twiske — Closed on Tuesday and Wednesday
   15.2 km   Links abbiegen auf W T van Gelderweg
   15.3 km   Rechts abbiegen auf W T van Gelderweg
   15.4 km   Leicht links abbiegen
  ★ 15.4 km  [rest_stop] Picknick Twiske Haven
   15.5 km   Links halten
   15.7 km   Rechts abbiegen
   15.8 km   Links abbiegen
   16.4 km   Links abbiegen
   16.5 km   Rechts abbiegen
   17.1 km   Links halten
   17.6 km   Rechts abbiegen auf Het Luijendijkje
   18.3 km   Links abbiegen auf Het Luijendijkje
  ★ 18.3 km  [note] Twisker Molen — windmill
   18.8 km   Links abbiegen auf Sportpark
   19.5 km   Leicht links abbiegen auf Sportlaan
   19.7 km   Rechts abbiegen auf Dorpsstraat
  ★ 19.7 km  [food] Café de Driesprong — Opens Daily
   19.9 km   Links abbiegen auf Van Beekstraat (follow 2.6 km)
  ★ 19.9 km  [food] De Zuyd — Opens Daily
  ★ 19.9 km  [food] by Bolke — Closed on Sundays only.
   22.5 km   Rechts abbiegen auf Kanaaldijk
   23.0 km   Links abbiegen auf Kanaaldijk
   23.0 km   Achtung, auf Fähre umsteigen (Pont 't Schouw)
   23.1 km   Fähre verlassen und dem Straßenverlauf von Slochterweg folgen
