WAREGEM - KORTRIJK - MENEN (VIA FLANDERS FIELD)    48.2 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn left onto Ketsersstraat
    0.1 km   Turn right onto Aloise Biebuyckstraat
    0.2 km   Turn left onto Emiel Clausstraat
    0.7 km   Turn right onto Oostpoort
    1.0 km   Turn right onto Kromme Waters
    1.1 km   Turn left onto Neerstraat (follow 1.8 km)
    2.8 km   Keep right onto Meersstraat
    2.9 km   Continue onto Drogenboomstraat (follow 1.9 km)
    4.8 km   Turn right onto Gentse Heerweg
    5.1 km   Turn left
    5.2 km   Turn right onto Kruishoutemseweg
    5.3 km   Turn left onto Biezenhof
    5.5 km   Turn slight right
    5.6 km   Turn left onto Peiskeshof
    6.3 km   Turn left onto Nokerseweg
    6.4 km   Turn right
    6.5 km   Turn left onto Bessemstraat
    6.5 km   Turn right onto Bessemstraat
    6.6 km   Turn slight right onto Bergstraat
    7.3 km   Turn right onto Karmeldreef
    8.2 km   Turn sharp left onto Galgestraat
    8.4 km   Turn right onto Bosstraat
  ★ 9.0 km  [monument] Flanders Field American Cemetery
    9.1 km   Turn right onto Wortegemseweg
    9.4 km   Turn sharp right onto Galgewegel
    9.9 km   Turn right onto Ruitersdreef
   10.0 km   Turn left
   10.1 km   Turn right
   10.3 km   Turn right onto Galgestraat
   10.3 km   Turn right onto Ganzendries
   10.6 km   Turn left onto Driesstraat
   10.9 km   Turn left onto Bessemstraat
   10.9 km   Turn right onto Langveld
   11.1 km   Turn slight right
   11.4 km   Turn left onto Hippodroomstraat
   11.8 km   Make a U-turn onto Hippodroomstraat
   12.2 km   Turn sharp left onto Keukeldam
   12.5 km   Keep right onto Markt
   12.7 km   Turn left
   12.8 km   Turn right onto Olmstraat
   13.0 km   Turn left onto Processiestraat
   13.4 km   Turn left onto Vennestraat
   13.5 km   At roundabout, take exit 1 onto Jozef Duthoystraat
   14.2 km   Turn right
   14.3 km   Turn right
   14.3 km   Turn left
   14.3 km   Turn right onto Desselgemseweg
   14.5 km   Turn left onto Hoogmolenwegel
   15.1 km   Turn left onto Caseelstraat (follow 1.1 km)
   16.3 km   Turn right onto Spitaalstraat
   16.4 km   Keep left onto Achterstraat
   17.3 km   Turn left onto Leemputstraat
   17.6 km   Turn right onto Knokstraat / Desselgemknokstraat (follow 1.0 km)
   18.6 km   Turn right onto Desselgemstraat
   18.7 km   Turn left onto Wagenaarstraat
   19.2 km   Turn right onto Ruifeleinde
   19.9 km   Turn slight left onto Omloopstraat
   20.0 km   Turn sharp right onto Paanderstraat
   20.3 km   Turn sharp left onto Stuivenbergstraat (follow 1.5 km)
   21.8 km   Turn left onto Roestraat
   22.0 km   Turn right onto Sint-Jansstraat
   22.9 km   Turn left onto Beveren-Trakel (follow 2.1 km)
   25.0 km   Turn right onto Vrijdomkaai (follow 1.2 km)
   26.2 km   Turn right (follow 1.8 km)
   28.0 km   Turn right onto Wikingerpad (follow 1.2 km)
   29.2 km   Turn right
   29.3 km   Turn right
   29.4 km   Keep right onto Guido Gezellepad
   29.7 km   Turn left onto Kleine Leiestraat
   29.8 km   Turn slight right onto Plein
   29.9 km   Turn right onto Plein
   29.9 km   Turn left onto Begijnhofpark
   30.0 km   Turn right onto Begijnhofpark
   30.0 km   Turn right
   30.0 km   Turn left
   30.1 km   Turn right onto Begijnhofpark
   30.2 km   Turn left onto Begijnhofpark
   30.2 km   Turn right onto Lange-Brugstraat
   30.3 km   Turn right onto Sint-Maartenskerkhof
   30.3 km   Turn right onto Sint-Maartenskerkhof
   30.4 km   Turn right onto Sint-Maartenskerkhof
  ★ 30.5 km  [parking] Parking Kortrijk
   30.6 km   Turn left onto Grote Markt
   30.6 km   Turn right onto Leiestraat (follow 1.4 km)
   32.0 km   Turn left onto Fabriekskaai
   32.1 km   Turn slight right (follow 6.4 km)
   38.4 km   Turn right onto Loskaai
   38.6 km   Turn right onto Lauwestraat
   39.4 km   Turn left onto Grote Markt
   39.4 km   Turn sharp right onto Lode De Boningestraat
   39.7 km   Turn left onto Nieuwstraat
   40.4 km   Turn slight left onto Kijkuitstraat
   41.2 km   Keep left onto Kruisstraat (follow 1.4 km)
   42.6 km   Turn left onto Groenestraat
   43.1 km   Turn right onto Menenstraat (follow 1.5 km)
   44.6 km   Keep right onto Kortrijkstraat
   44.6 km   At roundabout, take exit 3 onto Kortrijkstraat
   44.8 km   At roundabout, take exit 2 onto Kortrijkstraat
  ★ 45.2 km  [coffee] Several cafes
   45.5 km   Keep right onto Ieperstraat
   45.7 km   Turn sharp left onto Yvonne Serruysstraat
   45.7 km   Turn left onto Yvonne Serruysstraat
   45.7 km   Turn right onto Kapucijnenweg
   45.9 km   Turn left
   46.0 km   Turn right
   46.0 km   Turn right onto Oude Leielaan
   46.1 km   Turn sharp right
   46.9 km   Turn sharp left onto Wervikstraat
   47.4 km   Turn left onto Ropswalle
  ★ 48.2 km  [dock/stay] Barge Menen
