LUNEBURG OPTION 2 (NOT TO EXCITING)    61.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [note] Harbor Lueneburg GmbH
    1.1 km   Turn right onto Otto-Brenner-Straße
    1.4 km   Turn left (follow 5.1 km)
    6.5 km   Turn left
    7.0 km   Turn left
    7.0 km   Turn left
    7.9 km   Turn slight left
    8.6 km   Turn right
    8.7 km   Turn left
    8.7 km   Turn left
    9.5 km   Turn right
   10.4 km   Turn right onto In der Süßen Heide (follow 4.4 km)
   14.7 km   Turn right
   14.8 km   Turn left (follow 1.1 km)
   15.9 km   Continue onto Im Dorfe
   16.3 km   Turn right onto Im Dorfe
   16.6 km   Turn right onto K 10 (follow 5.7 km)
   22.3 km   Turn left onto Am Altenberg
   22.8 km   Turn right (follow 2.4 km)
   25.2 km   Turn right onto Marxener Straße
   25.3 km   Turn left
   26.2 km   Turn left
   26.2 km   Turn right
   26.4 km   Turn left
  ★ 26.4 km  [monument] Oldendorfer Totenstatt
   26.5 km   Turn right
   26.5 km   Turn right
   26.7 km   Turn sharp left (follow 1.5 km)
   28.1 km   Turn right onto Peter Ehlers Weg
   28.6 km   Turn left
   28.8 km   Turn right
   29.3 km   Turn left onto An der Lopau
   29.8 km   Turn right
   29.9 km   Turn slight right
   30.0 km   Turn left onto An der Lopau
   30.5 km   Turn left
   31.0 km   Turn right
   31.1 km   Turn right onto Röthenweg
   31.2 km   Turn left onto Im Dorfe
   31.5 km   Turn right onto Oldendorfer Straße
   31.8 km   Turn right (follow 1.7 km)
   33.5 km   Turn left onto Amelinghausener Straße
   34.1 km   Turn right onto Marxener Straße
   34.7 km   Turn left onto Wetzener Weg (follow 2.4 km)
   37.1 km   Turn left onto Am Altenberg
   37.6 km   Turn right onto K 20 (follow 1.0 km)
   38.6 km   Turn left onto Wetzer Weg (follow 4.4 km)
   43.0 km   Turn left onto Im Alten Dorfe
   43.1 km   Turn right onto Westergellerser Weg
   43.1 km   Turn left onto Kirchgellerser Straße
   44.0 km   Turn right (follow 1.6 km)
   45.7 km   Turn right onto Lüneburger Straße
   46.4 km   Turn right onto L 216 (follow 3.6 km)
   50.0 km   Turn left onto Lüneburger Landstraße
   50.3 km   At roundabout, take exit 1 onto Lüneburger Landstraße
   50.5 km   At roundabout, take exit 2 onto Lüneburger Landstraße
   51.3 km   Turn left onto Hasenwinkler Weg (follow 1.8 km)
   53.1 km   Turn right
   53.1 km   Turn left onto Vor dem Neuen Tore
   53.5 km   Turn left
   53.6 km   Turn right onto Am Graalwall
   53.9 km   Turn slight right onto Egersdorffstraße
   54.0 km   Turn left onto Am Marienplatz
   54.3 km   Turn right onto Bardowicker Straße
   54.3 km   Turn left onto An den Brodbänken
   54.5 km   Turn left onto Am Berge (follow 2.0 km)
   56.5 km   Turn slight right onto Dahlenburger Landstraße
   56.9 km   Turn left onto Wacholderweg (follow 3.2 km)
   60.1 km   Turn right onto Otto-Brenner-Straße
   60.4 km   Turn left onto Elso-Klöver-Straße (follow 1.1 km)
   61.5 km   Turn right
