GHENT (STADT) - LOVENDEGEM    10.7 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Rechts abbiegen auf Pakhuisstraat
    0.1 km   Rechts halten auf Korenmarkt
    0.1 km   Rechts halten auf Veldstraat
    0.3 km   Rechts abbiegen auf Hoornstraat
    0.4 km   Links abbiegen auf Ajuinlei
    1.0 km   Rechts abbiegen auf Coupure Links (follow 1.4 km)
    2.4 km   Rechts abbiegen
    2.6 km   Dem Straßenverlauf folgen
    2.7 km   Rechts abbiegen auf Phoenixonderdoorgang (follow 1.0 km)
    3.7 km   Rechts halten
    3.8 km   Rechts halten
    3.9 km   Leicht rechts abbiegen auf Groendreef (follow 4.2 km)
    8.1 km   Rechts halten auf Neerstraat
    8.2 km   Im Kreisverkehr Ausfahrt 1 auf Pastoor Moernautstraat nehmen
    8.7 km   Rechts halten auf Kasteellaan
    9.0 km   Rechts abbiegen auf Drongense steenweg
    9.0 km   Im Kreisverkehr Ausfahrt 2 auf Drongense steenweg nehmen (follow 1.1 km)
   10.0 km   Rechts abbiegen auf Grote Baan
   10.6 km   Rechts abbiegen auf Koning Leopoldstraat
  ★ 10.7 km  [dock/stay] Docking Ghent (Lovendegem)
