JOIGNY LOOP ZWA 22SEPT    34.1 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Rechtsaf naar Rue Chaudot
    0.7 km   Ga linksaf naar D 959
    0.9 km   Rechtsaf naar D 955
    1.2 km   Linksaf naar Route de Longueron, D 482 (follow 2.0 km)
    3.1 km   Linksaf naar Rue Barrée
    3.4 km   Rechtsaf naar Rue Barrée
    3.5 km   Linksaf naar Rue Principale, D 182 (follow 3.4 km)
    6.9 km   Linksaf naar Route de Neuilly, D 31
    7.1 km   Ga rechtsaf (follow 1.7 km)
    8.9 km   Houd links aan naar D 181
    9.3 km   Blijf op Rue des Vergers
    9.7 km   Houd links aan
    9.8 km   Houd rechts aan
   10.0 km   Ga rechtdoor
   10.6 km   Rechtsaf naar Rue Basse
   10.6 km   Blijf op Rue Basse
   10.9 km   Linksaf naar Rue de l'Église
   10.9 km   Linksaf naar Rue Lucien Ducrot, D 177
   11.5 km   Rechtsaf naar Rue des Pêcheurs
   12.4 km   Rechtsaf (follow 2.2 km)
   14.6 km   Houd rechts aan naar Rue de la Rivière
   15.2 km   Linksaf naar Rue de la Rivière
   15.6 km   Ga linksaf
   15.8 km   Ga rechtsaf naar Rue du Port
   16.2 km   Rechtsaf naar Rue de la Rivière
   16.3 km   Rechtsaf naar D 164
   16.7 km   Linksaf naar Rue du Port des Fontaines (follow 1.1 km)
   17.8 km   Rechtsaf
   17.9 km   Linksaf
   18.1 km   Rechtsaf
   18.6 km   Houd rechts aan
   18.9 km   Linksaf (follow 2.2 km)
   21.1 km   Linksaf
   21.8 km   Blijf op Allée des Acacias
   21.9 km   Linksaf
   22.0 km   Linksaf naar Allée Léo Lagrange
   22.1 km   Houd rechts aan
   22.3 km   Rechtsaf
   22.9 km   Rechtsaf
   23.1 km   Linksaf
   23.6 km   Linksaf naar D 43
   23.7 km   Rechtsaf
   24.3 km   Linksaf
   24.3 km   Keer om
   24.4 km   Rechtsaf
   25.3 km   Linksaf
   25.5 km   Rechtsaf
   25.6 km   Linksaf naar Rue Émile Tabarant, D 943
   25.6 km   Ga linksaf
   25.6 km   Ga rechtsaf naar Quai de l'Yonne (follow 1.1 km)
   26.7 km   Ga linksaf naar D 181
   26.9 km   Ga linksaf
   27.0 km   Linksaf (follow 1.1 km)
   28.1 km   Ga rechtdoor (follow 5.2 km)
   33.3 km   Houd rechts aan naar Chemin de Halage
   34.0 km   Rechtsaf naar Quai de l'Hôpital
