LAGNY - PARIS    37.3 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Start of ride
    0.1 km   Bear right
    0.2 km   Turn right; cross bridge
    0.2 km   Turn left onto Rue de Marne
    0.3 km   Turn left onto Quai Bizeau (follow 4.0 km)
    4.3 km   Houd links aan
    4.7 km   Turn left ; cross canal then turn right
    5.3 km   Bear left
    5.6 km   Bear left; cross bridge; stay on left side of the road
    5.9 km   Turn sharp left
    5.9 km   Turn sharp left
    6.5 km   Turn sharp right
    6.5 km   Turn right
    6.7 km   Turn slight right
    7.6 km   Turn right; cross bridge
    8.2 km   Turn left
    8.2 km   Turn sharp right
    8.2 km   Turn left (follow 1.3 km)
    9.5 km   Turn left
    9.6 km   Turn right onto Rue de Paris, D 217b
   10.2 km   Turn right onto Rue Pierre Weczerka
  ★ 10.2 km  [convenience_store] Bakery
  ★ 10.2 km  [bar] Cafe, bar
  ★ 10.4 km  [note] Chateau de Champs sur Marne
   10.8 km   Turn right onto Rue de Chelles, D 226
   10.9 km   At roundabout, take exit 1 onto Rue des Prés
   11.3 km   Turn right
   12.2 km   Turn left onto Promenade des Pâtis
   12.7 km   Turn right (follow 1.6 km)
   14.2 km   Continue onto Bords de Marne (follow 2.3 km)
   16.5 km   Continue straight onto Quai de la Marne (follow 4.7 km)
  ★ 17.1 km  [coffee] Bar Le Pilotis — open 12:00 - 14:00
   21.2 km   Bear right; stay along river (follow 2.3 km)
  ★ 21.3 km  [coffee] Bar
   23.5 km   At roundabout, take exit 1 onto Quai du Viaduc (follow 2.7 km)
   26.2 km   Turn left onto Rue du Port
   26.5 km   Turn right; cross road and turn right again
   26.8 km   Cross bridge
   27.0 km   Cross road then turn left onto bike path
  ★ 27.0 km  [convenience_store] Boulangerie
  ★ 27.0 km  [bar] Café
   27.2 km   Bear right
  ★ 27.3 km  [bar] Café
   27.3 km   Cross road; continue straight
   27.7 km   Turn left
   27.8 km   Turn right onto Rue du Maréchal Leclerc, D 214a
   28.0 km   Turn right onto Quai de Bir-Hakeim
   28.5 km   Turn slight right onto Place de l'Écluse
   28.5 km   Turn left onto Rue Joseph-François Belbeoch (follow 1.7 km)
   30.2 km   Turn slight left onto Allée du Moulin des Corbeaux (follow 1.9 km)
   32.1 km   Turn left (follow 2.2 km)
   34.3 km   Bear right onto bike path (follow 1.8 km)
   36.1 km   Keep right onto Port de la Rapée
   36.4 km   Sla rechtsaf richting Quai de la Rapée
   36.5 km   Sla rechtsaf naar Quai de la Rapée
   36.8 km   Sla rechtsaf
   36.8 km   Sla linksaf
   37.1 km   Sla linksaf
   37.1 km   Scherpe bocht naar links
  ★ 37.3 km  [dock/stay] Docking Paris (Port-Arsenal)
