WAGENINGEN - ARNHEM (VIA HETEREN & AIRBORNE MUSEUM)    27.0 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Turn right onto Grebbedijk
    0.3 km   Turn slight left onto Havenafweg
    0.4 km   Keep right onto Nudestraat
    0.6 km   Turn right onto Emmapark
    0.8 km   Turn left onto Niemeijerstraat
    1.0 km   Turn right onto Salverdaplein
    1.1 km   Turn left onto Herenstraat
    1.4 km   Turn right onto Bergstraat
    1.4 km   Turn slight right onto 5 Mei Plein
  ★ 1.5 km  [note] Hotel De Wereld — Place where on May 4, 1945 the Allied Forces and the German Army signed the agreement to end the Second World War.
    1.5 km   Turn slight right onto 5 Mei Plein
    1.6 km   Turn left onto Veerstraat (follow 1.2 km)
    2.8 km   Continue onto Onderlangs
    3.0 km   Turn right onto Veerdam (follow 1.0 km)
  ★ 3.5 km  [ferry] Lexkes Veer — ca € 1,50 pp
    4.0 km   Keep right onto Veerweg
    4.1 km   Continue onto Randwijkse Rijndijk
    4.2 km   Turn slight right onto Knoppersweg
    4.3 km   Turn left onto Randwijkse Rijndijk
    4.3 km   Turn slight right onto Randwijkse Rijndijk (follow 4.5 km)
    8.8 km   Turn left onto Kastanjelaan (follow 4.0 km)
  ★ 8.8 km  [note] Heteren
  ★ 9.5 km  [see] Airborne Memorial
   12.8 km   Continue onto Drielse Rijndijk (follow 1.4 km)
   14.2 km   Turn left onto Drielse Rijndijk
  ★ 14.5 km  [ferry] Drielse Veer — ca € 1,= pp
   14.8 km   Continue onto Veerweg
   14.9 km   Turn right onto Veerweg
  ★ 14.9 km  [coffee] Brasserie Bries — Take a left at Junction 80 for 500 m. Terrace with great view.
   15.4 km   Turn right onto Benedendorpsweg (follow 1.4 km)
   16.7 km   Turn left onto Van Toulon van der Koogweg
   17.0 km   Turn left onto Geelkerkenkamp
   17.3 km   Turn right onto Fangmanweg
   17.4 km   Turn left onto De Dam
   17.5 km   Turn left onto Weverstraat
   17.5 km   Turn right onto Van Eeghenweg
   17.8 km   Turn right onto Pietersbergseweg
   17.8 km   Turn left onto Sandersweg
   17.9 km   Turn left onto Sandersweg
   17.9 km   Turn right onto J.J. Talsmalaan
  ★ 18.2 km  [food] Schoonoord — Restaurant and terrace
   18.4 km   Turn left onto Utrechtseweg
   18.7 km   Make a U-turn onto Utrechtseweg
  ★ 18.9 km  [note] Airborne Museum — About the battle around Arnhem in September 1944. Terrace
   19.1 km   Turn right onto J.J. Talsmalaan
   19.5 km   Turn left onto Sandersweg
   19.5 km   Turn right onto Sandersweg
   19.6 km   Turn slight right onto Pietersbergseweg
   19.7 km   Turn left onto Van Eeghenweg
   19.9 km   Turn left onto Weverstraat
   19.9 km   Turn right onto De Dam
   20.0 km   Turn right onto Fangmanweg
   20.1 km   Turn left onto Geelkerkenkamp
   20.5 km   Turn right onto Van Toulon van der Koogweg
   20.7 km   Turn left onto Benedendorpsweg
   20.8 km   Turn right onto Benedendorpsweg (follow 1.4 km)
   22.3 km   Keep right onto Klingelbeekseweg
   22.9 km   Continue onto Hulkesteinseweg
   23.2 km   Turn right onto Utrechtseweg (follow 1.6 km)
  ★ 24.1 km  [note] Arnhem Art Museum
   24.9 km   Keep right onto Stationsplein
   24.9 km   Turn left onto Willemsplein
   25.1 km   Continue onto Gele Rijders Plein
   25.5 km   Turn right onto Velperplein
   25.6 km   Keep right onto Velperbinnensingel
   26.1 km   Keep right onto Airborneplein
   26.1 km   Enter roundabout
   26.1 km   At roundabout, take exit 2 onto Airborneplein
   26.2 km   Turn right onto Eusebiusbuitensingel
   26.5 km   Turn right onto Westervoortsedijk
   26.6 km   Turn slight left onto Nieuwe Kade
   26.7 km   Turn right onto Nieuwe Kade
   26.8 km   Turn slight right onto Rijnkade
  ★ 26.8 km  [see] John Frost Bridge — From the movie A bridge too far.
  ★ 27.0 km  [dock/stay] docking Arnhem
  ★ 27.0 km  [see] Eusebius Tower. Go up by elevator and enjoy the view.
  ★ 27.0 km  [food] Arnhem Centre
  ★ 27.0 km  [note] Airborne at the Bridge — Small museum, free entrance.
  ★ 27.0 km  [food] Restaurants
