TRAININGSREIS: HAARLEM - HAARLEM RECHTSOM 2025    6.7 km    · signs & notes only ·

DIRECTIONS
    0.7 km   Turn right onto Rozenhagenstraat
    0.9 km   Turn right onto Patrimoniumstraat
    1.1 km   Turn left onto Vrouwehekstraat
    1.2 km   Turn right onto Kloppersingel
    1.5 km   Keep right onto Schoterweg
    1.6 km   Turn left onto Frans Halsplein
    1.6 km   Turn left
    2.0 km   Turn left
    2.1 km   Turn right onto Rozenstraat
    2.4 km   Turn left onto Kenaupark
    2.4 km   Turn right onto Kenaupark
    2.5 km   Turn right
    2.5 km   Turn right onto Kinderhuissingel
    2.5 km   Turn slight left
    2.7 km   Turn right onto Pieter Kiesstraat
    2.7 km   Turn left onto Pieter Kiesstraat
    2.9 km   Turn sharp left onto Garenkokerskade
    2.9 km   Turn slight right onto Garenkokerskade
    3.0 km   Turn slight right onto Garenkokerskade
    3.1 km   Turn right onto Kinderhuissingel
    3.1 km   Turn right
    3.2 km   Turn left
    3.5 km   Turn left onto Kruisstraat
    4.0 km   Turn right onto Klokhuisplein
    4.0 km   Turn left onto Damstraat
    4.2 km   Turn left onto Spaarne
    4.3 km   Turn left
    4.7 km   Turn sharp right onto Zakstraat
    4.9 km   Turn right onto Koudenhorn
    5.0 km   Turn left onto Harmenjansweg
    5.2 km   Turn left onto Harmenjansweg
    5.5 km   Turn right onto Harmenjansweg
    5.5 km   Turn sharp left
    5.7 km   Turn right
  ★ 5.7 km  [caution] Dangerous crossing
    6.0 km   Turn left
  ★ 6.7 km  [dock/stay] Docking Haarlem
