ALKMAAR POLDER-WINDMILL LOOP    39.9 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Wenden auf Kanaalkade
    0.6 km   Rechts halten
    0.6 km   Links halten
    0.7 km   Rechts abbiegen (follow 1.4 km)
    2.1 km   Links abbiegen
    2.1 km   Links abbiegen
    2.9 km   Rechts abbiegen
    3.0 km   Links halten
    3.0 km   Rechts halten
    3.1 km   Links abbiegen auf Kerkbrug
    3.2 km   Links abbiegen auf Schermerdijk
    4.0 km   Links halten auf Schermerdijk
    4.4 km   Links abbiegen auf Huygendijk
    4.7 km   Rechts abbiegen auf Huygendijk
    5.1 km   Leicht rechts abbiegen auf Huygendijk (follow 2.3 km)
    7.4 km   Rechts abbiegen auf Dorpsstraat
    7.4 km   Links abbiegen auf Huygendijk, N508 (follow 3.0 km)
  ★ 9.5 km  [monument] Schermer windmills
   10.4 km   Leicht rechts abbiegen auf Huigendijk, N508
   10.6 km   Links abbiegen auf Schermerdijk (follow 4.6 km)
   15.1 km   Rechts abbiegen auf Molendijk
   15.2 km   Links abbiegen auf Molendijk
   15.2 km   Rechts abbiegen auf Noordervaart
  ★ 15.4 km  [monument] Museum mill
   15.5 km   Leicht links abbiegen auf Molendijk
   15.6 km   Rechts abbiegen auf Provincialeweg
   15.6 km   Links abbiegen auf Zwartedijk
   15.8 km   Rechts abbiegen auf Westeinde
   16.5 km   Leicht rechts abbiegen auf Oosteinde
   17.1 km   Turn right onto Westdijk
   17.4 km   Turn left onto Westdijk
   17.5 km   Turn slight right onto Westdijk (follow 5.0 km)
   22.5 km   Turn right onto Westdijk
   22.6 km   Continue onto Oosteinde (follow 1.1 km)
  ★ 23.2 km  [monument] De Rijp Weigh House
   23.7 km   Turn right onto Westeinde
   24.1 km   Continue onto Dorpsstraat
   24.5 km   Turn left onto Groeneweg
   24.6 km   Turn right onto Groeneweg (follow 2.1 km)
   26.8 km   Turn slight right onto Zuiddijk (follow 1.2 km)
   28.0 km   Turn right onto Zuiddijk (follow 3.1 km)
   31.1 km   Turn left onto Westdijk
   31.1 km   Turn right onto Westdijk
  ★ 31.1 km  [ferry] Akersloot ferry — 1,35 per bycicle
   31.1 km   Attention, take ferry (Pont Akersloot-Zuidschermer)
   31.2 km   Leave ferry and continue onto Geesterweg
   31.2 km   Turn right onto Geesterweg
   31.2 km   Continue onto Pontweg-Noord
   31.4 km   Turn right onto Hoornselaan
   31.7 km   Turn right onto Hoogegeest
   32.1 km   Turn left
  ★ 32.7 km  [monument] Noordermolen
   33.1 km   Keep right onto Kanaalweg
   34.0 km   Turn left
   34.1 km   Turn right onto Boekelermeerweg (follow 2.9 km)
   37.0 km   Turn left onto Oude Heilooërdijk
   37.3 km   Turn slight right onto Hadewijchstraat
   37.7 km   Turn right onto Koning Nobelpad
   38.4 km   Turn sharp right onto Vondelstraat
   38.7 km   Turn slight right onto Wolfsbrug
   38.9 km   Continue onto Limmerhoek
   39.3 km   Turn slight right onto Wageweg
   39.4 km   Turn right
   39.4 km   Turn left
   39.4 km   Turn left
   39.6 km   Continue onto Kanaalkade
