ROTTERDAM - KINDERDIJK - GOUDA - NIEUWPOORT    58.7 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [ferry] Ferry to Kinderdijk
    0.2 km   Links halten auf Boompjeskade
    0.4 km   Rechts abbiegen auf Boompjes
    0.6 km   Rechts abbiegen
    0.7 km   Links abbiegen
    0.7 km   Rechts abbiegen auf Maasboulevard (follow 1.5 km)
    2.2 km   Dem Straßenverlauf von Maasboulevard folgen
    2.8 km   Rechts abbiegen auf Oude Plantagedreef
    2.9 km   Dem Straßenverlauf von Honigerdijk folgen
    3.6 km   Links abbiegen auf Nesserdijk
    3.7 km   Rechts abbiegen auf Nesserdijk
    3.9 km   Leicht links abbiegen auf Nesserdijk (follow 2.4 km)
    6.3 km   Rechts abbiegen auf Schaardijk (follow 2.2 km)
    8.5 km   Leicht rechts abbiegen
    8.5 km   Leicht links abbiegen auf Kars-Wegeling Pad
    8.7 km   Links halten auf Kars-Wegeling Pad
    8.8 km   Scharf rechts abbiegen auf Algeraweg
    9.1 km   Rechts abbiegen
    9.1 km   Rechts abbiegen auf IJsseldijk
    9.4 km   Links abbiegen auf Lekdijk
    9.9 km   Rechts abbiegen auf Lekdijk
    9.9 km   Dem Straßenverlauf von Parallelweg folgen (follow 4.0 km)
   14.0 km   Rechts abbiegen auf Kerkestoep
   14.4 km   Links abbiegen
   14.4 km   Leicht links abbiegen auf Lekweg
   14.6 km   Leicht links abbiegen
   14.8 km   Links abbiegen auf Molenstraat
   14.8 km   Dem Straßenverlauf von Molenstraat folgen
   14.9 km   Rechts abbiegen auf Nederwaard (follow 3.5 km)
   18.4 km   Links halten
   18.4 km   Links abbiegen auf Middelweg (follow 1.1 km)
   19.5 km   Scharf rechts abbiegen auf Tiendweg (follow 1.9 km)
   21.4 km   Scharf links abbiegen auf Schoonenburglaan
   21.7 km   Rechts abbiegen auf Jacoba van Beierenstraat
   21.7 km   Links abbiegen auf Schoonenburglaan
   22.1 km   Rechts halten
   22.2 km   Leicht rechts abbiegen auf Veerweg
   22.5 km   Dem Straßenverlauf von Lekkerkerk - Nieuw Lekkerland folgen
   22.7 km   Leicht rechts abbiegen auf Voorstraat
   22.7 km   Links abbiegen auf Voorstraat
   22.8 km   Rechts abbiegen auf Burgemeester Roosstraat
   22.9 km   Links abbiegen auf Raadhuisplein
   23.0 km   Rechts abbiegen auf Raadhuisplein
   23.1 km   Scharf rechts abbiegen auf Kerkweg
   23.7 km   Rechts abbiegen auf Kerkweg
   23.9 km   Leicht rechts abbiegen auf Kerkweg (follow 2.2 km)
   26.1 km   Leicht links abbiegen auf Kerkweg
   26.2 km   Rechts abbiegen auf Loet
   27.0 km   Links abbiegen auf Loet (follow 1.0 km)
   28.0 km   Rechts abbiegen auf Westeinde (follow 2.0 km)
   30.0 km   Links abbiegen auf Dorpsstraat (follow 2.1 km)
   32.1 km   Rechts abbiegen auf Achterbroek (follow 1.7 km)
   33.8 km   Links abbiegen auf Snippejagerskade (follow 2.1 km)
   35.9 km   Rechts abbiegen auf Groene Wetering
   36.0 km   Links abbiegen auf Essendreef
   36.2 km   Rechts abbiegen auf Essendreef
   36.5 km   Rechts abbiegen auf Dorpsstraat (follow 1.9 km)
   38.4 km   Rechts abbiegen auf Middelblok
   38.4 km   Links abbiegen auf Verbindingsasje
   38.5 km   Links abbiegen auf Verbindingsasje
   39.0 km   Dem Straßenverlauf von Kompas folgen
   39.2 km   Links abbiegen auf Margrietplein
   39.7 km   Rechts abbiegen auf Jacob van Lennepkade
   39.9 km   Leicht links abbiegen auf Jacob van Lennepkade
   39.9 km   Rechts abbiegen auf Constantijn Huygensstraat
   39.9 km   Links abbiegen auf Herenstraat
   40.0 km   Dem Straßenverlauf von Walvisstraat folgen
   40.1 km   Rechts abbiegen auf Lethmaetstraat
   40.4 km   Links abbiegen auf Prins Hendrikstraat
   40.7 km   Rechts abbiegen auf Wachtelstraat
   40.8 km   Links abbiegen auf Pottersplein
   40.9 km   Links abbiegen auf Pottersplein
   40.9 km   Rechts abbiegen auf Hoge Gouwe
   41.3 km   Links halten auf Hoge Gouwe
   41.5 km   Leicht rechts abbiegen auf Westhaven
   41.9 km   Links halten auf Westhaven
   41.9 km   Links abbiegen auf Schielands Hoge Zeedijk
   42.4 km   Rechts halten auf Haastrechtsebrug
   42.6 km   Links abbiegen auf Verkeersplein Stolwijkersluis
   42.6 km   Rechts abbiegen auf Verkeersplein Stolwijkersluis
   42.8 km   Rechts abbiegen auf Provincialeweg West
   42.8 km   Links abbiegen auf Provincialeweg West (follow 4.0 km)
   46.8 km   Dem Straßenverlauf von Bredeweg folgen
   46.9 km   Rechts abbiegen auf Jan van Arkelstraat
   47.4 km   Rechts abbiegen auf Bredeweg (follow 1.7 km)
   49.1 km   Links abbiegen
