DORMANS - EPERNAY (NIEDRIGE ROUTE)    32.5 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Drop-off Dormans
  ★ 0.0 km  [note] Pick up / Drop off Dormans
    0.1 km   Rechts abbiegen
    0.2 km   Geradeaus weiterfahren
    0.3 km   Rechts abbiegen
    0.6 km   Links abbiegen auf Rue du Château
    0.7 km   Umkehren um weiter zu fahren
  ★ 0.7 km  [note] memorial Dormans
    0.8 km   Links abbiegen
    1.0 km   2. Ausfahrt im Kreisverkehr; Brücke überqueren
  ★ 1.0 km  [bar] Café Dormans
    1.3 km   Rechts abbiegen (follow 1.3 km)
  ★ 1.3 km  [dock/stay] Mooring Château-Thierry
  ★ 1.3 km  [convenience_store] Supermarket
  ★ 2.2 km  [start] locks Mont Saint-Père
    2.6 km   Rechts abbiegen (follow 3.1 km)
  ★ 3.1 km  [winery] Champagne Piot Vincelles
  ★ 3.3 km  [coffee] Café Vincelles
  ★ 3.5 km  [rest_stop] picknick spot
    5.7 km   2. Ausfahrt im Kreisverkehr auf Rue de la Tour (follow 8.4 km)
  ★ 5.7 km  [coffee] Café Verneuil
  ★ 10.6 km  [winery] Champagne Nowack Vandieres
  ★ 12.5 km  [coffee] Café Châtillon sur Marne
  ★ 12.6 km  [note] View point + statue Urbanus
   14.1 km   Links abbiegen (follow 2.8 km)
   16.9 km   Rechts abbiegen
   17.1 km   Schräg links
   17.2 km   Rechts abbiegen
   17.9 km   Schräg rechts (follow 2.3 km)
   20.3 km   Schräg rechts (follow 1.8 km)
  ★ 21.3 km  [note] panorama
  ★ 21.3 km  [note] steep hill
  ★ 22.1 km  [note] steep hill
   22.1 km   Schräg links dann schräg rechts
   22.9 km   Rechts abbiegen
   23.2 km   Schräg rechts
   23.4 km   Schräg rechts (follow 5.2 km)
  ★ 23.4 km  [coffee] Café at the river Damery
   28.6 km   Schräg rechts
   29.3 km   Rechts abbiegen; Brücke überqueren dann links (follow 1.4 km)
   30.7 km   Rechts abbiegen auf Rue Alfred Anatole Thevenet (follow 1.5 km)
   32.2 km   Schräg rechts; Brücke überqueren dann rechts
   32.5 km   Ende der Radtour
  ★ 32.5 km  [dock/stay] Mooring Epernay
