DON - ARLEUX (VIA LEWARDE)    50.6 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Keep left
    0.1 km   Turn right
    0.4 km   Turn right onto Rue de l'Égalité
    0.7 km   Turn right onto Rue Abbé Dubus
    1.4 km   Turn right onto Rue de Don (follow 1.1 km)
    2.4 km   Turn left onto Rue Louis Dal
    2.5 km   Turn right onto Rue de la Bouvaque
    2.6 km   Keep right onto Place du Général de Gaulle
    2.6 km   Turn left onto Place du Général de Gaulle
    2.8 km   Turn right onto Rue de la Gare
    2.9 km   Turn left onto Passage Verignon
    3.2 km   Turn left
    3.3 km   Turn left
    3.6 km   Turn left onto Rue de Londres
    3.8 km   Turn right onto Rue de Touraine
    4.2 km   Turn right onto Rue des Ormes
    4.3 km   Turn left onto Rue des Ormes
    4.3 km   Turn right onto Rue de Carvin (follow 1.6 km)
    6.0 km   Continue onto Route d'Annœullin
    6.0 km   At roundabout, take exit 3 onto Rue Séraphin Cordier (follow 1.1 km)
    7.1 km   Turn left onto Rue du Maréchal Foch
    7.2 km   Turn right onto Rue du Buqueux (follow 1.3 km)
    8.5 km   Turn left
    9.4 km   Turn slight left
   10.0 km   Turn left (follow 1.4 km)
   11.3 km   Turn right
   11.5 km   Turn left
   11.5 km   Turn left
   12.0 km   Turn left onto Allée Henri Matisse
   12.1 km   Turn left onto Rue Marc Lanvin
   12.1 km   Turn right onto Boulevard Schumman
   12.2 km   At roundabout, take exit 2 onto Boulevard Schumann
   12.6 km   Turn right onto Rue Léon Jouhaux
   13.1 km   Turn left onto Rue Chodura
   13.7 km   At roundabout, take exit 3 onto Rue Pierre Brossolette
   14.3 km   Turn left onto Rue Jean-Baptiste Lebas
   14.4 km   Turn right onto Rue Jean-Baptiste Lebas
   14.4 km   Turn left onto Rue Jean-Baptiste Lebas
   14.5 km   Turn right onto Rue des Platanes
   15.1 km   Turn left onto Rue Florent Evrard
   15.2 km   Turn left
   15.6 km   Turn left
   15.8 km   Turn slight left onto Rue de la Libération
   16.0 km   Keep right onto Chemin Vicinal Ordinaire dit de Leforest (follow 1.4 km)
   17.4 km   Keep left onto Boucle 11des 3 Cavaliers
   17.9 km   Turn left onto Rue Landes
   18.1 km   Turn right
   18.3 km   Turn right onto Rue de l'Égalité
   18.4 km   At roundabout, take exit 4 onto Rue de la Potrie
   18.9 km   Turn left onto Rue Florent Evrard
   18.9 km   Turn right
   19.8 km   Turn left onto Rue des Bergeronnettes
   19.9 km   Turn left
   20.0 km   Turn sharp right
   20.2 km   Turn sharp right
   20.6 km   Turn right
   20.6 km   Turn left
   20.7 km   Turn left
   20.8 km   Turn slight right onto Rue de La Gare
   20.9 km   Turn left onto Rue Lazare Carnot (follow 1.6 km)
   22.5 km   Turn slight right onto Rue Jean-Baptiste Lebas
   22.8 km   Keep right onto D 120
   22.8 km   At roundabout, take exit 1 onto Rond-Point de la Résistance
   22.9 km   Keep right onto D 120
   22.9 km   Turn sharp left
   23.2 km   Turn left
   23.6 km   Turn slight left
   23.8 km   Turn left onto Rue René Panhard
   24.0 km   Turn right
   24.1 km   Turn right (follow 1.1 km)
   25.2 km   Turn left onto Rue du Maréchal de Lattre de Tassigny
   25.4 km   Turn right
   26.3 km   Turn left onto Rue Rhin et Danube
   26.4 km   Turn right onto Boulevard Lahure
   26.6 km   Turn left
   27.1 km   Turn left
   28.0 km   Turn left onto Quai du Mariage
   28.5 km   Turn left onto Pont d'Alsace
   28.5 km   Turn slight right onto Place de l'Esplanade
   28.6 km   Turn right
   28.9 km   Keep right onto Place Carnot
   29.0 km   Turn right onto Rue Saint-Jacques
   29.5 km   Keep right onto Place d'Armes
   29.7 km   Keep left onto Rue Rogerol
   29.8 km   Turn left onto Rue Henri Dunant
   30.0 km   At roundabout, take exit 4 onto Rue d'Aniche
   30.8 km   At roundabout, take exit 3 onto Rue des Frères Martel
   30.9 km   Continue onto Rue de Douai (follow 1.1 km)
   32.0 km   At roundabout, take exit 1 onto Rue de Verdun
   32.3 km   Continue onto Rue Léon Gambetta
   32.5 km   Turn left onto Rue Jules Ferry
   33.0 km   Turn right onto Rue Maurice Mahieu
   33.0 km   Turn left onto Rue Francisco Ferrer
   33.4 km   At roundabout, take exit 3
   33.9 km   Turn left onto Rue de la République
   33.9 km   Turn right
   34.6 km   Turn right
   34.6 km   At roundabout, take exit 2
   35.2 km   Continue onto Rue Paul Éluard
   35.2 km   At roundabout, take exit 1 onto Rue Jean Jaurès
   35.3 km   Keep right onto Boulevard Ambroise Croizat (follow 1.1 km)
   36.4 km   At roundabout, take exit 1 onto Rue Pasteur
   37.0 km   Turn right onto Place des Vésignons
   37.1 km   Turn right onto Rue de Monchecourt
   37.1 km   Turn right onto Rue de Monchecourt
   37.6 km   Continue onto Rue d'Erchin
  ★ 38.3 km  [monument] Mine Museum Lewarde
   38.4 km   Turn left
   38.6 km   Make a U-turn
   38.7 km   Turn left onto Rue d'Erchin
   38.8 km   Continue onto D 132 (follow 1.5 km)
   40.2 km   Turn right onto Rue du Calvaire (follow 1.8 km)
   42.0 km   Turn left onto Rue Fernand Savary (follow 1.6 km)
   43.6 km   Turn sharp left onto D 135
   44.2 km   Turn right
   44.8 km   Continue onto Rue de Villers
   44.9 km   Turn left onto Rue de Cambrai
   44.9 km   Turn right onto Rue du Puits à Razettes
   45.1 km   Turn right onto Rue du Puits à Razettes
   45.1 km   Turn left onto Rue d'Arleux (follow 2.8 km)
   48.0 km   Keep right onto Avenue de la Gare
   48.0 km   At roundabout, take exit 1 onto Rue Andre Joseph Le Glay
   48.4 km   Turn slight right onto Rue Andre Joseph Le Glay
  ★ 49.2 km  [note] Garlic shop Arleux
   49.2 km   At roundabout, take exit 2 onto Rue Georges Lefebvre
   49.4 km   Turn left onto Rue des Lumières
   49.6 km   Turn left onto Rue des Murets Simon
   49.7 km   Turn right onto Rue du Bias
   50.4 km   Turn left onto Chemin de Halage
