ZAANDAM - ZAANSE SCHANS - ALKMAAR (ÜBER EGMOND)    50.0 km    · signs & notes only ·

Knooppunten: 2

DIRECTIONS
    0.1 km   Rechts abbiegen auf Wilhelminastraat
    0.3 km   Rechts abbiegen auf A.F. de Savornin Lohmanstraat (follow 1.4 km)
    1.7 km   Links abbiegen auf Oostzijde
    2.3 km   Rechts halten
    2.4 km   Leicht rechts abbiegen auf Oostzijde
    2.6 km   Rechts abbiegen auf Paltrokstraat (follow 1.1 km)
    3.7 km   Links abbiegen
    3.7 km   Rechts abbiegen auf Kalf
    4.6 km   Links abbiegen
    4.8 km   Links abbiegen
    5.8 km   Links abbiegen auf Leeghwaterweg
    5.8 km   Rechts abbiegen auf Kalverringdijk
    6.0 km   Rechts halten auf Kalverringdijk (follow 1.4 km)
  ★ 6.1 km  [note] Start Zaanse Schans
    7.5 km   Links abbiegen auf Engewormer
    8.1 km   Links halten auf Engewormer
    8.1 km   Leicht rechts abbiegen auf Zaandammerpad
    8.1 km   Links halten auf Zaandammerpad
    8.4 km   Wenden auf Engewormer
    8.6 km   Links halten auf Engewormer
    8.7 km   Rechts halten auf Zaandammerpad
    9.0 km   Links abbiegen
    9.1 km   Leicht rechts abbiegen auf Papiermakerstraat
    9.3 km   Dem Straßenverlauf von Koetserstraat folgen
    9.5 km   Leicht rechts abbiegen auf Rigastraat
    9.6 km   Leicht links abbiegen auf Rigastraat
    9.6 km   Rechts halten auf Bordwalserstraat
    9.7 km   Rechts halten auf Bordwalserstraat
    9.8 km   Im Kreisverkehr Ausfahrt 5 nehmen
   10.0 km   Rechts abbiegen
   10.1 km   Scharf links abbiegen auf Nieuweweg
   10.1 km   Rechts abbiegen
   10.1 km   Leicht rechts abbiegen auf Nieuweweg
   10.4 km   Leicht rechts abbiegen auf Zaanweg
   11.0 km   Links abbiegen auf Marktstraat
   11.3 km   Leicht rechts abbiegen auf Krommenieërweg
   11.4 km   Links abbiegen auf Krommenieërweg
   12.1 km   Rechts abbiegen auf Kerkstraat
   12.1 km   Links abbiegen
   12.3 km   Links abbiegen
   12.4 km   Leicht rechts abbiegen auf Kerkstraat
   12.8 km   Dem Straßenverlauf von Badhuislaan folgen
   13.1 km   Rechts abbiegen auf Weverstraat
   13.2 km   Dem Straßenverlauf von Eikelaan folgen
   13.9 km   Rechts abbiegen auf Zonnebaars
   13.9 km   Leicht links abbiegen auf Waterjuffer
   14.1 km   Turn left on bikepath
   14.1 km   Dem Straßenverlauf von Uitweg folgen
   14.8 km   Links abbiegen auf Krommeniedijk (follow 1.6 km)
   16.4 km   Rechts abbiegen auf Krommenieweg
   16.6 km   Rechts abbiegen auf Lagendijk (follow 2.8 km)
  ★ 16.7 km  [see] Festung kijk
  ★ 18.2 km  [coffee] Restaurant Havenrijk Uitgeest — Ab 12 Uhr geöffnet
  ★ 18.5 km  [restroom] Öffentliche Toiletten — Ohne Papier/ohne Waschbecken
  ★ 18.6 km  [coffee] Krelis — Ab 11 Uhr geöffnet
  ★ 18.6 km  [note] Informationspunkt
   19.4 km   Dem Straßenverlauf von Meldijk folgen
   19.8 km   Follow signs to junction 2 (exit right)
  ★ 19.8 km  [coffee] Bäckerei, Kaffee — Geöffnet ab 7.00 Uhr (außer sonntags)
  ★ 24.5 km  [see] Hortus Bulborum Limmen — Blumengarten mit historischen Zwiebelgewächsen
  ★ 28.7 km  [food] Johanna's Hof
  ★ 33.6 km  [note] abbey
  ★ 36.9 km  [bike_parking] Fahrradparkplatz Egmond
  ★ 36.9 km  [food] Restaurants
  ★ 36.9 km  [water] Wasser
  ★ 37.0 km  [note] Egmond aan Zee
  ★ 49.3 km  [note] Alkmaar Mitte
  ★ 49.5 km  [dock/stay] Liegeplatz Alkmaar (Voormeer)
  ★ 50.0 km  [dock/stay] Liegeplatz Alkmaar (Kanaalkade)
