TESTFAHRTHOORN    7.5 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn sharp left
    0.2 km   Turn right
    0.3 km   Turn slight left
  ★ 0.3 km  [dock/stay] Anlegestelle Hoorn
    0.3 km   Continue onto Hoofd
    0.4 km   Turn slight right onto Veermanskade
    0.5 km   Rechts halten auf Veermanskade
    0.9 km   Rechts abbiegen auf Grote Oost
    1.1 km   Rechts abbiegen auf Willemsweg
    1.2 km   Dem Straßenverlauf von Schellinkhouterdijk folgen
    1.5 km   Continue onto Schellinkhouterdijk
    2.2 km   Links (follow 1.8 km)
    4.0 km   Rechts
    4.1 km   Links
    4.1 km   Direkt Wagenpad
    4.3 km   Links Wagenpad
    4.7 km   Links Vredehoftunnel
    4.9 km   Rechts Vredehofstraat
    5.8 km   Direkt Achterstraat
    5.9 km   Scharf rechts Gedempte Turfhaven
    6.3 km   Links Achterom
    6.8 km   Links Proostensteeg
    6.9 km   Rechts Roode Steen
    7.1 km   Rechts Wijdebrugsteeg
    7.3 km   Rechts abbiegen auf Oude Doelenkade
    7.3 km   Leicht links abbiegen auf Veermanskade
    7.4 km   Links halten auf Hoofd
    7.5 km   Dem Straßenverlauf folgen
