DEN HELDER - SINT MAARTENSVLOTBRUG (ÜBER ANNA PAULOWNA)    33.7 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Rechts abbiegen auf Havenweg
    0.3 km   Rechts halten auf Havenweg
    0.3 km   Dem Straßenverlauf von Havenweg folgen
    0.3 km   Links abbiegen auf Binnenhaven (follow 1.3 km)
    1.7 km   Links abbiegen auf Karel Doormanweg
    1.7 km   Links abbiegen auf Karel Doormanweg (follow 3.4 km)
    5.1 km   Links abbiegen auf Rijksweg
    5.2 km   Rechts abbiegen auf Touwslagersweg
    6.1 km   Rechts abbiegen
    6.8 km   Rechts abbiegen auf Schorweg
    7.5 km   Leicht links abbiegen auf J. C. de Leeuwweg (follow 1.8 km)
    9.2 km   Rechts abbiegen auf Zandvaart
   10.1 km   Links abbiegen
   10.2 km   Rechts abbiegen auf Zandvaart
   11.1 km   Rechts abbiegen auf Zandvaart
   11.1 km   Dem Straßenverlauf von Koningsweg folgen (follow 1.2 km)
   12.3 km   Links abbiegen auf Schorweg (follow 1.7 km)
   14.0 km   Links abbiegen auf Molenvaart
   15.0 km   Rechts abbiegen auf Molenvaart
   15.0 km   Links abbiegen auf Molenvaart (follow 3.3 km)
  ★ 18.2 km  [see] Poldertuin - mini keukenhof
   18.3 km   Links abbiegen
   18.4 km   Links abbiegen
   18.4 km   Rechts abbiegen auf Kerkweg
  ★ 18.6 km  [coffee] Restaurant/bar 'Leuk'
   18.7 km   Rechts abbiegen auf Kneeskade (follow 3.8 km)
   22.6 km   Dem Straßenverlauf von Kneesweg folgen
   22.9 km   Links abbiegen auf Noorderweg
   23.0 km   Rechts abbiegen auf Sportlaan (follow 5.0 km)
   28.0 km   Rechts abbiegen auf Polderweg
   28.5 km   Links halten
   28.6 km   Links abbiegen
   28.8 km   Links abbiegen
   28.8 km   Rechts abbiegen auf Provincialeweg
   29.7 km   Links abbiegen auf Belkmerweg (follow 3.4 km)
   33.1 km   Links abbiegen
   33.6 km   Links abbiegen
   33.7 km   Rechts abbiegen
   33.7 km   Links abbiegen
  ★ 33.7 km  [dock/stay] Pickup Sint Maartensvlotbrug
