KØGE - COPENHAGEN KASTELLET 59.3KM ENG 2024    59.2 km    · signs & notes only ·

DIRECTIONS
  ★ 0.1 km  [dock/stay] Pick up Nordre Kajgade
    0.2 km   Turn right
    0.4 km   Sharp right
    0.4 km   Turn left
    0.5 km   Turn right
    1.0 km   At roundabout take exit 1
    1.0 km   Turn left
    1.1 km   Turn right
    1.3 km   Turn left (follow 4.4 km)
    5.7 km   Turn left
    5.7 km   Turn left (follow 1.1 km)
    6.9 km   Turn left (follow 1.0 km)
    7.9 km   Turn right (follow 1.7 km)
    9.5 km   Turn left
    9.9 km   Turn right
   10.6 km   Turn left (follow 1.1 km)
   11.6 km   Cross road, Turn left (follow 1.3 km)
   12.9 km   Turn right (follow 1.0 km)
   13.9 km   Turn right
   14.2 km   Turn left
   14.3 km   Bear right
   15.2 km   Turn right
   15.3 km   Turn right
   15.5 km   Turn left
   15.5 km   Turn right
   15.8 km   Turn left
   15.8 km   Turn right (follow 3.0 km)
   18.8 km   Bear right
   18.9 km   Bear left (follow 2.2 km)
   21.1 km   Bear right
   21.5 km   Turn right
   22.3 km   Turn right
   22.8 km   Turn left, cross road (follow 2.1 km)
   24.8 km   At roundabout take exit 4
  ★ 25.2 km  [coffee] Coffee
   25.5 km   At roundabout take exit 2 onto Karlslunde Strandvej
   26.3 km   At roundabout take exit 2 onto Mosede Strandvej (follow 1.3 km)
   27.6 km   At roundabout take exit 2 onto Mosede Strandvej (follow 4.0 km)
   31.6 km   Bear right
   31.6 km   Turn right
   31.9 km   Turn left
   32.5 km   Bear right
   33.4 km   Turn right
   33.8 km   Turn left
   34.0 km   Turn left (follow 1.7 km)
   35.8 km   Bear left
   35.9 km   Bear right
   36.1 km   Turn left
   36.3 km   Bear right
   36.6 km   Bear right
   36.6 km   Turn right, cross road (follow 1.5 km)
   38.1 km   Turn right
   38.3 km   Continue straight; cross road onto bike path
   38.4 km   Bear right (follow 2.7 km)
   41.2 km   Bear left
   41.4 km   Bear left
   41.6 km   Turn right
   41.7 km   Bear right
   41.8 km   Bear right
   42.3 km   Turn right
   42.6 km   Turn right (follow 2.7 km)
   45.2 km   Turn right
   45.4 km   Turn left
   45.7 km   Bear left
   46.0 km   Bear right
   46.6 km   Sharp right
   46.9 km   Sharp right (follow 3.6 km)
   50.5 km   Bear right
   50.9 km   Turn left
   51.0 km   Turn right
   51.1 km   Turn left
   51.4 km   Bear left (follow 1.1 km)
   52.5 km   Turn left
   52.6 km   Turn left (follow 2.1 km)
   54.8 km   Turn left, cross bridge
   55.0 km   Turn right
   55.9 km   Turn right (follow 1.3 km)
  ★ 57.0 km  [dock/stay] Mooring Amaliehaven
   57.2 km   Turn right
   57.4 km   Sharp left
   57.6 km   Turn right
   58.2 km   Turn right
   58.7 km   Turn right
   59.0 km   At roundabout take exit 2 onto Langelinie Allé
   59.1 km   Bear right , End of ride
