TESTFAHRT: ZAANDAM    16.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Anlegestelle Zaandam
    0.0 km   Beginn der Fahrt; Wasser zu Ihrer Linken
    0.1 km   Links abbiegen auf die Brücke
    0.3 km   Links abbiegen nach Knotenpunkt 55
    0.5 km   Links halten nach Knotenpunkt 55
  ★ 0.5 km  [see] Zar-Peter-Haus — Ehemaliges Zuhause des russischen Zaren Peter
    1.0 km   Links abbiegen auf dem Radweg
  ★ 1.0 km  [see] Inntel Hotel (Wahrzeichen)
    1.0 km   Rechts abbiegen
    1.1 km   Links abbiegen nach Knotenpunkt 55
    1.2 km   Leicht nach rechts nach Knotenpunkt 69
    1.5 km   Rechts abbiegen nach Knotenpunkt 69
    1.7 km   Links abbiegen
    1.7 km   Links abbiegen nach Knotenpunkt 69
    2.0 km   Links abbiegen nach Knotenpunkt 69 (follow 2.1 km)
    4.0 km   Geradeaus nach Knotenpunkt 68
    4.2 km   Rechts abbiegen nach Knotenpunkt 68 (follow 3.7 km)
    7.9 km   Rechts halten nach Kerkbuurt
    8.1 km   Rechts halten
    8.1 km   Rechts abbiegen nach Provincialeweg
    9.0 km   Rechts abbiegen nach Provincialeweg (follow 1.1 km)
   10.1 km   Scharf nach rechts abbiegen
   10.1 km   Rechts abbiegen nach Westerwindpad (follow 4.0 km)
   14.2 km   Links abbiegen nach Knotenpunkt 55
   14.5 km   Leicht nach rechts abbiegen
   14.8 km   Rechts abbiegen
   14.8 km   Rechts abbiegen
   15.0 km   Links abbiegen nach Knotenpunkt 55
   15.3 km   Links abbiegen nach Knotenpunkt 70
   15.4 km   Rechts abbiegen; Straße überqueren
   15.5 km   Links abbiegen
   15.5 km   Rechts abbiegen nach Knotenpunkt 70
   15.9 km   Leicht nach rechts nach Knotenpunkt 70
   16.2 km   Rechts abbiegen nach Knotenpunkt 70
   16.4 km   Rechts abbiegen
   16.5 km   Ende der Fahrt
