SCHENGEN-REMICH    27.3 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Pick up Schengen
  ★ 0.1 km  [see] Viewpoint
    0.3 km   Keep left onto CR 152B (follow 4.2 km)
    4.5 km   Turn left onto D 64
    4.7 km   Turn left
    4.9 km   Turn left onto Chemin des Tilleuls
    4.9 km   Turn left onto Chemin des Tilleuls (follow 1.4 km)
  ★ 6.0 km  [see] Cateu
    6.3 km   Turn right
    6.4 km   Turn left onto Place de la Gro (follow 1.9 km)
    8.3 km   Turn slight left onto Rue de l'Écluse
    8.6 km   Keep left onto Chemin de la Moselle
    9.4 km   Turn sharp right
    9.5 km   Turn right
    9.7 km   Turn right onto Route de Trèves, D 654
   10.0 km   Turn left
   10.0 km   Turn right
   10.0 km   Turn sharp right
   10.3 km   Turn left onto Rue de l'École
   10.5 km   Make a U-turn onto Rue de l'École
  ★ 10.5 km  [note] Maybe this?
   10.7 km   Turn right
   10.9 km   Turn sharp left
   11.0 km   Turn left
   11.0 km   Turn right onto Rue Nationale, D 654
   11.3 km   Turn left
   11.5 km   Turn left
   11.5 km   Turn right onto Chemin Robert Schuman
   12.0 km   Turn slight left
   12.2 km   Turn right
   12.2 km   Turn left onto Bahnhofstraße
   12.5 km   Keep right onto Sabelweg
   13.1 km   Turn right
   13.9 km   Turn left onto Im Niederborn
   14.1 km   Turn right onto Marienstraße
   14.6 km   Turn right
   14.7 km   Turn left
   15.0 km   Turn left
  ★ 15.0 km  [note] Roman Villa
  ★ 15.0 km  [see] Viewpoint
  ★ 15.1 km  [see] Dragon's teeth
   15.3 km   Turn right
   15.6 km   Turn right
   15.7 km   Turn left
   16.2 km   Turn left onto Im Niederborn
   16.4 km   Turn right onto Auf dem Sabel
   17.1 km   Turn left
   17.6 km   Continue onto Sabelweg
   17.9 km   Turn sharp right
   18.4 km   Turn right (follow 3.2 km)
   21.7 km   Turn left onto Kirchstraße
   21.7 km   Turn right onto Moselstraße
   21.7 km   Turn left onto Moselstraße
   21.8 km   Turn right onto Moseluferpromenade
   22.1 km   Turn right onto In der Flußhuf
   22.2 km   Continue onto Industriestraße
   22.5 km   Turn left
   22.7 km   Turn slight right onto Obermoselstraße, B 419
   22.8 km   Turn right
   22.8 km   Turn left (follow 1.5 km)
   24.3 km   Turn left
   24.4 km   Turn right onto Römerstraße (follow 1.2 km)
  ★ 25.0 km  [note] Roman Villa
   25.6 km   Turn left onto Berger Weg
   25.7 km   Turn right onto Wieser Straße
   26.3 km   Turn right onto Bübinger Straße, B 419
   26.5 km   At roundabout, take exit 3 onto Zur Moselbrücke, B 406
   26.9 km   Turn right onto Zur Moselbrücke
   27.1 km   Turn right onto Zur Moselbrücke
   27.2 km   Turn left
  ★ 27.3 km  [dock/stay] Remich
