MAINZ - RÜDESHEIM (ÜBER KLOSTER)    41.3 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Rechts abbiegen auf Adenauer-Ufer
    0.2 km   Rechts abbiegen
    0.3 km   Links abbiegen
    0.3 km   Links abbiegen (follow 1.0 km)
    1.3 km   Rechts halten
    1.5 km   Leicht links abbiegen (follow 1.3 km)
    2.7 km   Links halten
    3.2 km   Rechts abbiegen auf Schiffbauerweg
    3.2 km   Dem Straßenverlauf von An der Helling folgen
    3.2 km   Links abbiegen auf Biebricher Straße, K 648 (follow 1.5 km)
    4.8 km   Rechts halten
    5.0 km   Links halten
    5.0 km   Leicht rechts abbiegen auf Rheingaustraße, K 648
    5.1 km   Im Kreisverkehr Ausfahrt 2 auf Rheingaustraße, K 648 nehmen
    5.2 km   Links abbiegen
    5.3 km   Rechts abbiegen auf Uferstraße
    5.5 km   Links halten
    5.5 km   Rechts halten
    5.6 km   Rechts abbiegen
    5.7 km   Rechts abbiegen
    5.7 km   Links abbiegen
    5.7 km   Rechts halten
    5.9 km   Rechts halten
    5.9 km   Links abbiegen (follow 1.5 km)
    7.4 km   Links abbiegen
    7.4 km   Rechts abbiegen
    7.5 km   Rechts abbiegen
    7.6 km   Links abbiegen
    7.9 km   Dem Straßenverlauf von Hafenweg folgen
    8.6 km   Links abbiegen auf Hafenstraße
    8.9 km   Dem Straßenverlauf von Christian-Bücher-Straße folgen
    9.2 km   Links abbiegen auf Christian-Bücher-Straße
    9.5 km   Links abbiegen
    9.7 km   Scharf rechts abbiegen (follow 1.7 km)
   11.5 km   Links abbiegen
   11.5 km   Dem Straßenverlauf von Johannisfeld folgen
  ★ 12.0 km  [food] Restaurants Niederwalluf
   12.1 km   Rechts abbiegen auf Kirchgasse
   12.3 km   Links abbiegen auf Hauptstraße, K 638
   12.5 km   Rechts abbiegen (follow 2.0 km)
   14.6 km   Leicht rechts abbiegen auf Wallufer Straße, K 638
   14.9 km   Im Kreisverkehr Ausfahrt 1 auf Gutenbergstraße, K 638 nehmen
   15.2 km   Links abbiegen auf Bahnhofstraße
  ★ 15.3 km  [note] Eltville Castle & Tourist Info
  ★ 15.3 km  [restroom] Public toilets Eltville
  ★ 15.3 km  [park] Rose Garden
   15.5 km   Links abbiegen auf Gutenbergstraße, K 638
  ★ 15.6 km  [coffee] Eltville cafes
   15.9 km   Rechts abbiegen auf Matheus-Müller-Platz, K 638
   16.0 km   Links halten
   16.2 km   Dem Straßenverlauf von Kiedricher Straße folgen
   17.0 km   Rechts halten
   17.3 km   Scharf links abbiegen
   18.2 km   Rechts halten
   18.6 km   Links abbiegen auf Eltviller Straße, L 3035 (follow 1.1 km)
   19.6 km   Rechts halten auf Hautvillers-Platz, L 3320
   19.7 km   Leicht rechts abbiegen auf Sonnenlandstraße, L 3320
   19.8 km   Im Kreisverkehr Ausfahrt 3 auf Bingerpfortenstraße, L 3320 nehmen (follow 2.5 km)
   22.2 km   Rechts halten
   22.4 km   Rechts halten
   22.5 km   Rechts abbiegen
   22.5 km   Rechts abbiegen
  ★ 22.6 km  [monument] Monastry Eberbach
   22.6 km   Links abbiegen
   22.7 km   Links abbiegen
   22.7 km   Rechts halten
   22.8 km   Rechts halten
   22.9 km   Leicht rechts abbiegen auf L 3320 (follow 1.1 km)
   24.0 km   Rechts abbiegen auf Neuhöfer Weg
   24.2 km   Rechts halten
   24.6 km   Links halten
   24.6 km   Links halten
   24.6 km   Links abbiegen
   25.3 km   Rechts abbiegen
   25.8 km   Dem Straßenverlauf folgen
   25.9 km   Scharf links abbiegen auf Rebhangstraße, K 634
   26.2 km   Rechts halten auf Sterzelpfad
   26.5 km   Rechts abbiegen auf Igelsweg (follow 1.6 km)
   28.2 km   Links abbiegen auf Gottestal
   28.9 km   Links halten auf Gottestal
   29.5 km   Rechts halten auf Langenhoffstraße
   29.9 km   Rechts abbiegen auf Friedhofstraße
   29.9 km   Links abbiegen
   30.0 km   Rechts abbiegen auf Kemmenau
   30.1 km   Links abbiegen auf Rheingaustraße, B 42a
   30.2 km   Rechts abbiegen auf Gartenstraße
   30.4 km   Dem Straßenverlauf folgen
   30.4 km   Rechts abbiegen auf Leinpfad
   31.3 km   Rechts halten auf Leinpfad (follow 3.5 km)
   34.8 km   Links abbiegen
   34.9 km   Links halten
   35.0 km   Rechts abbiegen
   35.7 km   Links abbiegen
   36.1 km   Links halten
   36.9 km   Dem Straßenverlauf folgen
   37.7 km   Rechts halten
  ★ 38.1 km  [note] Hindenburg bridge Rüdesheim — ruines, Unesco
   38.1 km   Links abbiegen auf Hindenburgallee (follow 1.1 km)
   39.2 km   Links abbiegen
   39.2 km   Links halten
   39.4 km   Links abbiegen auf Rheinstraße, B 42
  ★ 39.6 km  [note] Rüdesheim
   39.7 km   Rechts abbiegen auf Drosselgasse
  ★ 39.8 km  [see] Rüdesheim (Drosselgasse) — Enge Gassen und viele Weingüter
   39.9 km   Rechts abbiegen auf Oberstraße
  ★ 40.0 km  [note] Cable Car Rüdesheim (no bikes) — 2025: € 7,- one way / € 11,- return
   40.1 km   Links halten auf Germaniastraße
  ★ 40.1 km  [winery] Wine tasting Rüdesheim
   40.2 km   Rechts abbiegen auf An der Ringmauer
  ★ 40.2 km  [bike_parking] Bike parking wine tasting
   40.3 km   Rechts abbiegen auf Am Eibinger Tor
  ★ 40.3 km  [monument] Abbey Hildegard von Bingen
   40.3 km   Scharf rechts abbiegen auf Oberstraße
  ★ 40.3 km  [note] Bones of Hildegard
  ★ 40.3 km  [restroom] Toilet of Hildegard
   40.4 km   Links abbiegen auf Schmidtstraße
   40.7 km   Leicht links abbiegen auf Am Adlerturm
   40.7 km   Rechts halten
   40.7 km   Links halten
   40.9 km   Rechts halten
   41.0 km   Rechts abbiegen
   41.3 km   Rechts abbiegen
  ★ 41.3 km  [dock/stay] Docking Rüdesheim
