FRANEKER - LEEUWARDEN    25.0 km    · signs & notes only ·

DIRECTIONS
    0.3 km   Continue onto Dijkstraat
    0.4 km   Turn right onto Oud Kaatsveld
    0.8 km   Keep right onto Anna Maria van Schurmansingel
    1.0 km   Turn right
    1.6 km   Turn left onto Lutje Lollumerweg (follow 3.6 km)
    5.3 km   Turn left
    5.4 km   Turn right onto Westerein (follow 2.5 km)
    7.9 km   Turn left onto Kleasterwei (follow 4.3 km)
   12.2 km   Turn left onto Húns (follow 2.3 km)
   14.6 km   Keep left onto Hoptilsterdyk
   14.9 km   Turn left onto Hoptilsterdyk (follow 1.6 km)
   16.5 km   Turn left onto Hylaerderpaed
   17.0 km   Turn slight right onto Hylaerderpaed
   17.7 km   Turn right onto Buorren
   17.8 km   Turn slight left onto Oedsmawei
   18.0 km   Turn slight right onto Tiltsjedyk
   18.3 km   Turn left onto Hegedyk
   18.5 km   Turn right onto Pypsterbuorren
   19.0 km   Turn left onto Pypsterbuorren
   19.7 km   Turn right onto Skimerwei (follow 3.1 km)
   22.8 km   Turn sharp right
   22.9 km   Turn left onto Heliconweg
   23.0 km   Turn left onto Heliconweg
   23.0 km   Turn right onto Harlingertrekweg
   23.2 km   Turn left onto Tesselschadestraat
   23.9 km   Turn right
   24.6 km   Turn left
   24.6 km   Turn left
   24.8 km   Turn slight right onto Westerplantage
   25.0 km   Turn slight left
