DAY 12: BRANDEBURG - POTSDAM (40KM)    40.0 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [ferry] Marina Niederhavel
    0.0 km   Turn left onto Wiesenweg
    0.7 km   Turn right onto Bauhofstraße
    1.1 km   Turn left onto Jacobstraße
    1.2 km   Keep right onto Große Gartenstraße
    1.3 km   Keep left onto Kirchhofstraße
    2.0 km   Turn left onto Geschwister-Scholl-Straße
    2.0 km   Turn right onto Geschwister-Scholl-Straße
    2.0 km   Turn slight right onto Potsdamer Straße
    2.4 km   Turn left (follow 1.3 km)
    3.7 km   Turn slight right onto Potsdamer Straße
    3.8 km   Turn left
    3.8 km   Turn slight left
    3.8 km   Turn slight right (follow 1.3 km)
    5.1 km   Turn right
    5.9 km   Turn right (follow 8.2 km)
   14.1 km   Turn slight right onto Ausbau
   14.6 km   Turn right (follow 2.1 km)
   16.6 km   Turn left
   16.6 km   Turn left
   17.0 km   Turn slight right onto Brandenburger Straße
   17.0 km   At roundabout, take exit 2 onto Potsdamer Straße (follow 11.8 km)
   28.8 km   Turn left
   29.4 km   Turn slight right onto Berliner Straße (follow 1.6 km)
   31.0 km   Turn right
   31.0 km   Turn slight right onto Berliner Chaussee
   31.9 km   Turn slight right onto Hauffstraße (follow 4.3 km)
   36.2 km   Turn slight right onto Zeppelinstraße (follow 1.8 km)
   37.9 km   Turn right onto Schillerplatz
   38.6 km   Turn right (follow 1.2 km)
   39.8 km   Turn right
