SNEEK - STAVOREN    52.3 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Rechts abbiegen auf Schouwstraat
    0.2 km   Links abbiegen auf Valkstraat
    0.4 km   Rechts abbiegen
    0.4 km   Links abbiegen
    0.5 km   Links abbiegen
    0.5 km   Links halten
    0.6 km   Links halten
    0.6 km   Leicht rechts abbiegen auf Leeuwarderweg
    0.7 km   Im Kreisverkehr Ausfahrt 4 auf Jousterkade nehmen
    0.8 km   Rechts abbiegen auf Kleinzand
    1.1 km   Links abbiegen auf Gedempte Poortezijlen
    1.4 km   Leicht rechts abbiegen auf Hoogend
    1.8 km   Rechts abbiegen auf Lemmerweg
    1.9 km   Links abbiegen auf IJlsterplein
    1.9 km   Rechts abbiegen auf Lemmerweg (follow 1.1 km)
    2.9 km   Links halten auf Lemmerweg
    3.0 km   Scharf rechts abbiegen auf Koningsspil
    3.1 km   Rechts abbiegen auf Koningsspil
    3.2 km   Dem Straßenverlauf von Koningsspil folgen
    3.3 km   Rechts abbiegen
    3.3 km   Dem Straßenverlauf von Molenkrite folgen
    3.7 km   Links abbiegen auf de Wieken
    3.9 km   Links abbiegen auf de Wieken
    4.0 km   Links abbiegen auf Sneekerpad
    4.1 km   Links halten (follow 1.6 km)
  ★ 5.5 km  [see] Windmill De Rat
    5.6 km   Links abbiegen auf Sneekerpad
    5.6 km   Scharf rechts abbiegen auf Sneekerpad
    5.7 km   Links abbiegen auf De Dassenboarch
    5.8 km   Links abbiegen auf De Dassenboarch
    5.9 km   Dem Straßenverlauf von De Dassenboarch folgen
    6.0 km   Rechts abbiegen auf Sudergoweg
    6.2 km   Rechts abbiegen auf Galamagracht
  ★ 6.5 km  [food] Restaurants IJlst
    6.7 km   Links abbiegen auf Jurjen Hoomansstraat
    7.2 km   Links halten auf Harinxmaweg
    7.5 km   Rechts halten auf Harinxmaweg
    7.5 km   Links abbiegen auf Ylostinslaan
    7.6 km   Links abbiegen auf Nijesyl
    8.2 km   Leicht rechts abbiegen auf Nijesyl
    8.2 km   Scharf links abbiegen auf Alde Skatting (follow 3.2 km)
   11.4 km   Links abbiegen
   11.5 km   Links halten (follow 2.4 km)
   13.9 km   Rechts abbiegen
   13.9 km   Links abbiegen (follow 1.1 km)
   15.0 km   Links abbiegen auf Jeltewei
   15.1 km   Links abbiegen
   15.6 km   Links abbiegen auf Strjitwei
   15.7 km   Links halten auf Strjitwei
   15.9 km   Scharf links abbiegen auf Strjitwei (follow 2.0 km)
   17.9 km   Links abbiegen
   18.2 km   Rechts abbiegen auf Vosseleane
   19.1 km   Rechts abbiegen auf Vosseleane
   19.7 km   Links halten auf Ypecolsga (follow 2.9 km)
   22.6 km   Links abbiegen auf Warrensterwei (follow 1.0 km)
   23.6 km   Scharf links abbiegen auf Warrensterwei (follow 3.1 km)
   26.6 km   Links abbiegen auf Meerweg
   26.7 km   Leicht links abbiegen auf Dubbelstraat
  ★ 26.7 km  [food] Several restaurants Balk
   26.8 km   Rechts abbiegen auf Raadhuisstraat
   27.1 km   Dem Straßenverlauf von Westein folgen (follow 1.7 km)
   28.8 km   Links abbiegen auf Jan Jurjenssingel
   29.6 km   Rechts abbiegen auf Tsjerkhofleane
   29.8 km   Links abbiegen
   30.7 km   Links abbiegen auf De Bremer Wyldernis
   31.3 km   Rechts abbiegen auf De Bremer Wyldernis
   31.8 km   Links abbiegen
   32.1 km   Rechts abbiegen auf Nij Amerika
   32.2 km   Links abbiegen
   32.4 km   Links abbiegen
   32.6 km   Links halten
   32.7 km   Rechts halten
   32.9 km   Links halten
   33.1 km   Leicht rechts abbiegen auf Heidepaed
   33.2 km   Scharf rechts abbiegen (follow 1.3 km)
   34.6 km   Rechts abbiegen
   35.2 km   Links abbiegen
   35.2 km   Links abbiegen auf De Houtwâl
   35.6 km   Links halten (follow 1.3 km)
   36.9 km   Links abbiegen
   37.0 km   Links abbiegen auf Fonteinwei
   37.5 km   Rechts abbiegen auf De Alde Buorren
   37.7 km   Rechts abbiegen auf Jan Schotanuswei
   38.3 km   Links abbiegen
   38.3 km   Rechts halten
   38.6 km   Rechts halten
   39.0 km   Scharf rechts abbiegen auf Huningspaed (follow 4.9 km)
   43.9 km   Links abbiegen auf Wieldyk (follow 8.2 km)
   52.1 km   Links abbiegen auf Stadsfenne
   52.1 km   Rechts abbiegen auf Schans
   52.2 km   Rechts abbiegen
   52.2 km   Links abbiegen
  ★ 52.3 km  [stop] Pick up Stavoren
