RS TULIP DAY 2 - HOORN - VOLENDAM    24.3 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn right onto Hoofd
    0.4 km   Turn right onto West
    0.5 km   Turn left onto Wijdesteeg
    0.6 km   Turn right onto Kuil
    1.1 km   Turn left onto Breed
  ★ 1.1 km  [note] 59 — Knooppunt 59
  ★ 1.2 km  [note] 59 — Knooppunt 59
  ★ 1.2 km  [note] 59 — Knooppunt 59
    1.2 km   Turn right onto Westerdijk (follow 1.5 km)
    2.7 km   Turn right
    3.0 km   Turn sharp right onto Westerdijk
    3.7 km   Continue onto De Hulk (follow 4.0 km)
  ★ 3.7 km  [note] 58 — Knooppunt 58
  ★ 5.1 km  [note] 36 — Knooppunt 36
    7.6 km   Turn left onto Schardam (follow 12.3 km)
  ★ 7.6 km  [note] 37 — Knooppunt 37
  ★ 8.7 km  [note] 83 — Knooppunt 83
  ★ 13.6 km  [note] 64 — Knooppunt 64
   19.9 km   Continue onto Voorhaven
  ★ 19.9 km  [note] 97 — Knooppunt 97
   20.6 km   Continue onto Spui
   21.0 km   Turn left
  ★ 21.0 km  [note] 95 — Knooppunt 95
   21.1 km   Keep left onto Singelweg
   21.2 km   Turn right onto Singelweg
   21.2 km   Turn left onto Singelweg
   21.4 km   Continue onto Dijkgraaf Poschlaan
   21.8 km   Turn slight right onto Dijkgraaf Poschlaan
   22.0 km   Turn slight right onto Dijkgraaf Poschlaan
  ★ 22.0 km  [note] 96 — Knooppunt 96
   22.1 km   At roundabout, take exit 3
   22.2 km   Turn left onto Dijkgraaf Poschlaan
   22.5 km   Turn left
   22.5 km   Turn left
   22.8 km   Keep right onto Jupiterlaan
   22.8 km   Turn left
   22.9 km   Turn left
   22.9 km   Turn slight right onto Jupiterlaan
   23.3 km   Turn left
   23.3 km   Turn left
   23.4 km   Turn right onto Herculeslaan
   23.7 km   Turn left
   23.7 km   Turn left
   23.8 km   Turn slight right onto Zeestraat
   23.9 km   Turn left onto Dwarsstraat
   23.9 km   Turn right onto Zeestraat
   24.1 km   Turn left onto Haven
  ★ 24.1 km  [note] 99 — Knooppunt 99
  ★ 24.3 km  [note] 99 — Knooppunt 99
