LAGNY - PARIS (VIA CLAYE-SOUILLY)    51.2 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Lagny
    0.1 km   Start of ride (follow 1.1 km)
    1.1 km   Turn right
    1.3 km   Turn sharp left onto Chemin de Quincangrogne (follow 3.0 km)
    4.3 km   Turn left
    4.3 km   Turn right; cross bridge
  ★ 4.5 km  [note] Beeldentuin
    4.6 km   Continue straight onto Aqueduc de la Dhuys
    4.8 km   Turn left
    4.9 km   Turn slight right
    5.1 km   Turn right and directly right again
  ★ 5.5 km  [note] Onverhard pad naar beneden.
    5.5 km   Bear left onto Promenade de la Dhuis (follow 1.4 km)
    6.9 km   Bear right
    7.8 km   Bear right onto Promenade de la Dhuis (follow 4.7 km)
   12.5 km   Turn right
   12.7 km   Bear left
   13.4 km   Turn right then bear left
   13.6 km   Bear left (follow 1.2 km)
   14.8 km   Bear right onto Rue Rigaudin
   14.9 km   Turn left onto Rue du Moncel
   15.4 km   Turn left onto Rue de Douy
   15.5 km   Turn left (follow 3.1 km)
   18.6 km   Bear left
   18.7 km   Turn right onto Rue de la Guette
   19.0 km   Turn right onto Rue de Paris
   19.2 km   Turn left onto Rue du 8 Mai 1945
   19.4 km   Bear right onto Rue de La Concorde
   19.4 km   Turn left onto bike Path (follow 1.5 km)
   20.9 km   Turn right onto bike path
   21.3 km   Turn left onto Chemin de Halage
   21.4 km   Bear left and cross canal (follow 4.4 km)
   25.8 km   Bear left
   26.2 km   Turn sharp left; cross bridge
   26.2 km   Turn right (follow 2.6 km)
   28.8 km   Bear left
   29.1 km   Bear left
   29.2 km   Turn right
   29.6 km   Turn left
   30.0 km   Turn right
   30.5 km   Bear right
   30.6 km   Turn left
   30.9 km   Turn right
   31.3 km   Turn left (follow 1.1 km)
   32.4 km   Bear left (follow 1.9 km)
   34.3 km   Bear right
   34.4 km   Bear left (follow 1.3 km)
   35.7 km   Bear left (follow 2.4 km)
   38.1 km   Bear right; cross bridge
   38.1 km   Turn left (follow 4.4 km)
   42.6 km   Bear left on bike path
   42.7 km   Turn right onto Quai de l'Ourcq
   43.4 km   Turn left cross canal
   43.4 km   Turn right (follow 2.2 km)
   45.6 km   Cross road then turn left onto bike path
   45.7 km   Turn right onto Galerie de l'Ourcq
   46.6 km   Turn right and directly left; stay on bike path
   46.6 km   Turn left and directly right
   46.7 km   Bear left
   47.0 km   Continue straight onto Quai de Valmy (follow 1.4 km)
   48.4 km   Continue straight onto bike path; keep water on your left
   49.2 km   Continue straight onto Boulevard Richard Lenoir
   49.9 km   Turn left onto Rue Saint-Sabin
   49.9 km   Bear right onto Boulevard Richard Lenoir
   50.2 km   Turn left; go around on foot on the pavement
   50.4 km   Turn left
   50.9 km   Turn right
   51.0 km   Bear left
   51.0 km   Turn sharp left
   51.2 km   End of ride
