MAINZ - RÜDESHEIM (VIA ABDIJ HILDEGARD)    37.3 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Continue onto Adenauer-Ufer
    0.4 km   Turn right onto Adenauer-Ufer
    0.6 km   Turn left
    0.7 km   Turn right (follow 1.0 km)
    1.7 km   Turn slight right onto Eisenbahnstraße
    1.8 km   Turn slight left onto Eisenbahnstraße
    1.8 km   Turn sharp right onto Rheinufer
    1.9 km   Turn right onto Rheinufer
    2.3 km   Turn right onto Kasteler Museumsufer
    2.3 km   Turn left onto Rampenstraße (follow 1.0 km)
    3.3 km   Turn right
    3.3 km   Turn left onto Eleonorenstraße (follow 1.0 km)
    4.4 km   Turn right onto Schiffbauerweg
    4.5 km   Turn left onto Biebricher Straße, K 648 (follow 1.9 km)
    6.4 km   At roundabout, take exit 2 onto Rheingaustraße, K 648
    6.5 km   Turn left
    6.5 km   Turn right onto Uferstraße
    6.9 km   Turn left
    7.2 km   Turn slight left (follow 1.0 km)
    8.2 km   Turn right onto Rheinparkstraße
    8.3 km   Turn left onto Rheingaustraße, K 648
    9.1 km   Turn left onto Hafenweg
    9.3 km   Turn right onto Hafenweg
    9.9 km   Turn slight left
   10.0 km   Turn left onto Hafenstraße
   10.6 km   Turn left onto Christian-Bücher-Straße
   10.8 km   Turn left
   11.1 km   Turn sharp right
   11.9 km   Turn sharp left
   12.8 km   Turn left onto Johannisfeld
   13.5 km   Turn right onto Kirchgasse
   13.6 km   Turn left onto Hauptstraße, K 638
   13.7 km   Turn right
   13.9 km   Turn right onto Hauptstraße, K 638
   14.0 km   Turn left (follow 3.1 km)
  ★ 16.8 km  [note] Eltville
   17.1 km   Turn right onto Matheus-Müller-Platz, K 638
   17.2 km   Turn left
   17.2 km   Turn left onto Matheus-Müller-Straße
   17.4 km   Turn left onto Josef-Hölzer-Straße (follow 4.1 km)
   21.5 km   Turn left onto Auweg
   21.5 km   Turn left onto Leinpfad
   21.7 km   Turn left onto Leinpfad (follow 6.9 km)
  ★ 22.4 km  [monument] Monastry Eberbach
   28.6 km   Turn left (follow 1.1 km)
   29.6 km   Turn left onto Zollstraße
   30.0 km   Turn right onto Rheinstraße
   30.0 km   Keep left onto Kapellenstraße
   30.2 km   Turn right onto Rosengartenstraße
   30.2 km   Turn left onto Rüdesheimer Straße
   30.4 km   At roundabout, take exit 1 onto Von-Lade-Straße
   30.7 km   Continue onto Nothgottesstraße
   31.4 km   Turn left
   31.6 km   Turn right
   31.8 km   Turn left
   32.3 km   Turn right onto Scheidweg
   32.5 km   Turn right
   32.6 km   Turn left onto Scheidweg
   33.0 km   Turn left onto Königsberger Straße
   33.3 km   Turn left onto Nothgottesstraße
   33.5 km   Turn left onto Klosterweg
   34.0 km   Turn right
  ★ 34.0 km  [note] Abdij van Hildegard von Bingen
   34.0 km   Make a U-turn
   34.0 km   Turn left onto Klosterweg
   34.1 km   Turn right
   34.6 km   Keep left onto Klosterweg
   35.2 km   Turn left onto L 3034
   35.3 km   Turn right onto Am Engergraben
   35.4 km   Turn left onto Im Laubfrosch
   35.6 km   Turn right onto Zum Niederwald-Denkmal
   35.6 km   Turn right onto Oberstraße
   35.7 km   Turn left onto Schmidtstraße
   35.8 km   Turn right onto Kirchstraße
   35.9 km   Turn slight left onto Markt
   36.0 km   Turn sharp left onto Markt
   36.0 km   Turn right onto Marktstraße
  ★ 36.0 km  [dock/stay] Docking Rüdesheim
   36.1 km   Turn right onto Oberstraße
  ★ 36.2 km  [note] Grüne Kranz - wine tasting
   36.2 km   Turn right onto Oberstraße
   36.3 km   Turn sharp right onto Schmidtstraße
   36.6 km   Turn slight left onto Am Adlerturm
   36.9 km   Turn right
  ★ 37.3 km  [dock/stay] Mooring Rüdesheim
