LONG - ABBEVILLE    56.5 km    · signs & notes only ·

DIRECTIONS
    1.9 km   Rechtsaf
    2.4 km   Turn right
    3.1 km   Turn left
    3.6 km   Turn left
    4.4 km   Turn sharp right onto Rue de l'Ancienne Gare
    4.5 km   Continue onto Rue de la Division Leclerc
    4.9 km   Turn left onto Grande Rue
    5.4 km   Turn right (follow 6.2 km)
   11.6 km   Turn left onto Rue Carnot
   11.7 km   Turn right onto Avenue du Capitaine N'Tchoréré
   11.8 km   Turn left (follow 4.6 km)
   16.4 km   Turn left (follow 7.5 km)
   23.9 km   Turn left
   24.0 km   Turn right onto D 29
   24.5 km   Linksaf naar Rue Jules Ferry
  ★ 24.7 km  [coffee] Coffee & Restrooms Oisemont
  ★ 24.7 km  [shopping] Supermarket Oisemont
   24.9 km   Rechtsaf naar Place du Maréchal Leclerc
   25.1 km   Rechtsaf naar Rue de la Commanderie
   25.2 km   Rechtsaf naar Rue du Général de Gaulle
   25.4 km   Rechtsaf naar Rue du 11 Novembre 1918 (follow 4.4 km)
  ★ 29.5 km  [restroom] Restrooms
  ★ 29.6 km  [monument] Chateau fort de Rambures — A 15th century militairy castle. You will walk through the corridors and will discover the 18th century interior. There are also an parc and rosegarden. Toilets are available.
   29.8 km   Rechtsaf naar Rue de Bas (follow 2.5 km)
   32.3 km   Rechtsaf naar Rue du Four
   32.3 km   Linksaf
   32.4 km   Rechtsaf naar Rue du 11 Novembre (follow 4.5 km)
   36.9 km   Linksaf naar Rue Principale
   37.1 km   Houd rechts aan naar Place de l'Église
   37.2 km   Blijf op Rue du Général de Gaulle
   37.5 km   Rechtsaf naar Rue du Moulin
   37.7 km   Houd links aan naar Rue d'Huppy
   37.9 km   Houd links aan naar C 10
   38.9 km   Linksaf naar D 13
   39.6 km   Rechtsaf naar D 86
   39.9 km   Rechtsaf naar Rue de l'Église (follow 2.1 km)
   42.0 km   Linksaf naar Rue de la Croix
   42.3 km   Rechtsaf naar Rue du Calvaire
   42.5 km   Rechtsaf naar Rue de la Cavée
   42.7 km   Houd links aan naar C 1 (follow 2.6 km)
   45.3 km   Rechtsaf naar Rue du Château
   45.6 km   Linksaf naar Rue des Buttes
   46.2 km   Ga rechtsaf naar D 173
   46.5 km   Ga linksaf naar C 10 (follow 2.0 km)
   48.5 km   Houd rechts aan
   49.1 km   Houd rechts aan naar C 204 (follow 2.8 km)
   51.9 km   Linksaf naar Grande Rue (follow 1.5 km)
   53.4 km   Blijf op Rue Jacques Moignet
   53.5 km   Rechtsaf naar Route de Rouen (follow 2.2 km)
   55.7 km   Keep right onto Route de Rouen
   55.7 km   Turn right onto Rue Henri Picquet
   55.8 km   Turn sharp left onto Chemin du Patis
   56.3 km   Turn right onto Pont de la Gare
   56.4 km   Turn left onto Rue du Canal de Transit
  ★ 56.5 km  [dock/stay] Mooring Abbeville
