GORINCHEM - WERKENDAM    11.2 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Gorinchem
    0.0 km   Start fietstocht; water rechts van u
    0.1 km   Rechtdoor naar knooppunt 50
    0.2 km   Links afslaan naar knooppunt 23
    0.2 km   Rechts afslaan
    0.2 km   Links afslaan
    0.3 km   Rechts afslaan
    0.7 km   Links afslaan naar knooppunt 52
    1.0 km   Links afslaan
    1.1 km   Rechts afslaan, brug oversteken
    1.2 km   Links afslaan
    1.9 km   Rechtdoor verder fietsen
    2.6 km   Schuin links
    2.7 km   Rechtdoor naar knooppunt 80 (follow 1.6 km)
    4.3 km   Links afslaan naar knooppunt 52
    4.5 km   Rechts afslaan
    5.3 km   Links afslaan
    5.7 km   Rechts afslaan
    6.6 km   Rechtdoor verder fietsen
    7.1 km   Links afslaan
    7.8 km   Rechts afslaan naar knooppunt 23
    7.8 km   Links afslaan naar knooppunt 23
    8.2 km   Scherp rechtsaf naar knooppunt 30
    8.8 km   Rechtdoor verder fietsen
    9.1 km   Rechts afslaan
    9.4 km   Links afslaan naar knooppunt 30
   10.0 km   Rechtdoor verder fietsen
   10.7 km   Rechts afslaan
   10.9 km   Schuin rechts
   11.2 km   Einde van de fietstocht
  ★ 11.2 km  [dock/stay] Biesboschhaven
