ALKMAAR - ZAANDAM (ÜBER SCHERMER)    42.7 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Links abbiegen auf Kanaalkade
    0.3 km   Rechts halten
    0.3 km   Links halten
    1.2 km   Dem Straßenverlauf von Frieseweg folgen
    1.3 km   Rechts abbiegen auf Molenkade
    1.4 km   Dem Straßenverlauf von Molenkade folgen (follow 1.2 km)
    2.6 km   Rechts abbiegen auf Herenweg
    3.3 km   Links halten auf Herenweg
    3.4 km   Links abbiegen auf 't Wuiver
    3.7 km   Links halten
    3.8 km   Rechts halten
    3.9 km   Links abbiegen auf Kerkbrug
    3.9 km   Links abbiegen auf Schermerdijk
    4.8 km   Links halten auf Schermerdijk
    5.1 km   Links abbiegen auf Huygendijk
    5.4 km   Rechts abbiegen auf Huygendijk
    5.8 km   Leicht rechts abbiegen auf Huygendijk (follow 2.3 km)
  ★ 5.9 km  [see] Poldermuseum
    8.1 km   Rechts abbiegen auf Dorpsstraat (follow 1.8 km)
    9.9 km   Rechts abbiegen
    9.9 km   Rechts abbiegen
   10.6 km   Leicht links abbiegen auf Noordervaart
   10.6 km   Rechts abbiegen auf Noordervaart
   10.6 km   Links abbiegen auf Noordervaart (follow 3.9 km)
  ★ 14.5 km  [see] Schermerhorn Windmühle — Museum, Cafe
   14.6 km   Dem Straßenverlauf von Noordervaart folgen
   14.7 km   Rechts abbiegen auf Molendijk (follow 2.4 km)
   17.1 km   Links abbiegen auf Noordeinde
   17.1 km   Rechts abbiegen auf Noordeinde
   17.5 km   Dem Straßenverlauf von Noordeinde folgen
   17.8 km   Rechts abbiegen auf Kopdammerdijk
   18.0 km   Leicht links abbiegen auf Meerdijk (follow 1.6 km)
   19.5 km   Leicht links abbiegen auf Noordeinde
   20.3 km   Dem Straßenverlauf von Globdijk folgen (follow 1.5 km)
   21.8 km   Links abbiegen auf Rechtestraat (follow 1.1 km)
  ★ 22.2 km  [coffee] De Walvis
  ★ 22.2 km  [note] village De Rijp — Restaurants, wunderschöne Häuser aus dem 17. Jahrhundert
  ★ 22.2 km  [coffee] Oudejans
  ★ 22.3 km  [restroom] Toilette in der Touristeninformation — Bitte hinterlassen Sie eine freiwillige Spende für die Toilettenbenutzung.
  ★ 22.6 km  [coffee] De oude herbergh
   22.9 km   Scharf rechts abbiegen auf Westdijk (follow 2.3 km)
   25.1 km   Dem Straßenverlauf von Westdijk folgen
   25.5 km   Rechts abbiegen auf Westdijk
   25.7 km   Scharf links abbiegen auf Zuiddijk
   25.9 km   Achtung, auf Fähre umsteigen (Pontveer Jan Hop Spijkerboor)
  ★ 25.9 km  [ferry] Fähre Spijkerboor
   25.9 km   Fähre verlassen und leicht rechts abbiegen
   26.0 km   Links abbiegen auf Starnmeerdijk
   26.8 km   Dem Straßenverlauf von Starnmeerdijk folgen (follow 2.8 km)
   29.6 km   Achtung, auf Fähre umsteigen (Voetveer Oostknollendam - Starnmeerdijk)
   29.7 km   Fähre verlassen und dem Straßenverlauf folgen
   29.9 km   Wenden auf Dorpsstraat
   30.6 km   Links abbiegen auf Wormerringdijk
   31.3 km   Links abbiegen auf Wormerringdijk
   31.7 km   Dem Straßenverlauf von Wormerringdijk folgen (follow 1.1 km)
   32.8 km   Links abbiegen auf Bruynvisweg
   32.9 km   Dem Straßenverlauf von Bruynvisweg folgen
   33.0 km   Rechts abbiegen auf Bruynvisweg
   33.2 km   Rechts halten
   33.2 km   Leicht rechts abbiegen auf Nieuweweg
   33.2 km   Links abbiegen auf Nieuweweg
   33.4 km   Im Kreisverkehr Ausfahrt 1 auf Rigastraat nehmen
   33.5 km   Rechts halten auf Bordwalserstraat
   33.7 km   Leicht links abbiegen auf Rigastraat
   33.8 km   Leicht links abbiegen auf Koetserstraat
   34.0 km   Dem Straßenverlauf von Papiermakerstraat folgen
   34.2 km   Links halten
   34.3 km   Rechts abbiegen auf Zaandammerpad
   34.6 km   Links halten auf Zaandammerpad
   34.8 km   Dem Straßenverlauf von Engewormer folgen
   35.3 km   Rechts abbiegen auf Kalverringdijk (follow 1.7 km)
   37.0 km   Links abbiegen auf Leeghwaterweg
   37.4 km   Rechts halten auf Leeghwaterweg
   37.4 km   Rechts abbiegen auf Pinksterdrie
   37.5 km   Links abbiegen auf Pinksterdrie
   37.6 km   Links abbiegen auf Diederik Sonoyweg
   37.9 km   Rechts abbiegen auf Haaldersbroek
   38.1 km   Rechts abbiegen auf Kalf
   38.5 km   Links halten auf Kalf
   39.0 km   Links abbiegen auf Doctor H.G. Scholtenstraat
   39.1 km   Dem Straßenverlauf von Doctor H.G. Scholtenstraat folgen
   39.7 km   Rechts abbiegen auf Doctor H.G. Scholtenstraat
   39.8 km   Rechts halten auf Paltrokstraat
   40.1 km   Links abbiegen auf Oostzijde
   41.0 km   Rechts abbiegen auf Oostzijde (follow 1.3 km)
   42.3 km   Rechts abbiegen auf Oostzijde
   42.3 km   Links halten
   42.6 km   Links abbiegen auf Burcht
  ★ 42.7 km  [dock/stay] Liegeplatz Zaandam
   42.7 km   Links abbiegen auf Burcht
