TEXEL (LOOP OUDESCHILD)    49.7 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn left onto Laagwaalderweg
    0.3 km   Turn right onto Heemskerckstraat
  ★ 0.3 km  [see] Museum Kaap Skil — maritime museum
    0.4 km   Turn left onto Loodssingel
  ★ 0.4 km  [bar] Café's, restaurants
    0.6 km   Turn right onto Trompstraat
    1.2 km   Turn left onto Het Buurtje
    1.4 km   Turn right onto Redoute
    2.1 km   Turn right onto Schansweg (follow 1.4 km)
  ★ 2.5 km  [see] Fortress De Schans — built in 1574
  ★ 2.9 km  [bar] Texel special beer brewery
  ★ 3.0 km  [note] Hoge Berg (High Mountain) — 15 meters
    3.5 km   Turn left onto Zuid Haffel (follow 2.3 km)
  ★ 3.9 km  [see] Cemetry Georgian Soldiers — from second World War 1940-1945
    5.8 km   Turn left onto Zuid Haffel (follow 3.1 km)
  ★ 6.5 km  [see] Cheese farm Wezenspyk
  ★ 8.6 km  [food] Novalishoeve — Farmshop and terrace
    8.9 km   Turn left onto Diek
    9.3 km   Turn slight right onto De Naal
  ★ 9.3 km  [bar] Inn de Knip
    9.3 km   Turn left onto Herenstraat
    9.6 km   Continue onto Klif
   10.0 km   Turn right onto Rommelpot
   10.1 km   Turn left onto Rommelpot (follow 2.6 km)
   12.7 km   Turn slight right onto Rozendijk
   13.1 km   Turn left
   13.7 km   Turn left to Westerslag (follow 2.8 km)
   16.5 km   Turn slight left onto Randweg
   17.0 km   Turn left
   17.1 km   Turn left onto Ruijslaan
   17.3 km   Turn left
  ★ 17.4 km  [swimming] beach, restaurant
  ★ 17.4 km  [see] EcoMare — seal recovery centre, aquarium & nature museum. Free public toilet
   17.4 km   Turn right onto Ruijslaan
   17.6 km   Turn left onto Ruijslaan (follow 1.1 km)
   18.7 km   Turn left
   18.8 km   Turn right
   19.2 km   Turn left
   19.8 km   Turn right
   20.0 km   Turn left onto Ruijslaan (follow 3.2 km)
  ★ 20.4 km  [swimming] Beach De Koog
  ★ 20.5 km  [food] De Koog: cafes, bars, restaurants, shops
  ★ 20.7 km  [convenience_store] Supermarkt
   23.2 km   Turn right (follow 1.4 km)
   24.6 km   Turn right onto Oude Dijkje
   24.7 km   Turn left onto Waalenburgerdijkje
   25.4 km   Turn left onto Pijpersdijk
   25.5 km   Turn right (follow 2.0 km)
  ★ 25.9 km  [see] old seadike since 1436
   27.5 km   Turn right onto Burgerdijk
   28.4 km   Turn left
   29.0 km   Turn right
   29.2 km   Turn left onto Kogerstraat
   29.4 km   At roundabout, take exit 2 onto Kogerstraat
   29.7 km   Turn left onto Burgerhoutstraat
  ★ 29.7 km  [see] Oudheidkamer Museum — historic museum Texel
  ★ 29.8 km  [food] Den Burg: cafes, restaurants, Ice cream, bakery
  ★ 29.9 km  [note] Den Burg — Main town on Texel
   29.9 km   Continue onto Wilhelminalaan
  ★ 29.9 km  [bike_parking] bike parking (lock!)
   30.0 km   Turn right onto Wilhelminalaan
   30.3 km   Turn left onto Drijverstraat
   30.3 km   Turn right onto Burdetstraat
   30.6 km   Turn slight left onto Vuurbaeck
   30.6 km   Turn right onto Hallerweg
   30.7 km   Turn left onto Hallerweg
   30.9 km   Turn left onto Kadijksweg
   31.3 km   Turn left onto Marsweg (follow 1.1 km)
   32.4 km   Turn right onto Tienhoven
   33.3 km   Turn right onto Waalderweg
   33.4 km   Turn left onto Bomendiek
   33.7 km   Turn right onto Hogereind
  ★ 33.8 km  [see] De Waelstee — historic museum, coffee
  ★ 34.0 km  [coffee] Hotel Rebecca
   34.1 km   Turn left
   34.1 km   Turn right
   34.1 km   Turn right
   34.5 km   Turn right (follow 1.7 km)
   36.2 km   Turn left onto Nesweg (follow 2.4 km)
   38.6 km   Turn left onto Kerkstraat (follow 1.8 km)
  ★ 38.7 km  [coffee] Bars in Oosterend
   40.5 km   Turn right onto Oosterweg
   40.6 km   Turn right onto Oost
   41.1 km   Turn right onto Loswal
   41.6 km   Turn right onto Lancasterdijk (follow 3.7 km)
  ★ 43.7 km  [see] IJzeren Zeekaap — marker for seamen since 1539
   45.2 km   Turn left (follow 1.0 km)
   46.2 km   Turn sharp left (follow 2.9 km)
   49.1 km   Turn right
   49.1 km   Turn right onto Haven
  ★ 49.1 km  [dock/stay] Docking Oudeschild
