ZAANDAM RONDRIT    47.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Aanlegplaats Zaandam Theater
    0.0 km   Rechtsaf
    0.1 km   Rechtsaf naar Nicolaasstraat
    0.2 km   Linksaf naar A.F. de Savornin Lohmanstraat
    0.3 km   Houd rechts aan naar A.F. de Savornin Lohmanstraat
    0.4 km   Rechtsaf
    0.5 km   Houd rechts aan naar Oostzijde (follow 1.3 km)
    1.8 km   Linksaf naar Oostzijde
    2.4 km   Rechtsaf
    2.4 km   Houd rechts aan naar Oostzijde
    2.7 km   Rechtsaf naar Paltrokstraat
    2.9 km   Houd rechts aan naar Paltrokstraat
    3.7 km   Linksaf
    3.8 km   Rechtsaf naar Kalf
    4.7 km   Linksaf
    4.9 km   Linksaf
    5.8 km   Rechtsaf naar Leeghwaterweg
  ★ 6.1 km  [coffee] Café, Restaurants — Souvenirs, klompenmaken, chocola-maken, etc
  ★ 6.1 km  [see] Zaanse Schans Ingang
    6.2 km   Houd rechts aan naar Leeghwaterweg (follow 1.4 km)
  ★ 6.2 km  [bike_parking] Fietsenstalling Zaanse Schans
  ★ 6.2 km  [note] Zaans Museum (Kunst, o.a. Monet)
    7.6 km   Ga rechtsaf naar Westerdijk
    7.6 km   Blijf op Zuiderweg
    7.8 km   Linksaf naar Zuiderweg
    8.7 km   Rechtsaf naar Zuiderweg (follow 1.9 km)
   10.6 km   Ga linksaf naar Wormerpad (follow 1.9 km)
   12.5 km   Houd rechts aan naar Stationsstraat
   13.1 km   Rechtsaf naar Ringvaart
   13.3 km   Houd links aan
  ★ 13.4 km  [note] Recreatiegebied Twiske
   13.6 km   Linksaf
   13.8 km   Houd rechts aan
   14.3 km   Houd links aan
  ★ 14.6 km  [coffee] Paviljoen Twiske — Café Restaurant Terras
   14.7 km   Linksaf
   14.8 km   Rechtsaf
   14.8 km   Houd links aan
  ★ 14.9 km  [rest_stop] Benches at the Harbour
  ★ 14.9 km  [rest_stop] Am Hafen
  ★ 14.9 km  [rest_stop] Picknickbanken aan de Haven
   15.0 km   Houd links aan
   15.1 km   Rechtsaf
   15.3 km   Linksaf
   15.9 km   Linksaf
   16.6 km   Linksaf
   17.3 km   Houd rechts aan
   18.0 km   Houd rechts aan
   18.7 km   Houd rechts aan
   19.0 km   Rechtsaf
   19.2 km   Linksaf naar Dorre Ilp (follow 3.0 km)
   22.2 km   Ga rechtdoor
  ★ 22.2 km  [ferry] Veerpontje Landsmeer - Ilpendam — ca € 1,= pp
  ★ 22.3 km  [coffee] Café Wapen van Ilpendam — from 11 h
