MIDDELBURG - NEELTJE JANS - KAMPERLAND    35.9 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Turn left onto Kanaalweg
    0.4 km   Turn right onto Kousteensedijk
    0.9 km   Turn left onto Spijkerbrug
    0.9 km   Turn right onto Rouaansekaai
    1.0 km   Turn right onto Rotterdamsekaai
    1.1 km   Turn left onto Nederstraat
    1.3 km   Turn slight left onto Veersesingel
    1.4 km   Continue onto Veerseweg
    1.8 km   At roundabout, take exit 5
    1.9 km   Turn slight right onto Veerseweg (follow 1.0 km)
    2.9 km   Keep left onto Oude Veerseweg (follow 2.4 km)
    5.2 km   Keep right onto Zanddijkseweg
    5.2 km   Turn right onto Zanddijkseweg (follow 1.8 km)
    7.1 km   Turn slight left onto Zanddijkseweg
    7.8 km   Turn right onto Veerseweg
    8.6 km   Turn left onto Veerseweg
    8.7 km   Turn slight right onto Oudestraat
    9.2 km   Turn right onto Oranjeplein
    9.2 km   Turn right
    9.3 km   Turn right
    9.3 km   Turn left (follow 1.9 km)
   11.2 km   Turn right (follow 1.1 km)
   12.3 km   Turn left onto Schotsmanweg
   13.1 km   Turn left (follow 1.8 km)
   14.9 km   Turn left onto Schotsmanweg (follow 1.9 km)
   16.8 km   At roundabout, take exit 2 onto Banjaardweg
   16.9 km   Turn left onto Vredenhofweg
   17.1 km   Turn right
   17.2 km   Turn sharp right (follow 1.6 km)
   18.7 km   Turn right onto Hoogh Plaetweg
   18.8 km   Turn left onto Hoogh Plaetweg (follow 2.3 km)
   21.0 km   Turn left onto Hoogh Plaetweg (follow 2.7 km)
   23.8 km   Turn sharp left onto Hoogh Plaetweg
   23.8 km   Turn sharp right
   24.1 km   Keep right onto Dijkgraaf A.M. Gelukweg
   24.4 km   Turn left onto Faelweg
   24.8 km   Turn right onto Dijkgraaf A.M. Gelukweg
   25.4 km   Turn sharp left onto Hoogh Plaetweg (follow 2.8 km)
   28.2 km   Turn right onto Hoogh Plaetweg (follow 2.6 km)
   30.8 km   Turn sharp left onto Jacobaweg (follow 2.3 km)
   33.2 km   Continue onto Krommeweg (follow 1.4 km)
   34.6 km   Turn left onto Molenweg
   34.9 km   Turn left onto Noordstraat
   35.0 km   Turn sharp right onto Veerweg
   35.9 km   Turn left onto Oosthavendijk
