AUXERRE (LOOP)    12.2 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Keep left
    0.7 km   Turn left onto Quai du Batardeau
    0.8 km   Turn left
    1.0 km   Turn right
    1.1 km   Turn right
    1.1 km   Turn left
    1.2 km   Turn slight right onto La Coulée Verte (follow 2.9 km)
    4.0 km   Turn slight right onto La Coulée Verte
  ★ 4.5 km  [caution] met fiets aan de hand…
    4.5 km   Turn right onto Rue des Cassoirs
    4.6 km   Turn sharp left onto Rue des Mésanges
    5.1 km   Turn right onto Rue Django Reinhardt
    5.7 km   Turn left onto Avenue de Saint-Georges
    5.9 km   Turn right onto Chemin des Boussicats
    5.9 km   Turn left
    6.2 km   Turn right onto Rue de la Tour
    6.3 km   Turn left onto Chemin de Bréandes
    7.0 km   Turn left onto Boulevard de Montois (follow 1.1 km)
    8.1 km   At roundabout, take exit 3 onto Avenue de Champleroy
    8.2 km   Turn left onto Avenue de Champleroy
    8.3 km   Turn right onto Rue des Grands Boivins
    8.5 km   Turn left onto Rue Monge
    8.7 km   Turn left onto Avenue Charles de Gaulle
  ★ 8.7 km  [caution] Via trottoir fietsen…
    8.8 km   Keep right onto Avenue de la Fontaine Sainte-Marguerite
    9.4 km   At roundabout, take exit 2 onto Avenue Robert Schuman
    9.8 km   At roundabout, take exit 2 onto Avenue Robert Schuman
    9.9 km   Turn left onto Avenue Haussmann
   10.0 km   Turn right onto Rue du Colonel Rozanoff
   10.3 km   Turn right onto Rue Guynemer
   10.7 km   Turn left onto Rue de la Maladière
   11.6 km   Keep left onto Rue de Halage
