ARNOLD 1.2    31.4 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn left onto IJsseldijk
    0.2 km   Turn right onto Veerweg
    0.7 km   Turn right onto Losweg
    1.0 km   Turn left onto Papelandseweg
    1.7 km   Turn right onto Meester van Voorstweg
    1.9 km   Turn left onto Kerkweg
    2.2 km   Turn right onto Ziebroekseweg (follow 1.5 km)
    3.7 km   Turn left onto Ziebroekseweg
    3.9 km   Keep right onto Westdijk (follow 1.4 km)
    5.3 km   Turn left onto Breeweg
    5.9 km   Turn right onto Hogestraat
    6.0 km   Turn left onto Flessenbergerweg
    6.2 km   Turn right onto Lagestraat
    7.2 km   Continue onto Kanaaldijk
    7.3 km   Turn right onto Ossenkampweg
    7.4 km   Turn left onto Kanaaldijk (follow 1.0 km)
    8.4 km   Make a U-turn onto Kanaaldijk
    8.6 km   Turn left onto Kloosterweg
    8.8 km   Turn right (follow 2.8 km)
   11.6 km   Turn right onto Daendelsweg
   11.6 km   Turn left
   11.7 km   Turn right
   11.7 km   Turn right onto Nieuweweg
   12.0 km   Turn right onto Stadslaan
   12.0 km   Turn left onto Stationslaan
   12.4 km   Turn left onto Zuidwal
   12.5 km   Turn right onto Dorpsweg
   12.8 km   Turn left onto Noordwal
   12.8 km   Turn slight left onto Geldersedijk
   12.9 km   Turn left to stay on Geldersedijk (follow 2.4 km)
   15.3 km   Turn right onto Zuiderzeestraatweg
   15.4 km   Turn left onto Geldersedijk (follow 2.9 km)
   18.2 km   Slight right onto Zalkerdijk (follow 2.1 km)
   20.3 km   Turn right onto Veerpad (follow 1.2 km)
   21.5 km   Turn slight left onto Veecaterdijk (follow 2.4 km)
   23.9 km   Continue onto Harsenhorsterweg
   24.5 km   Keep left onto Dorpsweg (follow 2.0 km)
   26.5 km   Keep left onto Uiterwijkseweg (follow 1.1 km)
   27.6 km   Turn slight left onto IJsseldijk (follow 1.9 km)
   29.5 km   Turn slight left onto Uiterwijkseweg
   30.0 km   Continue onto Zwolseweg
   30.5 km   Turn right
   30.5 km   Turn left
   30.9 km   Turn left onto IJsselbrug
   31.2 km   Turn left onto IJsselkade
