WAGENINGEN - ARNHEM (ÜBER VELUWE & AIRBORNE MUSEUM)    37.0 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Rechts abbiegen auf Grebbedijk
    0.3 km   Leicht links abbiegen auf Havenafweg
    0.4 km   Rechts halten auf Nudestraat
    0.6 km   Rechts abbiegen auf Emmapark
    0.8 km   Links abbiegen auf Niemeijerstraat
    1.0 km   Rechts abbiegen auf Salverdaplein
    1.1 km   Links abbiegen auf Herenstraat
    1.3 km   Rechts abbiegen auf Bergstraat
    1.4 km   Dem Straßenverlauf von 5 Mei Plein folgen
  ★ 1.4 km  [see] Hotel de Wereld
    1.5 km   Rechts halten auf 5 Mei Plein
    1.5 km   Leicht rechts abbiegen auf 5 Mei Plein
    1.6 km   Links abbiegen auf Veerstraat (follow 1.3 km)
    3.0 km   Dem Straßenverlauf von Onderlangs folgen (follow 1.7 km)
    4.7 km   Rechts abbiegen
    5.5 km   Links abbiegen auf Dorpsstraat
    5.5 km   Links abbiegen auf Dorpsstraat
    5.5 km   Leicht links abbiegen auf Onder de Bomen
    6.0 km   Links abbiegen auf Beukenlaan
    6.6 km   Rechts abbiegen auf Waterweg
    7.2 km   Links abbiegen auf Nieuwe Keijenbergseweg
  ★ 7.8 km  [coffee] Lunchroom de Beken
    8.1 km   Rechts abbiegen auf Bennekomseweg
    8.7 km   Scharf links abbiegen auf Schaapsdrift
    9.0 km   Rechts abbiegen auf Wijde Veldweg (follow 2.6 km)
   11.6 km   Leicht rechts abbiegen auf Parallelweg
   12.4 km   Links abbiegen auf Buunderkamp
   12.6 km   Rechts halten auf Buunderkamp (follow 1.2 km)
   13.7 km   Dem Straßenverlauf von Buunderkamp folgen
   14.0 km   Links halten
   14.2 km   Rechts abbiegen (follow 1.1 km)
   15.3 km   Rechts abbiegen auf Verlengde Arnhemseweg
  ★ 15.4 km  [food] Planken Wambuis
  ★ 15.4 km  [food] Restaurant Planken Wambuis
   15.9 km   Scharf links abbiegen
   15.9 km   Leicht links abbiegen
   16.4 km   Links halten (follow 1.2 km)
   17.6 km   Rechts abbiegen
   17.9 km   Leicht rechts abbiegen
   17.9 km   Rechts abbiegen auf Otterloseweg (follow 2.2 km)
   20.2 km   Dem Straßenverlauf von Koningsweg folgen (follow 2.6 km)
  ★ 20.2 km  [coffee] Pitstop
  ★ 22.6 km  [food] Pancake Restaurant Den Strooper
  ★ 22.6 km  [food] Pancake Restaurant Den Strooper
   22.8 km   Rechts abbiegen auf Koningsweg
   22.8 km   Rechts abbiegen auf Koningsweg (follow 2.0 km)
   24.8 km   Rechts abbiegen auf Kemperbergerweg
   25.1 km   Rechts halten
   25.2 km   Rechts halten
   25.4 km   Links abbiegen
   25.6 km   Rechts halten
   25.7 km   Rechts abbiegen auf Bakenbergseweg (follow 1.1 km)
   26.8 km   Leicht rechts abbiegen auf Bakenbergseweg (follow 1.9 km)
   28.7 km   Links abbiegen auf Dreyenseweg
   28.8 km   Dem Straßenverlauf von Stationsweg folgen
   29.5 km   Rechts abbiegen auf Utrechtseweg
   30.0 km   Wenden auf Utrechtseweg
  ★ 30.2 km  [note] Airborne Museum
   30.6 km   Rechts abbiegen auf Pietersbergseweg
   30.9 km   Links halten auf Pietersbergseweg
   31.1 km   Links abbiegen auf Van Eeghenweg
   31.3 km   Links abbiegen auf Weverstraat
   31.3 km   Rechts abbiegen auf De Dam
   31.5 km   Rechts abbiegen auf Fangmanweg
   31.5 km   Dem Straßenverlauf von Fangmanweg folgen
   31.5 km   Links abbiegen auf Geelkerkenkamp
   31.9 km   Rechts abbiegen auf Van Toulon van der Koogweg
   32.1 km   Links abbiegen auf Benedendorpsweg
   32.3 km   Rechts abbiegen auf Benedendorpsweg (follow 2.1 km)
   34.3 km   Dem Straßenverlauf von Hulkesteinseweg folgen
   34.7 km   Rechts abbiegen auf Utrechtseweg
   34.8 km   Rechts halten auf Onderlangs
  ★ 37.0 km  [dock/stay] Docking Arnhem
  ★ 37.0 km  [see] Airborne at the Bridge: free museum
