TERNEUZEN - ANTWERP    63.9 km    · signs & notes only ·

DIRECTIONS
    1.1 km   Keep right onto Beneluxweg
    1.2 km   Turn left onto Kennedylaan
    1.2 km   Turn right onto Verlengde van Steenbergenlaan
    1.5 km   Continue onto van Steenbergenlaan
    1.8 km   Turn left onto van Steenbergenlaan
    1.8 km   Continue onto Oostelijk Bolwerk
    1.8 km   Turn right
    1.9 km   Turn sharp left onto Oesterputten
    2.1 km   Turn slight left onto Scheldeboulevard
    2.1 km   Turn right onto Scheldeboulevard
    2.7 km   Turn left onto Scheldeboulevard
    2.9 km   Continue onto Churchilllaan
    3.0 km   Turn slight left onto Scheldeboulevard (follow 2.3 km)
    5.3 km   Turn slight left onto Margarethaweg (follow 1.0 km)
    6.4 km   Turn right onto Paardendijk (follow 1.3 km)
    7.7 km   Turn slight left onto Valweg
    7.9 km   Turn left onto Val
    8.6 km   Turn right onto Grote Huissenspolderweg (follow 1.7 km)
   10.3 km   Turn left onto Reuzenhoek (follow 1.7 km)
   12.0 km   Turn left onto Plein
   12.1 km   Continue onto Veerstraat
   12.2 km   Turn right onto Veerstraat (follow 1.7 km)
   13.9 km   Continue onto Veer
   14.0 km   Turn right onto Veer
   14.5 km   Keep left onto Paviljoenweg
   14.6 km   Turn left onto Paviljoenweg
   15.3 km   Turn slight right onto Paviljoenweg
   15.4 km   Continue onto Sasdijk (follow 1.6 km)
   16.9 km   Turn left onto Sasdijk (follow 1.1 km)
   18.1 km   Turn right onto Klein Cambrondijk (follow 1.6 km)
   19.7 km   Turn right onto Havikdijk (follow 2.3 km)
   22.0 km   Turn right onto Hulster Nieuwlanddijk
   22.8 km   Turn left onto Parallelweg West
   23.3 km   Turn right onto Oude Zoutdijk
   24.0 km   Turn right onto Tivoliweg
   24.3 km   Turn slight right onto Dubbele Poort
   24.4 km   Turn left onto Overdamstraat
   24.5 km   Turn right onto Frans van Waesberghestraat
   24.6 km   Turn right onto Vestdijkstraat
   24.7 km   Turn left onto Houtenkwartier
   24.8 km   Turn right onto Frans van Waesberghestraat
   24.9 km   Turn right onto Gentsestraat
   25.2 km   Turn slight left onto van der Maelstedeweg
   26.1 km   Turn right
   26.2 km   Turn left (follow 1.7 km)
   27.9 km   Turn right
   27.9 km   Turn left onto Mechelen-Terneuzenwegel (follow 4.2 km)
   32.1 km   Turn left onto Spoorwegpad
   32.2 km   Turn slight right onto Mechelen-Terneuzenwegel (follow 4.8 km)
   37.0 km   Turn left (follow 1.2 km)
   38.2 km   Turn sharp left onto Vrouw Mariastraat
   38.2 km   Turn right onto Vrouweneekhoekstraat
   38.4 km   Continue onto Godsschalkstraat (follow 1.4 km)
   39.8 km   Turn left
   40.6 km   Turn slight left onto Uilenstraat
   40.7 km   Turn left onto Uilenstraat
   41.5 km   Turn right onto Uilenstraat
   41.6 km   Turn left onto Slagmolenstraat
   41.9 km   Turn left onto Ster
   42.4 km   Turn slight right (follow 2.1 km)
   44.5 km   Turn right onto Bankstraat
   45.4 km   Turn sharp left onto Willem Van Doornyckstraat, N485
   45.9 km   Turn slight right onto Willem Van Doornyckstraat (follow 4.2 km)
  ★ 45.9 km  [note] To visit "Hof ter Saksen": Turn left and cycle for 2 km/ 6 minutes.
   50.1 km   Turn right onto Hovenierstraat
   50.7 km   Turn right onto Nieuwe Veldstraat
   50.7 km   Turn right
   50.9 km   Make a U-turn
   51.0 km   Turn left onto Nieuwe Veldstraat
   51.0 km   Turn right onto Veldbloemenstraat
   51.5 km   Turn left onto Warandestraat
   52.1 km   Turn right onto Akkerstraat
   52.1 km   Turn right onto Warandestraat
   52.3 km   Turn slight left onto Hollestraat
   53.1 km   Turn right onto Vossenstraat
   54.1 km   Turn sharp right onto Heirbaan
   54.2 km   Make a U-turn onto Heirbaan
   54.3 km   Turn sharp left onto Heirbaan
   55.0 km   Keep right onto Oude Heirbaan (follow 1.1 km)
   56.0 km   Turn right onto Oeverkant
   56.5 km   Turn left
   57.5 km   Turn right onto Dorpstraat (follow 3.0 km)
   60.4 km   Make a U-turn
   61.3 km   Turn sharp right
   61.3 km   Turn left
   61.3 km   Turn right
  ★ 61.3 km  [caution] Please take the elevator in the tunnel for your safety!
   61.9 km   Continue onto Sint-Annatunnel
   61.9 km   Turn right
   62.0 km   Turn right onto Sint-Jansvliet
   62.0 km   Turn right onto Sint-Jansvliet
   62.0 km   Turn left
   62.0 km   Turn right (follow 1.0 km)
   63.1 km   Turn sharp left
   63.5 km   Turn right
   63.8 km   Turn left onto Kattendijkdok-Westkaai
