ALKMAAR - HAARLEM (CITY)    53.8 km    · signs & notes only ·

DIRECTIONS
   49.4 km   Links abbiegen auf Jan Gijzenkade
   49.6 km   Links halten auf Jan Gijzenkade
   49.8 km   Rechts abbiegen
   50.1 km   Links halten
   50.6 km   Rechts abbiegen auf Floresstraat
   50.7 km   Links abbiegen auf Delistraat
   51.1 km   Links abbiegen auf Reitzstraat
   51.3 km   Rechts abbiegen
   52.2 km   Leicht links abbiegen
   52.6 km   Rechts abbiegen auf Koudenhorn
   53.4 km   Links halten auf Spaarne
   53.5 km   Links abbiegen
   53.6 km   Rechts abbiegen auf Spaarne
