TERNEUZEN - BRESKENS    50.4 km    · signs & notes only ·

DIRECTIONS
    0.3 km   Keep left onto Scheldeboulevard
    0.5 km   Turn right onto Binnenvaartweg
    0.9 km   Turn left
    0.9 km   Turn left onto Binnenvaartweg
    1.5 km   Turn left onto Buitenhaven
    1.5 km   Turn left onto Buitenhaven (follow 1.5 km)
    3.0 km   Keep left onto Herbert H. Dowweg
    3.3 km   Turn right onto Innovatieweg
    4.0 km   Turn slight left onto Herbert H. Dowweg
    4.0 km   Turn slight right onto Boerengat
    4.5 km   Turn slight right onto Lovenweg (follow 1.3 km)
    5.8 km   Turn right
    5.8 km   Turn left (follow 1.2 km)
    7.0 km   Turn left (follow 1.3 km)
    8.3 km   Turn right
    8.7 km   Turn left (follow 1.1 km)
    9.7 km   Turn left (follow 1.5 km)
   11.2 km   Turn right onto Braakmanweg (follow 1.1 km)
   12.3 km   Turn right
   12.7 km   Turn slight left
   12.8 km   Turn right onto Oostzeedijk (follow 1.6 km)
   14.4 km   Turn left onto Havenstraat
   14.7 km   Turn left onto Havenstraat
   15.7 km   Turn right onto Havenstraat
   16.4 km   Continue onto Markt
   16.5 km   Turn right onto Noordstraat (follow 2.1 km)
   18.6 km   Turn right onto Hoofdplaatseweg
   19.0 km   Turn slight right onto IJzendijkseweg (follow 2.3 km)
   21.3 km   Turn right onto Schorerweg
   21.5 km   Make a U-turn onto Schorerweg
   22.3 km   Turn left onto Nieuwedijk
   23.1 km   Continue onto Landbouwstraat
   23.3 km   Turn right onto Barakkenstraat
   23.4 km   Continue onto Blindewijk
   23.4 km   Turn left onto Blindewijk
   23.5 km   Turn right onto Minnepoortstraat
   23.5 km   Keep right onto Mauritsweg
   24.0 km   Turn right onto Mauritsweg (follow 1.7 km)
   25.7 km   Turn sharp right onto Mauritsweg
   25.7 km   Make a U-turn onto Mauritsweg
   25.7 km   Turn left onto Oranjedijk (follow 4.2 km)
   29.9 km   Turn slight right onto Nozemansweg
   30.0 km   Continue onto Steenhovensedijk (follow 2.2 km)
   32.2 km   Turn left onto Steenhovensedijk
   32.2 km   Turn right
   32.9 km   Turn left
   32.9 km   Turn slight right onto Kaas en Broodsedijk
   33.6 km   Turn left onto Kaas en Broodsedijk
   34.2 km   Turn left onto Burgemeester I. van Houtestraat
   34.5 km   Turn left onto Burgemeester H.A. Callenfelsstraat
   34.6 km   Turn right onto Zuidwal
   34.7 km   Turn right onto Nieuwstraat
   35.1 km   Turn right onto Raadhuisplein
   35.3 km   Turn left onto Brouwerijstraat
   35.7 km   Keep right onto Bredestraat
   36.1 km   Turn left
   36.2 km   Turn right
   36.8 km   Turn sharp left onto Commerswerveweg (follow 1.4 km)
   38.2 km   Turn slight left onto Maaidijk
   38.3 km   Turn slight right onto Scherpbier
   38.6 km   Keep right onto Scherpbierseweg
   38.8 km   Continue onto Krabbedijk (follow 1.6 km)
   40.4 km   Turn right onto Klittenweg
   40.6 km   Turn left onto Tragel West (follow 1.8 km)
   42.4 km   Turn right onto Rijksweg
   42.5 km   Turn right onto Damstraat
   42.6 km   Turn right onto Damstraat
   42.8 km   Turn sharp left onto Tragel Oost (follow 2.5 km)
   45.3 km   Turn left onto Gaternisseweg (follow 1.1 km)
   46.4 km   Keep right onto Schaapweg
   46.8 km   Turn slight right onto Platteweg (follow 1.0 km)
   47.9 km   Turn left onto Buijzenpolderdijk
   48.1 km   Turn left onto Hoofdplaatseweg
   48.6 km   Turn left onto Hoofdplaatseweg
   49.5 km   Continue onto de Lente
   49.7 km   Turn right onto Molenwater
   50.0 km   Turn slight right onto Molenwater
   50.1 km   Turn left onto Grote Kade
   50.1 km   Turn right onto Weegbrugweg
   50.1 km   Turn right onto Keipad
   50.2 km   Keep right onto Keerdam
