MAINLAND AL (SIVOTA-ARILLA-SIVOTA)    36.9 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Continue
  ★ 0.1 km  [convenience_store] Marine Super Market
    0.2 km   Turn left
  ★ 0.2 km  [atm] ATM Alpha Bank
    0.6 km   Turn right onto Σύβοτα - Πέρδικα (follow 10.2 km)
  ★ 2.5 km  [swimming] Megali Ammos Beach
  ★ 3.9 km  [see] Viewpoint
  ★ 4.3 km  [swimming] Mega Drafi Beach
   10.7 km   Turn sharp right (follow 3.1 km)
  ★ 11.8 km  [caution] Caution on descent — Long and partly steep descent ahead
  ★ 13.4 km  [swimming] Arilla Beach
   13.8 km   Turn sharp left
  ★ 13.8 km  [bar] Akti Arilla Bar
   13.9 km   Turn left
   14.1 km   Turn right (follow 1.5 km)
   15.6 km   Turn left
   15.7 km   Turn slight right (follow 3.9 km)
  ★ 15.7 km  [bar] Pirates Beach Bar
  ★ 15.9 km  [swimming] Karavostasi Beach
  ★ 16.2 km  [convenience_store] Mini Market
   19.6 km   Turn left (follow 2.1 km)
  ★ 19.7 km  [monument] Church of St. Athanasios
   21.6 km   Turn left onto Πάργας - Πέρδικας (follow 3.7 km)
   25.3 km   Turn sharp left onto Σύβοτα - Πέρδικα
   25.5 km   Turn slight right onto Σύβοτα - Πέρδικα
   25.7 km   Turn left
   25.7 km   Turn right
   25.9 km   Turn right
   25.9 km   Turn left onto Σύβοτα - Πέρδικα (follow 3.4 km)
  ★ 26.1 km  [coffee] Café Kantina
   29.3 km   Turn sharp left onto Σύβοτα - Πέρδικα (follow 6.7 km)
   36.0 km   Turn slight right
   36.4 km   Turn sharp right
   36.4 km   Turn left
   36.4 km   Turn right
   36.4 km   At roundabout, take exit 3
   36.8 km   Turn sharp left
  ★ 36.8 km  [swimming] Gallikos Molos Beach
