FROM ROVINJ TO FAŽANA    31.8 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Op rotonde neem tweede afslag naar Ulica Pietra Ive
    0.1 km   Links afslaan
    0.7 km   Rechts afslaan
    1.2 km   Rechts afslaan
    2.0 km   Links afslaan
    2.4 km   Rechts afslaan
    2.7 km   Links afslaan
    3.0 km   Rechts afslaan
    3.2 km   Links afslaan
    3.8 km   Links afslaan
    3.9 km   Rechts afslaan
    4.1 km   Rechts afslaan (follow 1.3 km)
    5.4 km   Rechts afslaan
    5.9 km   Rechts afslaan
    6.0 km   Rechts afslaan
    6.4 km   Rechts afslaan
    6.7 km   Rechts afslaan
    6.9 km   Rechts afslaan
    7.0 km   Rechts afslaan
    7.2 km   Rechtdoor
    7.4 km   Rechts afslaan
    7.7 km   Links afslaan
    7.9 km   Rechts afslaan (follow 1.3 km)
    9.2 km   Rechts afslaan
    9.8 km   Links afslaan
   10.5 km   Rechts afslaan
   10.8 km   Links afslaan (follow 1.6 km)
   12.3 km   Rechts afslaan
   12.3 km   Links afslaan
   12.5 km   Rechts afslaan
   13.1 km   Rechts afslaan
   14.0 km   Rechts afslaan
   14.4 km   Links afslaan
   14.5 km   Rechts afslaan (follow 1.4 km)
   15.9 km   Links afslaan
   16.0 km   Links afslaan
   16.5 km   Rechts afslaan
   16.5 km   Rechts afslaan (follow 1.2 km)
   17.7 km   Rechtdoor (follow 1.4 km)
   19.1 km   Rechts afslaan
   19.2 km   Rechts afslaan
   19.2 km   Links afslaan (follow 1.2 km)
   20.4 km   Links afslaan
   20.4 km   Rechts afslaan
   21.4 km   Rechts afslaan (follow 1.0 km)
   22.4 km   Links afslaan
   22.9 km   Rechts afslaan
   23.1 km   Rechts afslaan
   23.2 km   Rechtdoor
   23.5 km   Links afslaan
   23.7 km   Links afslaan
   24.0 km   Rechts afslaan (follow 1.1 km)
   25.1 km   Rechts afslaan (follow 2.8 km)
   27.9 km   Rechts afslaan
   28.1 km   Rechts afslaan (follow 2.1 km)
   30.2 km   Links afslaan
   30.2 km   Rechts afslaan
   30.3 km   Links afslaan
   30.4 km   Rechts afslaan
   30.5 km   Links afslaan
   30.7 km   Rechts afslaan
   30.7 km   Links afslaan
   31.0 km   Links afslaan
   31.7 km   Rechts afslaan
