ALPSVR 1. SILANDRO LOOP    153.0 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Parkhotel Zur Linde Silandro
  ★ 5.6 km  [note] Steep + Gravel
  ★ 6.7 km  [note] Bakery Lasa
  ★ 7.1 km  [note] 1272
  ★ 7.1 km  [note] 1283
  ★ 7.1 km  [note] 1293
  ★ 7.1 km  [note] 1302
  ★ 7.1 km  [note] 1312
  ★ 7.1 km  [note] 1323
  ★ 7.1 km  [note] Glorenza
  ★ 7.1 km  [dock/stay] Hotel Stocker S. Valentino Muta
  ★ 7.1 km  [bike_shop] Park Bikes Glorenza
  ★ 7.1 km  [bike_shop] Park Bikes Lasa — Bahnhofstrasse - Via Stazione
  ★ 7.1 km  [note] Station Laas/Lasa
  ★ 12.7 km  [note] 1333
  ★ 14.2 km  [note] Under the road
  ★ 18.5 km  [note] Kiosk Appels
  ★ 20.1 km  [note] 1402
  ★ 25.8 km  [note] Detour to Strudel!
  ★ 26.3 km  [food] Strudel!!! Maragno
  ★ 31.9 km  [note] Castle Messner
  ★ 32.2 km  [food] Radbar Venosta — 07-MEI-13 16:03:24
  ★ 35.5 km  [bike_shop] Park Bikes Naturno
  ★ 36.0 km  [note] San Procolo Chapel
  ★ 36.9 km  [note] 1412
  ★ 44.8 km  [note] Waterdam Zoll
  ★ 45.8 km  [note] Big Bench
  ★ 51.7 km  [note] Station Merano
  ★ 52.0 km  [dock/stay] City Hotel Merano
  ★ 52.4 km  [note] Piazza del Teatro Merano
  ★ 64.8 km  [note] Station Gargazzone
  ★ 68.5 km  [note] Radrest Vilpiano
  ★ 70.4 km  [note] 1432
  ★ 71.6 km  [note] 1461
  ★ 72.1 km  [note] Café Terlano
  ★ 72.1 km  [note] WC Terlano
  ★ 79.1 km  [note] 1943
  ★ 79.1 km  [note] 0021
  ★ 79.4 km  [note] Castle Sigmundskron
  ★ 80.5 km  [note] 0011
  ★ 85.2 km  [note] Otzi
  ★ 85.5 km  [note] EuroSpar BZ
  ★ 85.9 km  [note] Piazza Walther Bolzano
  ★ 86.0 km  [note] DeSpar BZ
  ★ 86.5 km  [dock/stay] Hotel Scala BZ
  ★ 106.5 km  [note] Station Ora
  ★ 110.1 km  [food] Bicigrill Ora
  ★ 110.1 km  [note] Kiosk Ora
  ★ 112.7 km  [note] 135
  ★ 117.1 km  [note] 136
  ★ 117.1 km  [note] 1482
  ★ 122.0 km  [note] Station Salorno
  ★ 124.6 km  [note] Grens Trentino/Alto Adige
  ★ 125.6 km  [note] 0041
  ★ 128.2 km  [food] Bicigrill Faedo
  ★ 131.1 km  [note] Station San Michele a/a - Grumo
  ★ 134.4 km  [note] 0051
  ★ 134.6 km  [note] Nave San Felice
