UTRECHT (NEUDE) - RIJNKANAAL (ROOSEVELT)    3.6 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn left onto Potterstraat
    0.3 km   Turn slight right onto Vredenburg
    0.8 km   Keep right onto Van Sijpesteijnkade
    1.0 km   Turn right onto Westplein
    1.1 km   Turn left onto Westplein
    1.1 km   Turn left onto Leidseweg
    1.8 km   Continue onto Muntbrug
    1.9 km   Continue onto Leidseweg
    2.6 km   Turn slight right onto Kennedylaan
    3.0 km   Turn right
    3.1 km   Turn left onto Rooseveltlaan
    3.3 km   Turn right onto Rooseveltboulevard-Noord
