WAGENINGEN - ARNHEM (VIA VELUWE) DEU    43.5 km    · signs & notes only ·

Knooppunten: 25

DIRECTIONS
    0.1 km   Rechts abbiegen auf Grebbedijk
    0.3 km   Follow signs to junction 25 (exit right)
  ★ 1.4 km  [see] Hotel de Wereld
  ★ 7.8 km  [coffee] Lunchroom de Beken
  ★ 15.0 km  [note] Nature Centre Veluwe
  ★ 15.9 km  [see] Schaapskooi / sheeps cage
  ★ 21.1 km  [coffee] Het Theehuis
  ★ 24.8 km  [food] Planken Wambuis
  ★ 29.6 km  [coffee] Pitstop
  ★ 32.0 km  [food] Pancake Restaurant Den Strooper
  ★ 36.5 km  [see] Open Air Museum
  ★ 43.3 km  [see] Airborne at the Bridge: free museum
  ★ 43.5 km  [dock/stay] Docking Arnhem
