HAARLEM (STADT) - LEIDEN (DURCH DÜNEN)    45.6 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Rechts abbiegen auf Bakenessergracht
    0.3 km   Rechts halten auf Spaarne
    0.3 km   Rechts abbiegen auf Damstraat
    0.4 km   Rechts abbiegen auf Klokhuisplein
    0.4 km   Links abbiegen auf Riviervismarkt
    1.1 km   Links abbiegen auf Kinderhuissingel
    1.1 km   Links abbiegen auf Kinderhuissingel (follow 1.4 km)
    2.6 km   Links abbiegen auf Bijdorplaan
    2.7 km   Links abbiegen auf Korte Zijlweg
    2.8 km   Rechts halten auf Korte Zijlweg
    3.4 km   Links abbiegen
    3.4 km   Links abbiegen
    3.6 km   Links halten
    4.1 km   Links halten
    4.1 km   Rechts abbiegen auf Rockartsduinweg
    4.5 km   Links abbiegen (follow 1.8 km)
    6.3 km   Scharf links abbiegen auf Blinkertpad (follow 1.6 km)
    7.9 km   Rechts abbiegen (follow 1.3 km)
    9.3 km   Links abbiegen auf Burgemeester Nawijnlaan
    9.4 km   Links abbiegen auf Burgemeester Nawijnlaan
    9.6 km   Dem Straßenverlauf von Burgemeester Nawijnlaan folgen
    9.6 km   Rechts abbiegen auf Zandvoortselaan
    9.6 km   Links abbiegen auf Zandvoortselaan
    9.6 km   Links abbiegen
    9.6 km   Leicht rechts abbiegen
    9.7 km   Links abbiegen
   10.1 km   Rechts halten
   10.2 km   Leicht rechts abbiegen auf Grote Krocht
   10.3 km   Im Kreisverkehr Ausfahrt 3 auf Kleine Krocht nehmen
   10.6 km   Links abbiegen
   10.6 km   Rechts abbiegen auf Wagenmakerspad
   10.6 km   Rechts abbiegen auf Badhuisplein
   10.7 km   Leicht rechts abbiegen auf Boulevard de Favauge
  ★ 10.7 km  [restroom] public toilet Zandvoort
  ★ 10.7 km  [note] Zandvoort Strand
   11.1 km   Rechts abbiegen auf Boulevard Paulus Loot
   11.3 km   Scharf rechts abbiegen auf Boulevard Paulus Loot
   12.1 km   Rechts abbiegen auf Zuiderduinpad (follow 7.5 km)
  ★ 19.6 km  [coffee] Beach Noordwijk
  ★ 19.6 km  [bike_parking] Langevelderslag
   19.7 km   Dem Straßenverlauf von Langevelderslag folgen (follow 1.5 km)
   21.2 km   Links abbiegen auf Noraweg
   22.0 km   Rechts abbiegen
   22.3 km   Rechts abbiegen auf Rijwielpad Boswachterij Noordwijk, Provinciaal Fietspad 1 (follow 2.7 km)
   25.0 km   Links halten auf Rijwielpad Boswachterij Noordwijk, Provinciaal Fietspad 1 (follow 1.1 km)
   26.1 km   Rechts abbiegen auf Verlengde Bosweg (follow 1.2 km)
   27.3 km   Dem Straßenverlauf von Bosweg folgen
   27.7 km   Rechts abbiegen auf Koningin Wilhelmina Boulevard
  ★ 28.0 km  [coffee] Café's Noordwijk aan Zee
   28.6 km   Rechts abbiegen auf De Grent
   28.8 km   Rechts abbiegen auf Rudolf Tappenbeckweg (follow 1.2 km)
   30.0 km   Links abbiegen auf Koningin Astrid Boulevard
   30.0 km   Links abbiegen auf Rijwielpad Coepelduynen (follow 2.9 km)
   32.8 km   Leicht rechts abbiegen auf KNRM-pad
   32.9 km   Links halten auf KNRM-pad
   32.9 km   Links abbiegen auf Kanaaldijk (follow 1.4 km)
  ★ 32.9 km  [bar] Beach Bar Willy Noord
   34.3 km   Leicht rechts abbiegen auf Biltpad
   34.5 km   Rechts halten auf Biltpad
   34.7 km   Rechts abbiegen auf Biltpad
   34.9 km   Dem Straßenverlauf von Zeilmakerstraat folgen
   35.2 km   Links halten auf Zeilmakerstraat
   35.2 km   Rechts abbiegen auf Zeilmakerstraat
   35.2 km   Dem Straßenverlauf von Ambachtsweg folgen
   35.7 km   Leicht links abbiegen auf Lageweg
   35.8 km   Rechts abbiegen auf Lijnbaanstraat
   36.0 km   Leicht links abbiegen auf Steenbakkerstraat
   36.0 km   Leicht rechts abbiegen auf Ververstraat
   36.5 km   Links abbiegen auf Kanaalpad Noordwest
   36.8 km   Rechts abbiegen
   37.0 km   Links abbiegen auf Voorhouterweg
   37.1 km   Rechts abbiegen auf Kanaalpad Noordoost (follow 1.2 km)
   38.3 km   Rechts abbiegen
   38.6 km   Rechts abbiegen auf Haarlemmerstraatweg
   38.6 km   Links abbiegen auf Jan van Gilsepad
   38.9 km   Leicht rechts abbiegen auf Johan Wagenaarlaan
   39.0 km   Rechts abbiegen auf Johan Wagenaarlaan
   39.1 km   Links abbiegen auf Kees van Baarenlaan
   39.1 km   Rechts abbiegen auf Kees van Baarenlaan
   39.1 km   Im Kreisverkehr Ausfahrt 1 auf Boerhaaveplein nehmen
   39.3 km   Links abbiegen auf Queridolaan
   39.4 km   Rechts abbiegen auf Martinus Nijhofflaan
   39.6 km   Rechts abbiegen
   39.8 km   Links abbiegen auf President Kennedylaan
   40.4 km   Rechts halten auf President Kennedylaan
   40.5 km   Links abbiegen auf Abtspoelweg
   40.6 km   Rechts abbiegen auf Haarlemmertrekvaart (follow 1.7 km)
   42.3 km   Links halten auf Haarlemmerweg
   42.5 km   Rechts abbiegen auf Stadspolderweg
   42.5 km   Links abbiegen auf Haarlemmerweg
   43.3 km   Dem Straßenverlauf von Korte Mare folgen
   43.4 km   Rechts abbiegen auf Marepoortbrug
   43.4 km   Links abbiegen auf Nieuwe Mare
   43.6 km   Links abbiegen auf Oude Singel
   43.6 km   Rechts abbiegen auf Korte Mare
   43.8 km   Rechts abbiegen auf Lange Mare
   44.0 km   Links abbiegen auf Aalmarkt
  ★ 44.1 km  [bar] Leiden Cafes
   44.2 km   Links abbiegen auf Burgsteeg
   44.3 km   Links abbiegen auf Burgsteeg
  ★ 44.3 km  [see] Leiden Schloss
   44.5 km   Rechts abbiegen auf Oude Rijn
   44.5 km   Leicht rechts abbiegen auf Hooglandse Kerkgracht
   44.6 km   Leicht links abbiegen auf Koppenhinksteeg
   44.7 km   Links abbiegen auf Kaasmarkt
   44.7 km   Rechts abbiegen auf Kaasmarkt
   44.8 km   Links abbiegen auf Hooigracht
   44.8 km   Rechts abbiegen auf Oude Rijn
   45.0 km   Links abbiegen auf Havenplein
   45.0 km   Rechts abbiegen auf Havenplein
   45.3 km   Dem Straßenverlauf von Zijlpoortsburg folgen
   45.4 km   Rechts halten auf Zijlpoortsburg
   45.4 km   Rechts abbiegen auf Zijlsingel
  ★ 45.6 km  [dock/stay] Liegeplatz Leiden
