NIJMEGEN - DOESBURG    46.1 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn right onto Waalkade
    0.1 km   At roundabout, take exit 1 onto Waalkade
    0.6 km   Keep left onto Veemarkt
    0.9 km   Turn left onto Nieuwe Marktstraat
    0.9 km   Turn right
    1.0 km   Turn right onto Snelbinder
    2.0 km   Turn right
    2.0 km   Turn sharp left
    2.0 km   Turn sharp right onto Oosterhoutsedijk
    2.2 km   Turn left onto Oosterhoutsedijk
    2.3 km   Turn right onto Parmasingel
    2.6 km   Turn right onto Parmasingel
    2.8 km   Turn left onto Turennesingel
    2.8 km   Turn right onto Bemmelsedijk (follow 1.8 km)
    4.6 km   Turn right onto Defensiedijk (follow 1.6 km)
    6.2 km   Turn left onto Buitenpolder (follow 2.6 km)
    8.8 km   Turn slight right onto Waaldijk (follow 6.1 km)
   14.9 km   Turn sharp right onto Waaldijk
   15.8 km   Turn sharp left onto Veerweg
   16.0 km   Turn right onto Blauwe Hoek
   16.4 km   Continue onto Kerkstraat
   17.4 km   Turn left onto Kerkstraat
   17.4 km   Turn slight left onto Rijndijk (follow 2.8 km)
   20.2 km   Turn sharp left onto Rijndijk (follow 1.8 km)
   22.0 km   Turn sharp right onto Rijndijk (follow 2.7 km)
   24.7 km   Turn right onto Stadsdam
   24.9 km   Turn right onto Stadsdam
   24.9 km   Turn right onto Looveer (follow 1.8 km)
   26.7 km   Turn sharp left onto Loodijk
   27.4 km   Turn sharp right (follow 2.5 km)
   29.9 km   Turn right onto Parallelweg
   30.8 km   Turn left
   30.9 km   Turn right
   31.2 km   Turn slight right onto Burgemeester van Dorth tot Medlerstraat
   31.8 km   Turn right onto Rijksweg
   31.9 km   Turn left onto Ploenstraat
   32.6 km   Turn left onto Broekstraat
   33.3 km   Keep right onto Giesbeeksestraat (follow 3.6 km)
   36.9 km   Turn left
   36.9 km   Turn left onto Rivierweg
   36.9 km   Turn left
   37.2 km   Turn slight left onto Bandijk
   37.2 km   Turn left onto Strandpad
   37.3 km   Turn right onto Strandpad (follow 1.9 km)
   39.2 km   Turn right onto Kerkstraat
   39.2 km   Turn sharp left onto Bingerdensedijk
   39.4 km   Turn left onto Bingerdensedijk
   40.4 km   Turn left onto Bingerdensedijk
   40.6 km   Turn left (follow 1.2 km)
   41.9 km   Turn left onto Rivierweg
   42.0 km   Turn right onto Rivierweg
   42.0 km   Turn left onto Rivierweg
   42.0 km   Turn left onto Bingerdenseweg (follow 1.2 km)
   43.2 km   Turn left (follow 2.0 km)
   45.2 km   Turn sharp left
   45.7 km   Turn left onto Turfhaven
   46.0 km   Turn right
   46.1 km   Turn sharp left
