DENAIN - TOURNAI (VIA SAINT-AMANDS)    48.4 km    · signs & notes only ·

Knooppunten: 11

DIRECTIONS
    0.3 km   Turn slight right
    0.7 km   Turn right
    1.0 km   Continue onto Allée du Square
    1.0 km   Turn left onto Impasse de l'Enclos
    1.2 km   Keep left onto Ruelle de la Paix
    1.2 km   Turn right onto Rue Joseph Duysburgh
    1.5 km   Turn left onto Rue Pierre Neve
    1.7 km   Take 1st exit on roundabout onto Rue du Maréchal Leclerc (follow 4.3 km)
    5.9 km   Turn left onto Rue de Bellaing
    6.6 km   Turn left onto Rue Martial Régnier, D 213.2
    6.7 km   Cross road / straight on roundabout
    7.4 km   Turn right onto D 313
    7.6 km   Straight (follow 3.4 km)
   11.0 km   Turn right onto Drève de Wallers (follow 1.2 km)
   12.1 km   Turn left
   13.0 km   Scherpe bocht naar links
   13.3 km   Sla rechtsaf
   14.0 km   Weg vervolgen naar Drève de Grand Bray (follow 1.3 km)
   15.2 km   Turn left onto D 40 A (follow 2.1 km)
   17.3 km   Turn left onto Rue du Pont
   17.5 km   Turn right onto Chemin de Halage (follow 1.6 km)
   19.1 km   Turn right
   19.1 km   Turn left
   19.2 km   Turn left onto Rue du Ravitaillement, D 40 (follow 1.4 km)
   20.5 km   Turn left onto Rue de la Collinière, D 40
   21.0 km   At roundabout, take exit 1 onto D 40
   21.0 km   Continue onto Rue de la Collinière, D 40
   21.2 km   At roundabout, take exit 2 onto Rue Henri Durre, D 169 B
   21.9 km   At roundabout, take exit 2 onto D 169b
   22.2 km   At roundabout, take exit 2 onto Rue de la Paix
   22.4 km   Turn right
   22.6 km   Turn right and directly right again
   22.8 km   Turn left onto Rue Thiers, D 169b
  ★ 22.9 km  [bar] cafes + public restrooms — village Saint Amand les Eaux
   22.9 km   Turn right onto Grand'Place, D 169b
   23.1 km   Turn right onto Rue Mathieu Dumoulin
   23.4 km   Straight, stay on bike path
   24.0 km   Turn right onto Rue de l'Écluse
   24.2 km   Sharp left onto Quai de l'Ecluse
   24.9 km   Turn right (follow 4.0 km)
   28.9 km   Turn right onto Chemin du Halage (follow 1.9 km)
   30.8 km   Turn right onto D 68
   31.2 km   Turn left (follow 2.7 km)
  ★ 31.4 km  [rest_stop] Mortagne du Nord
  ★ 32.8 km  [note] border barrier
  ★ 33.8 km  [caution] Road in bad condition; slow!!
   33.9 km   Turn left
   34.1 km   Straight on roundabout
   34.2 km   Turn right (follow 3.8 km)
   38.0 km   Turn right
   38.2 km   Turn left and cross road
   38.3 km   Turn left
   38.5 km   Turn left
   38.6 km   Turn left (follow 1.2 km)
   39.8 km   Turn left
   40.0 km   Turn sharp right onto Chemin de Halage
   40.7 km   Bear right onto bikepath
   41.0 km   Follow signs to junction 11 via Quai du Marché au Poisson, Place Paul-Emile Janson, Rue de l'Hopital Notre-Dame, Pont Notre-Dame, Quai Andreï Sakharov (exit left)
  ★ 47.3 km  [note] Tourist Info Tournai
  ★ 47.3 km  [bike_parking] Bike Parking Tournai
  ★ 47.3 km  [restroom] Restroom tourist info Tournai
  ★ 47.3 km  [note] Center Tournai
  ★ 47.3 km  [note] Cathedral
  ★ 48.4 km  [dock/stay] barge Doornik
