ASCHAFFENBURG - MILTENBERG    49.3 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Aschaffenburg
    0.1 km   Rechts abbiegen
    0.2 km   Rechts abbiegen
    0.2 km   Links abbiegen auf Am Floßhafen
    0.2 km   Dem Straßenverlauf von Am Floßhafen folgen
    0.3 km   Rechts abbiegen
    0.3 km   Leicht links abbiegen
    0.7 km   Links halten
    0.8 km   Links abbiegen
    0.8 km   Links abbiegen
    0.9 km   Links halten
    0.9 km   Links abbiegen
    0.9 km   Rechts halten
    1.0 km   Leicht rechts abbiegen
    1.0 km   Scharf rechts abbiegen (follow 1.1 km)
    2.1 km   Continue onto Mainwiesenweg (follow 1.3 km)
    3.4 km   Turn left (follow 1.9 km)
  ★ 5.1 km  [see] Määkuh, remains of old steamship — Chain Steamship sailing on the Main
    5.3 km   Turn left onto Niedernberger Str. (follow 1.1 km)
    6.4 km   Rechts abbiegen
    6.5 km   Rechts abbiegen
    7.3 km   Dem Straßenverlauf folgen (follow 2.8 km)
   10.1 km   Links abbiegen auf Römerstraße
   10.1 km   Links abbiegen auf Großwallstädter Straße (follow 2.0 km)
   12.2 km   Rechts abbiegen
   12.6 km   Rechts abbiegen
   13.2 km   Continue onto Setzweg
   13.7 km   Turn left onto Quellenstraße
   13.9 km   Turn right onto Turmstraße
   14.3 km   Turn left onto Hinterm Turm
   14.5 km   Continue onto Wallstraße
   14.6 km   Turn right onto Mainstraße
   14.7 km   Slight left to stay on Mainstraße (follow 4.0 km)
   18.7 km   Turn right
   18.8 km   Turn left
   19.1 km   Continue onto Pfaffengasse
   19.2 km   Turn left onto Mainstraße
  ★ 19.2 km  [coffee] Several cafes, restaurants and shops in centre(Römerstraße)
   19.2 km   Turn right onto Untere Wallstraße
  ★ 19.4 km  [park] Rosegarden
   19.4 km   Turn left onto Obere Gasse
   19.4 km   Turn right
   19.6 km   Keep left onto Kapellengasse
  ★ 19.6 km  [restroom] Public toilet
   19.6 km   Turn slight left
   19.7 km   Turn right
   20.6 km   Turn left
   21.2 km   Turn right towards Ersatzstraße f. kraftfahrstraßenverbotenem Verkehr
   21.3 km   Turn left onto Ersatzstraße f. kraftfahrstraßenverbotenem Verkehr (follow 2.5 km)
   23.9 km   Turn right
   24.4 km   Turn left (follow 1.5 km)
  ★ 25.8 km  [see] Shipp and Shippbuilding museum — Open Sat/Sun. other days get key at cityhall. 49 (0)9372 / 9893-0, €6/€5grou
  ★ 25.9 km  [see] Shipyard
   25.9 km   Turn left
   26.2 km   Rechts abbiegen
   26.3 km   Links abbiegen auf Wiesenweg
   26.8 km   Rechts halten auf Wiesenweg
   26.8 km   Rechts abbiegen
   26.9 km   Dem Straßenverlauf folgen
   26.9 km   Rechts abbiegen
   27.1 km   Dem Straßenverlauf folgen (follow 1.1 km)
   28.3 km   Turn right
   28.3 km   Turn right onto Bahnhofstraße
   28.3 km   Turn right onto Mainbrücke Klingenberg, St 3259
   28.5 km   Turn right
   28.6 km   Turn right
   29.4 km   Dem Straßenverlauf folgen (follow 2.1 km)
  ★ 29.4 km  [caution] D tour work in progress
  ★ 29.7 km  [coffee] Bakery Coffee Klingenberg
   31.5 km   Turn right (follow 5.2 km)
   36.7 km   Links abbiegen auf Mainstraße
   36.9 km   Rechts halten auf Mainstraße
   36.9 km   Scharf rechts abbiegen auf Freihof
   37.0 km   Scharf links abbiegen auf Mainstraße
   37.1 km   Scharf rechts abbiegen auf Freihof
   37.2 km   Dem Straßenverlauf von Freihof folgen
  ★ 37.2 km  [coffee] Café Bakery König
   37.2 km   Rechts abbiegen auf Hauptstraße
   37.4 km   Rechts abbiegen auf In den Seegärten
   37.5 km   Dem Straßenverlauf von In den Seegärten folgen
   37.5 km   Leicht links abbiegen auf In den Seegärten
   38.0 km   Turn right
   38.0 km   Turn right
   38.8 km   Turn right onto Hauptstraße
   39.0 km   Turn right onto Im Steiner
   39.7 km   Continue onto Altstadtweg
   40.5 km   Turn sharp left
   40.5 km   Turn right (follow 1.4 km)
   42.0 km   Continue onto Mainstraße
   42.0 km   Turn left onto Hauptstraße
  ★ 42.3 km  [monument] Miltenburg Castle
  ★ 42.4 km  [see] Historic Centre Miltenberg
   42.4 km   Turn left onto Hauptstraße
   42.5 km   Continue onto Schulstraße
   42.5 km   Turn left onto Mainstraße
  ★ 42.5 km  [restroom] Public toilet
   42.5 km   Turn right
  ★ 42.6 km  [dock/stay] Docking Miltenberg
   42.7 km   Turn right onto Mainstraße
   42.9 km   Turn left onto Mainstraße
   42.9 km   Turn right onto Hauptstraße
   43.1 km   Turn right onto Mainstraße
   43.1 km   Turn right
   43.1 km   Turn left (follow 1.3 km)
   44.4 km   Turn left
   44.5 km   Turn sharp right onto Altstadtweg
   45.3 km   Continue onto Im Steiner
   46.0 km   Turn left onto Hauptstraße
   46.1 km   Turn left
   46.9 km   Turn left
   47.0 km   Turn left onto In den Seegärten
   47.5 km   Turn slight right onto In den Seegärten
   47.5 km   Turn left onto Miltenberger Straße
   47.9 km   Turn right onto Langgasse
   47.9 km   Keep right onto Beim Trieb
   48.4 km   Keep right onto Kreuzweg
   49.2 km   Turn right
  ★ 49.3 km  [monument] Monastry Engelberg — Nice place for Coffee or lunch.
