BIKERIDE TO TIVOLI STATION    39.2 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn right onto Andelsvej
    0.1 km   Turn right onto Søndre Havnevej
    0.2 km   Turn right onto Carlsensvej
    0.4 km   Turn left onto Carlsensvej
    0.5 km   Turn right onto Toldbodvej
    0.9 km   At roundabout, take exit 3
    1.8 km   Turn slight left onto Tangmosevej
    2.2 km   Turn left onto Græsmarksvej
    2.4 km   Turn right onto Stormøllevej (follow 6.0 km)
    8.4 km   At roundabout, take exit 2 onto Jersie Strandvej, 151
    9.2 km   At roundabout, take exit 2 onto Solrød Strandvej, 151
    9.7 km   At roundabout, take exit 2 onto Solrød Strandvej, 151
   10.1 km   At roundabout, take exit 2 onto Solrød Strandvej, 151
   10.3 km   At roundabout, take exit 2 onto Solrød Strandvej, 151
   10.6 km   At roundabout, take exit 2 onto Solrød Strandvej, 151
   11.5 km   At roundabout, take exit 2 onto Karlstrup Strandvej, 151
   12.0 km   At roundabout, take exit 2 onto Karlstrup Strandvej, 151 (follow 1.0 km)
   13.0 km   Continue onto Karlslunde Strandvej, 151
   13.6 km   At roundabout, take exit 3
   14.2 km   Turn right (follow 2.1 km)
   16.3 km   At roundabout, take exit 2 onto Mosede Strandvej, 151 (follow 8.0 km)
   24.3 km   At roundabout, take exit 2 onto Vallensbæk Strandvej, 151
   25.0 km   At roundabout, take exit 3 onto Vallensbæk Strandvej, 151 (follow 3.5 km)
   28.5 km   Turn slight left onto Mågestien
   28.7 km   Turn slight left (follow 7.9 km)
   36.6 km   Turn left onto Vesterfælledvej
   36.6 km   Turn right onto Sønder Boulevard
   36.9 km   Turn right onto Sønder Boulevard
   37.9 km   Continue onto Halmtorvet
   38.4 km   Turn right
   38.5 km   Turn right onto Helgolandsgade
   38.5 km   Turn right onto Istedgade
   38.7 km   Turn left onto Reventlowsgade
   38.9 km   Turn right onto Vesterbrogade
   39.0 km   Turn right
